ever_purchase_orderType1,userid
1.0,110148173629
1.0,110148271027
1.0,110148373227
1.0,110148773529
1.0,110148871021
1.0,110160235469
1.0,110160635260
1.0,110160735466
1.0,110162133766
1.0,110162135261
1.0,110162433861
1.0,110162635460
1.0,110164118966
1.0,110165635463
1.0,110165733868
1.0,110166633863
1.0,110166635160
1.0,110167035166
1.0,110167035360
1.0,110167118169
1.0,110167235362
1.0,110167435261
1.0,110167535864
1.0,110167735160
1.0,110167933061
1.0,110168135466
1.0,110168433763
1.0,110168435566
1.0,110168535862
1.0,110168735462
1.0,110168935267
1.0,110168935360
1.0,110168935668
1.0,110169235560
1.0,110169235868
1.0,110169433869
1.0,110169435661
1.0,110169633069
1.0,110169935366
1.0,110171635066
1.0,110171635765
1.0,110174133069
1.0,110177335963
1.0,110177533764
1.0,110180071022
1.0,110183773426
1.0,110184873827
1.0,110185271520
1.0,110185473322
1.0,110185873425
1.0,110186071529
1.0,110186173726
1.0,110186373829
1.0,110186573428
1.0,110187471221
1.0,110187473629
1.0,110187473925
1.0,110187671527
1.0,110187773421
1.0,110187873927
1.0,110188973124
1.0,110189573720
1.0,110189671025
1.0,110300273421
1.0,110301116925
1.0,110301271525
1.0,110301371222
1.0,110301571520
1.0,110301573127
1.0,110302673422
1.0,110302873123
1.0,110303671526
1.0,110304073420
1.0,110304916121
1.0,110305771527
1.0,110306971027
1.0,110307073326
1.0,110307073724
1.0,110307373227
1.0,110307373526
1.0,110308473628
1.0,110320071226
1.0,110320271029
1.0,110323073726
1.0,110323573823
1.0,110326271229
1.0,110326412622
1.0,110326671526
1.0,110326773527
1.0,110328173120
1.0,110328810222
1.0,110340373822
1.0,110343271025
1.0,110344371529
1.0,110344473426
1.0,110346771225
1.0,110346873825
1.0,110346973321
1.0,110347873721
1.0,110347873823
1.0,110349573726
1.0,110349773122
1.0,110385273923
1.0,110385571026
1.0,110386071024
1.0,110386973322
1.0,110387671225
1.0,110388871225
1.0,110700233064
1.0,110700433862
1.0,110700435068
1.0,110700535669
1.0,110701133067
1.0,110701835667
1.0,110702135362
1.0,110702435964
1.0,110702535168
1.0,110702635161
1.0,110703735260
1.0,110704335363
1.0,110704435963
1.0,110704535960
1.0,110704835366
1.0,110705033862
1.0,110705535264
1.0,110706035560
1.0,110706635163
1.0,110706835260
1.0,110707035269
1.0,110707435565
1.0,110707733866
1.0,110708133767
1.0,110709435069
1.0,110709635660
1.0,110721033866
1.0,110722035365
1.0,110722433068
1.0,110722733065
1.0,110725435163
1.0,110725635366
1.0,110725935263
1.0,110726033867
1.0,110726333068
1.0,110726535165
1.0,110728133061
1.0,110762333065
1.0,110762835268
1.0,110766333067
1.0,110768935164
1.0,110769033863
1.0,110769535360
1.0,110771835960
1.0,110772635863
1.0,110776835461
1.0,110777035462
1.0,110778033068
1.0,110778835167
1.0,110779335268
1.0,110811017773
1.0,110812010973
1.0,110812017372
1.0,110812417379
1.0,110816810572
1.0,110817717771
1.0,110818310977
1.0,110819017273
1.0,110819417272
1.0,110834617272
1.0,110834810877
1.0,110836717077
1.0,110838017474
1.0,110840017677
1.0,110840117177
1.0,110840217672
1.0,110840817875
1.0,110841217075
1.0,110841310579
1.0,110843217472
1.0,110843610872
1.0,110844017677
1.0,110845217875
1.0,110845717178
1.0,110846410973
1.0,110846517778
1.0,110846617474
1.0,110846817471
1.0,110847217471
1.0,110847317979
1.0,110848117073
1.0,110848117772
1.0,110848317070
1.0,110848817378
1.0,110849517074
1.0,110849717479
1.0,110870017277
1.0,110872110576
1.0,110873017776
1.0,110873117272
1.0,110873217378
1.0,110875117279
1.0,110876110573
1.0,110878710575
1.0,110879910975
1.0,110910010575
1.0,110911017972
1.0,110911217779
1.0,110911317875
1.0,110911610575
1.0,110911710979
1.0,110911917076
1.0,110913117771
1.0,110913217079
1.0,110914217677
1.0,110914417171
1.0,110914417377
1.0,110915017271
1.0,110915017273
1.0,110915017370
1.0,110916617677
1.0,110917017076
1.0,110917017176
1.0,110917017475
1.0,110917271671
1.0,110917471672
1.0,110917472573
1.0,110917476673
1.0,110917510879
1.0,110917517576
1.0,110917610576
1.0,110917872873
1.0,110918217373
1.0,110918417678
1.0,110918510876
1.0,110919372075
1.0,110919417074
1.0,110919517875
1.0,110919672474
1.0,110919717971
1.0,110919772374
1.0,110919917777
1.0,110931717776
1.0,110932817177
1.0,110934210870
1.0,110934510871
1.0,110934617671
1.0,110934917772
1.0,110935017971
1.0,110935217671
1.0,110935417573
1.0,110935972775
1.0,110936017375
1.0,110936117674
1.0,110936510577
1.0,110936517174
1.0,110938010873
1.0,110938417072
1.0,110938610870
1.0,110938717072
1.0,110939910575
1.0,110940273573
1.0,110940572175
1.0,110940671270
1.0,110940817078
1.0,110940917879
1.0,110940971072
1.0,110941217876
1.0,110941317472
1.0,110941372670
1.0,110941417878
1.0,110942172375
1.0,110942717574
1.0,110942771278
1.0,110942917274
1.0,110942971076
1.0,110943071077
1.0,110943117176
1.0,110943272772
1.0,110943471179
1.0,110943471772
1.0,110943572376
1.0,110943617975
1.0,110943671679
1.0,110943872571
1.0,110943972778
1.0,110944071073
1.0,110944417876
1.0,110944517676
1.0,110944672075
1.0,110944672172
1.0,110944672479
1.0,110944910572
1.0,110945072176
1.0,110945272276
1.0,110945674074
1.0,110946310977
1.0,110946317571
1.0,110946371274
1.0,110946371970
1.0,110946379678
1.0,110946417474
1.0,110946571974
1.0,110946717477
1.0,110946817371
1.0,110946871276
1.0,110947271773
1.0,110947717770
1.0,110948117374
1.0,110948117875
1.0,110948317674
1.0,110948617472
1.0,110948872874
1.0,110948910576
1.0,110949010577
1.0,110949110971
1.0,110949310579
1.0,110949472677
1.0,110949810978
1.0,110949817774
1.0,110972110871
1.0,110975217077
1.0,110975517374
1.0,110975710873
1.0,110976417670
1.0,110976517773
1.0,110978117673
1.0,110978471278
1.0,111101948557
1.0,111104248350
1.0,111106646851
1.0,111107648752
1.0,111108946455
1.0,111109046456
1.0,111120713096
1.0,111121746158
1.0,111121946350
1.0,111122013912
1.0,111122085098
1.0,111122216991
1.0,111122246850
1.0,111122413115
1.0,111122413218
1.0,111122646455
1.0,111122913115
1.0,111122946657
1.0,111125748757
1.0,111126046050
1.0,111126113396
1.0,111126813697
1.0,111126913816
1.0,111127246054
1.0,111127846057
1.0,111127848356
1.0,111127946054
1.0,111128285093
1.0,111128413790
1.0,111128485614
1.0,111128685617
1.0,111128913119
1.0,111129116317
1.0,111129246257
1.0,111129546452
1.0,111140016199
1.0,111140513515
1.0,111140613091
1.0,111140613511
1.0,111140616991
1.0,111140713617
1.0,111140948556
1.0,111140948756
1.0,111141046957
1.0,111141116313
1.0,111141213416
1.0,111141313998
1.0,111141385211
1.0,111141385694
1.0,111141413112
1.0,111141585293
1.0,111141813913
1.0,111141816398
1.0,111141913415
1.0,111142146059
1.0,111142613793
1.0,111142916992
1.0,111143116399
1.0,111143146555
1.0,111143185217
1.0,111143613397
1.0,111143785294
1.0,111143785794
1.0,111143885796
1.0,111143913296
1.0,111144046057
1.0,111144113092
1.0,111144185794
1.0,111144413099
1.0,111144613410
1.0,111144613492
1.0,111144746257
1.0,111144813810
1.0,111145013297
1.0,111145046951
1.0,111145116399
1.0,111145189216
1.0,111145313711
1.0,111145380515
1.0,111145380715
1.0,111145380717
1.0,111145385093
1.0,111145385710
1.0,111145480396
1.0,111145488496
1.0,111145580013
1.0,111145646452
1.0,111145680617
1.0,111145880214
1.0,111145885196
1.0,111145916393
1.0,111145916917
1.0,111145946656
1.0,111145980692
1.0,111145985314
1.0,111146613512
1.0,111146616193
1.0,111146813019
1.0,111146813595
1.0,111146916990
1.0,111146916994
1.0,111147013116
1.0,111147013991
1.0,111147146852
1.0,111147146857
1.0,111147213514
1.0,111147313814
1.0,111147316993
1.0,111147316996
1.0,111147416312
1.0,111147613196
1.0,111147616994
1.0,111147713098
1.0,111147813091
1.0,111147916914
1.0,111147919853
1.0,111148116195
1.0,111148513018
1.0,111148713693
1.0,111148816193
1.0,111148913696
1.0,111148916998
1.0,111149013916
1.0,111149213595
1.0,111149313496
1.0,111149313692
1.0,111149416191
1.0,111149446150
1.0,111149513816
1.0,111149746456
1.0,111149813096
1.0,111150013511
1.0,111150084214
1.0,111150085110
1.0,111150185492
1.0,111150313112
1.0,111150313999
1.0,111150485295
1.0,111150613498
1.0,111150780998
1.0,111150785899
1.0,111150813799
1.0,111150880696
1.0,111150913818
1.0,111150980313
1.0,111151013110
1.0,111151013592
1.0,111151216318
1.0,111151248359
1.0,111151413898
1.0,111151613794
1.0,111151785494
1.0,111152013397
1.0,111152016198
1.0,111152084899
1.0,111152085311
1.0,111152213413
1.0,111152213795
1.0,111152284012
1.0,111152285911
1.0,111152316116
1.0,111152380591
1.0,111152413913
1.0,111152485891
1.0,111152513016
1.0,111152513917
1.0,111152580619
1.0,111152584799
1.0,111152585598
1.0,111152716316
1.0,111152780092
1.0,111152882196
1.0,111152980893
1.0,111153013898
1.0,111153185812
1.0,111153285719
1.0,111153313715
1.0,111153585997
1.0,111153716998
1.0,111153980716
1.0,111154013390
1.0,111154080696
1.0,111154285895
1.0,111154285913
1.0,111154385018
1.0,111154385594
1.0,111154413514
1.0,111154413895
1.0,111154482698
1.0,111154580290
1.0,111154580694
1.0,111154585919
1.0,111154613391
1.0,111154613718
1.0,111154646951
1.0,111154716392
1.0,111154785595
1.0,111154785799
1.0,111154980810
1.0,111154984218
1.0,111154988392
1.0,111155113016
1.0,111155316119
1.0,111155348756
1.0,111155385997
1.0,111155485818
1.0,111155646457
1.0,111155716115
1.0,111155813912
1.0,111155885593
1.0,111155946855
1.0,111156080196
1.0,111156080713
1.0,111156116110
1.0,111156116113
1.0,111156185796
1.0,111156185999
1.0,111156380897
1.0,111156480619
1.0,111156685194
1.0,111156984116
1.0,111156984814
1.0,111157013998
1.0,111157113997
1.0,111157213197
1.0,111157216997
1.0,111157313016
1.0,111157480016
1.0,111157485397
1.0,111157680699
1.0,111157785996
1.0,111157813492
1.0,111157913792
1.0,111157948350
1.0,111158085312
1.0,111158085815
1.0,111158180217
1.0,111158180994
1.0,111158284219
1.0,111158313398
1.0,111158385010
1.0,111158580214
1.0,111158813194
1.0,111158885496
1.0,111158913194
1.0,111158985714
1.0,111158985798
1.0,111159016310
1.0,111159085913
1.0,111159180598
1.0,111159185995
1.0,111159280518
1.0,111159285819
1.0,111159516118
1.0,111159585617
1.0,111159613991
1.0,111159713715
1.0,111159816995
1.0,111159916990
1.0,111190016318
1.0,111190016996
1.0,111190616318
1.0,111190685212
1.0,111191216191
1.0,111191313011
1.0,111191316313
1.0,111191516113
1.0,111192016197
1.0,111192213215
1.0,111192416112
1.0,111193516396
1.0,111193613793
1.0,111193716112
1.0,111195216116
1.0,111195313698
1.0,111195513293
1.0,111195716315
1.0,111195813499
1.0,111196213298
1.0,111196213991
1.0,111196313612
1.0,111196413098
1.0,111196713013
1.0,111196813496
1.0,111199313699
1.0,111199513090
1.0,111199513093
1.0,111199616911
1.0,111199716193
1.0,111199813691
1.0,111420213016
1.0,111420516114
1.0,111421016192
1.0,111421113813
1.0,111421413210
1.0,111421513091
1.0,111422013719
1.0,111423113214
1.0,111423513112
1.0,111423513319
1.0,111423616311
1.0,111423616396
1.0,111424013294
1.0,111424413114
1.0,111424613513
1.0,111427013595
1.0,111427316397
1.0,111427516317
1.0,111427813090
1.0,111427816997
1.0,111427885094
1.0,111428116393
1.0,111428313015
1.0,111428513219
1.0,111428613793
1.0,111440516119
1.0,111441416994
1.0,111442316990
1.0,111442913092
1.0,111443013614
1.0,111443180797
1.0,111443616914
1.0,111444113292
1.0,111445016399
1.0,111445113096
1.0,111445313596
1.0,111445516311
1.0,111445713290
1.0,111447116111
1.0,111447513596
1.0,111447616198
1.0,111447816199
1.0,111447913610
1.0,111448516114
1.0,111449413694
1.0,111449416316
1.0,111449416911
1.0,111450313390
1.0,111450413519
1.0,111450713394
1.0,111450716991
1.0,111451513499
1.0,111451913896
1.0,111452013495
1.0,111452113719
1.0,111452113799
1.0,111452285212
1.0,111452316110
1.0,111452716317
1.0,111453013996
1.0,111453113294
1.0,111453213510
1.0,111453316117
1.0,111453713595
1.0,111453813297
1.0,111453913291
1.0,111454016397
1.0,111454216115
1.0,111454680096
1.0,111455113612
1.0,111455113718
1.0,111455213996
1.0,111455513596
1.0,111455913698
1.0,111457016310
1.0,111457313810
1.0,111457313813
1.0,111458113510
1.0,111458213511
1.0,111458813693
1.0,111458913695
1.0,111459216115
1.0,111459516993
1.0,111459813990
1.0,111491416998
1.0,111491916310
1.0,111493713698
1.0,111495016111
1.0,111495116911
1.0,111497816118
1.0,111499013413
1.0,111499185598
1.0,111499287013
1.0,111499316193
1.0,111499413016
1.0,111499513519
1.0,111499613816
1.0,111499813210
1.0,111499813719
1.0,111800846852
1.0,111801119453
1.0,111801319852
1.0,111801346852
1.0,111801446058
1.0,111801946450
1.0,111802346156
1.0,111802548556
1.0,111802946451
1.0,111802946958
1.0,111803019450
1.0,111803346758
1.0,111803519358
1.0,111803546956
1.0,111803548557
1.0,111803614255
1.0,111803846050
1.0,111803848553
1.0,111803848756
1.0,111804046852
1.0,111804746757
1.0,111804748550
1.0,111806746852
1.0,111807148555
1.0,111807646650
1.0,111807746254
1.0,111808346952
1.0,111808448359
1.0,111809048751
1.0,111809346251
1.0,111809419456
1.0,111809746754
1.0,111809748750
1.0,111822146557
1.0,111822948752
1.0,111823413618
1.0,111823516118
1.0,111823516318
1.0,111825148350
1.0,111827746459
1.0,111827848358
1.0,111827946750
1.0,111840014758
1.0,111840114257
1.0,111840119259
1.0,111840215957
1.0,111840219256
1.0,111840414156
1.0,111840514152
1.0,111840746453
1.0,111840919858
1.0,111840946754
1.0,111840948555
1.0,111841148755
1.0,111841814457
1.0,111841846057
1.0,111841846153
1.0,111841846753
1.0,111842146452
1.0,111842414453
1.0,111842419055
1.0,111842419855
1.0,111842646658
1.0,111842748557
1.0,111842946155
1.0,111843319957
1.0,111843719757
1.0,111844048752
1.0,111844119357
1.0,111844119452
1.0,111844146357
1.0,111844146755
1.0,111844246255
1.0,111844246857
1.0,111844314159
1.0,111844448555
1.0,111844619658
1.0,111844719154
1.0,111844719251
1.0,111844719855
1.0,111844919453
1.0,111844946156
1.0,111845219956
1.0,111845319657
1.0,111845619159
1.0,111845648759
1.0,111845714459
1.0,111845815456
1.0,111845919159
1.0,111846019751
1.0,111846048354
1.0,111846114756
1.0,111846148357
1.0,111846246356
1.0,111846248553
1.0,111846419451
1.0,111846619159
1.0,111846746655
1.0,111846819253
1.0,111846819254
1.0,111846819658
1.0,111846919458
1.0,111847214857
1.0,111847219557
1.0,111847348354
1.0,111847519354
1.0,111847612359
1.0,111847714159
1.0,111847719653
1.0,111847848351
1.0,111847919955
1.0,111848146056
1.0,111848419159
1.0,111848646157
1.0,111848919156
1.0,111848946458
1.0,111849346655
1.0,111849846259
1.0,111849946258
1.0,111850746259
1.0,111851046051
1.0,111853546851
1.0,111853646057
1.0,111853746856
1.0,111853846656
1.0,111853946459
1.0,111854146159
1.0,111854346258
1.0,111854546255
1.0,111854746052
1.0,111854746254
1.0,111854946655
1.0,111855319255
1.0,111855646658
1.0,111855646859
1.0,111855648559
1.0,111855746656
1.0,111855846651
1.0,111857019255
1.0,111857048553
1.0,111857246552
1.0,111857346957
1.0,111857746655
1.0,111857946854
1.0,111859248758
1.0,111859846159
1.0,112500565809
1.0,112500765107
1.0,112500869605
1.0,112500965080
1.0,112500969601
1.0,112501065589
1.0,112501065701
1.0,112501065908
1.0,112501265483
1.0,112501265981
1.0,112501365383
1.0,112501369182
1.0,112501465784
1.0,112501469182
1.0,112501765586
1.0,112502069384
1.0,112502665900
1.0,112502765281
1.0,112503069688
1.0,112503265788
1.0,112503565186
1.0,112503565609
1.0,112503565804
1.0,112503565980
1.0,112503569689
1.0,112503665183
1.0,112503765886
1.0,112503865781
1.0,112504065004
1.0,112504165008
1.0,112504165984
1.0,112504269389
1.0,112504865703
1.0,112505065007
1.0,112505065084
1.0,112505169385
1.0,112505565408
1.0,112505569389
1.0,112506084408
1.0,112506165789
1.0,112506280609
1.0,112506380903
1.0,112506465000
1.0,112506469602
1.0,112506565900
1.0,112506569387
1.0,112506583381
1.0,112506583586
1.0,112506669686
1.0,112506883703
1.0,112506969601
1.0,112507065080
1.0,112507165202
1.0,112507269382
1.0,112507365289
1.0,112507669186
1.0,112508165186
1.0,112508365002
1.0,112508383588
1.0,112508565500
1.0,112508583488
1.0,112508865603
1.0,112508965407
1.0,112509265486
1.0,112509265580
1.0,112509269303
1.0,112509565280
1.0,112509669607
1.0,112509869603
1.0,112520083481
1.0,112520183483
1.0,112520265006
1.0,112520265986
1.0,112520283285
1.0,112520483782
1.0,112520665005
1.0,112520765308
1.0,112520969307
1.0,112521083688
1.0,112521183801
1.0,112521265187
1.0,112521265200
1.0,112521283701
1.0,112521380504
1.0,112521465882
1.0,112521583680
1.0,112521865504
1.0,112521883106
1.0,112521965882
1.0,112521969385
1.0,112522280906
1.0,112522380882
1.0,112522380901
1.0,112522465100
1.0,112522465808
1.0,112522483185
1.0,112522583100
1.0,112522665184
1.0,112522980409
1.0,112522982585
1.0,112523083204
1.0,112523265001
1.0,112523565084
1.0,112523783900
1.0,112524084080
1.0,112524180004
1.0,112524365403
1.0,112524365480
1.0,112524380989
1.0,112524383902
1.0,112524565503
1.0,112524665701
1.0,112524669388
1.0,112524865084
1.0,112524865705
1.0,112525269600
1.0,112525280204
1.0,112525380109
1.0,112525382903
1.0,112525469180
1.0,112525580405
1.0,112525665208
1.0,112525865285
1.0,112525883580
1.0,112525969601
1.0,112526080881
1.0,112526365281
1.0,112526465181
1.0,112526669384
1.0,112526865303
1.0,112526869682
1.0,112526883508
1.0,112527065080
1.0,112527065786
1.0,112527065985
1.0,112527165300
1.0,112527183881
1.0,112527283200
1.0,112527465286
1.0,112527582582
1.0,112527583906
1.0,112527780002
1.0,112527880485
1.0,112527882402
1.0,112527983487
1.0,112528065284
1.0,112528269384
1.0,112528365587
1.0,112528469689
1.0,112528583286
1.0,112528783287
1.0,112528980286
1.0,112529065006
1.0,112529283805
1.0,112529380286
1.0,112529383906
1.0,112529565687
1.0,112529865784
1.0,112530069601
1.0,112530369601
1.0,112530769382
1.0,112530965201
1.0,112530965489
1.0,112531165480
1.0,112531165588
1.0,112531365003
1.0,112532269306
1.0,112532665104
1.0,112532665282
1.0,112532765785
1.0,112532865204
1.0,112532869382
1.0,112533165984
1.0,112533265404
1.0,112533269186
1.0,112533269606
1.0,112533669301
1.0,112533769609
1.0,112535365282
1.0,112535565601
1.0,112535665001
1.0,112535765084
1.0,112535783281
1.0,112536165408
1.0,112536365289
1.0,112536465202
1.0,112536469684
1.0,112536565706
1.0,112536565989
1.0,112536569686
1.0,112536665008
1.0,112536765784
1.0,112536865285
1.0,112536965502
1.0,112536965580
1.0,112536965605
1.0,112537465806
1.0,112537465809
1.0,112537883704
1.0,112537883708
1.0,112538065284
1.0,112538269181
1.0,112538269301
1.0,112538269685
1.0,112538365506
1.0,112538369186
1.0,112538865207
1.0,112560665503
1.0,112560865087
1.0,112560965487
1.0,112562183403
1.0,112562265589
1.0,112562469603
1.0,112562769300
1.0,112564169184
1.0,112564265101
1.0,112564265202
1.0,112564383283
1.0,112565065203
1.0,112567065780
1.0,112567165204
1.0,112567669602
1.0,112569183081
1.0,112569665706
1.0,112569965301
1.0,112569969181
1.0,112600065005
1.0,112600869387
1.0,112601565202
1.0,112602765589
1.0,112604169382
1.0,112604465409
1.0,112604669302
1.0,112605469180
1.0,112605569309
1.0,112605669681
1.0,112606165102
1.0,112606369180
1.0,112606965281
1.0,112607269683
1.0,112607869383
1.0,112608369383
1.0,112609369309
1.0,112620065185
1.0,112620065309
1.0,112620665400
1.0,112621265289
1.0,112621769306
1.0,112621865404
1.0,112622065004
1.0,112622069607
1.0,112622365284
1.0,112622665480
1.0,112622765309
1.0,112622769308
1.0,112623665888
1.0,112624265205
1.0,112624569385
1.0,112624865701
1.0,112625065087
1.0,112625665880
1.0,112625969303
1.0,112626065906
1.0,112626165700
1.0,112626265685
1.0,112626465600
1.0,112626669604
1.0,112626769380
1.0,112626965083
1.0,112627265707
1.0,112627365405
1.0,112627665187
1.0,112627765504
1.0,112628165902
1.0,112628365804
1.0,112628369688
1.0,112628569684
1.0,112628665483
1.0,112628665884
1.0,112628665905
1.0,112628765383
1.0,112629165804
1.0,112629265206
1.0,112629265502
1.0,112629769689
1.0,112629865805
1.0,112630083503
1.0,112630165380
1.0,112630465789
1.0,112630465887
1.0,112630665782
1.0,112630802700
1.0,112630881380
1.0,112630887802
1.0,112632069182
1.0,112632069183
1.0,112632465005
1.0,112632765582
1.0,112633065289
1.0,112633265402
1.0,112633669304
1.0,112635169608
1.0,112636369301
1.0,112637269687
1.0,112637565303
1.0,112660465585
1.0,112660765504
1.0,112661265206
1.0,112661565485
1.0,112661665086
1.0,112661965789
1.0,112662569186
1.0,112662769385
1.0,112662969682
1.0,112663565980
1.0,112665065286
1.0,112665265206
1.0,112665365405
1.0,112667069601
1.0,112667665501
1.0,112667665587
1.0,112668065704
1.0,112669569180
1.0,112669569187
1.0,112669769303
1.0,112669865501
1.0,114111282739
1.0,114111982937
1.0,114114982732
1.0,114115880832
1.0,114116082932
1.0,114116482733
1.0,114119093439
1.0,114119480535
1.0,114119980637
1.0,114121580338
1.0,114121982736
1.0,114122780339
1.0,114126780634
1.0,114127980534
1.0,114128582739
1.0,114128980333
1.0,114129280033
1.0,114140480037
1.0,114140582137
1.0,114140682932
1.0,114141182137
1.0,114141980636
1.0,114142080238
1.0,114142620637
1.0,114144993032
1.0,114145080935
1.0,114145482730
1.0,114145582735
1.0,114145680434
1.0,114147680931
1.0,114148480639
1.0,114148580832
1.0,114148880332
1.0,114149782932
1.0,114191380436
1.0,114194080239
1.0,114194282932
1.0,114194582738
1.0,114196280233
1.0,114196982134
1.0,114198191431
1.0,114198580138
1.0,114199180938
1.0,114199280531
1.0,114600267545
1.0,114600569143
1.0,114601867544
1.0,114602369648
1.0,114603569143
1.0,114606067349
1.0,114620667947
1.0,114620853241
1.0,114620869849
1.0,114621067244
1.0,114621869144
1.0,114622267048
1.0,114622367542
1.0,114622367746
1.0,114622369844
1.0,114622567249
1.0,114622767145
1.0,114622967542
1.0,114623467546
1.0,114624119646
1.0,114624467241
1.0,114625067940
1.0,114625369645
1.0,114625967549
1.0,114626167646
1.0,114626967841
1.0,114626969643
1.0,114627067746
1.0,114629267941
1.0,114631569842
1.0,114631867547
1.0,114631967544
1.0,114633569643
1.0,114637269643
1.0,114638167547
1.0,114638269847
1.0,114639567244
1.0,114661267941
1.0,114661853941
1.0,114661867446
1.0,114662867942
1.0,114664067546
1.0,114665269847
1.0,114665469840
1.0,114666967143
1.0,114667269646
1.0,114669067947
1.0,114669367544
1.0,114710382937
1.0,114711082739
1.0,114711282933
1.0,114711680237
1.0,114711780534
1.0,114712680234
1.0,114712680330
1.0,114712880632
1.0,114713380236
1.0,114713380630
1.0,114713482133
1.0,114713582937
1.0,114713780639
1.0,114714882734
1.0,114715082737
1.0,114715482933
1.0,114715499839
1.0,114715680735
1.0,114715791035
1.0,114715793030
1.0,114716180832
1.0,114716282135
1.0,114716582133
1.0,114716782731
1.0,114716880534
1.0,114716980632
1.0,114717080636
1.0,114718080630
1.0,114718193035
1.0,114718280832
1.0,114718393232
1.0,114718480838
1.0,114718982932
1.0,114719082931
1.0,114719280930
1.0,114719580933
1.0,114719780631
1.0,114719980832
1.0,114721080537
1.0,114721480636
1.0,114721680831
1.0,114721980336
1.0,114722982135
1.0,114724480538
1.0,114724593539
1.0,114725380835
1.0,114725680232
1.0,114725680530
1.0,114725980435
1.0,114726280938
1.0,114726680231
1.0,114726880332
1.0,114726980631
1.0,114727480136
1.0,114727580130
1.0,114727680535
1.0,114728180039
1.0,114728180336
1.0,114728880430
1.0,114728880834
1.0,114728982932
1.0,114729980239
1.0,114740193537
1.0,114740680635
1.0,114740691633
1.0,114740880436
1.0,114740991338
1.0,114741380839
1.0,114741382934
1.0,114741480335
1.0,114741682731
1.0,114741893632
