userid,interval_mean,interval_lastvale1,interval_lastvale2,interval_lastvale3,next_actionTime,to_next_actionTime
100000006569,2474614.0,5039928.0,5927998.0,6086.0,1499475211.0,3657856.0
100000006605,2217545.03,5925.75,9649742.5,4126604.33333,1506361318.11,4593961.11
100000006647,1682299.75,692855.0,1187668.0,4487751.5,1507088648.17,2122721.17
100000006857,4665473.72,296917.25,4899095.69444,5367808.05556,1506526246.67,3521273.67
100000006933,530596.57,9443.71428561,10338.3333333,1572007.66667,1492004436.28,530320.284286
100000006981,348114.94,880022.166667,30420.0,48391.8333333,1483203343.83,319486.83
100000007073,1957825.98,177913.8,418928.333333,472794.666667,1494887608.4,354338.4
100000007079,1431672.83,33185.5,24085.3333333,369015.166667,1498334912.83,141935.83
100000007283,nan,nan,nan,nan,nan,nan
100000007329,343520.73,343520.733333,nan,nan,1491330487.06,343455.063333
100000007367,nan,nan,nan,nan,nan,nan
100000007409,503295.35,10634.5999999,93788.7,5053.31764722,1504938943.71,36457.71
100000007457,nan,nan,nan,nan,nan,nan
100000007533,336273.5,459317.5,213229.5,nan,1491709550.5,335224.5
100000007609,851809.6,69942.0,4851.0,251270.0,1495129144.67,108687.67
100000007639,2663438.64,292866.0,73089.0,5556.5,1504422989.17,123837.17
100000007745,nan,nan,nan,nan,nan,nan
100000007753,519651.9,20273.4000001,327944.885714,124837.714286,1490001785.33,157685.33
100000007785,1046772.05,256499.0,16741.2,879524.8,1498020077.0,384255.0
100000008119,660623.38,727198.333333,33660.0,4691.0,1485165065.44,255148.443333
100000008253,1665471.49,624798.307692,248871.0,1026974.0,1497244134.08,631897.077692
100000008425,453793.29,7593.21803665,2585313.08333,14642.0,1499630271.07,866860.07137
100000008481,1654925.57,2505810.83333,2244425.91667,1351452.05,1494816125.27,2033706.27
100000008483,1526616.29,77386.5,13324576.0,3865648.0,1498807924.67,5755833.67
100000008529,154355.35,136208.0,51012.0,81193.0,1500295717.0,89471.0
100000008565,2361432.14,1215745.0,4135878.0,92135.0,1506110754.0,1814586.0
100000008995,290435.96,432723.655555,132586.9,51282.5,1499076808.58,205053.575556
100000009017,1536008.17,84871.1111112,4162687.88889,312641.0,1506047450.67,1520058.67
100000009249,404493.31,1474473.0,1259733.0,11995.0,1480555094.33,915239.33
100000009417,105268.33,85890.0,86512.5,86949.5,1491818024.67,86450.6700001
100000009463,33991.99,46850.8,21746.3333333,4056.23809528,1492184526.59,24155.5899999
100000009481,750146.07,53286.2249999,11237.0416667,2715896.33333,1495082771.13,926723.13
100000009491,963595.21,203412.0,2959890.0,1158021.33333,1505104902.11,1440330.11
100000009583,602559.4,602559.4,nan,nan,1479433756.4,602558.4
100000009611,814027.38,81078.3333333,320993.5,4234.5,1503974687.77,135282.773333
100000009743,614136.0,6606.0,215208.333333,1126060.54167,1500078260.62,448057.62
100000009771,1564299.0,1564299.0,nan,nan,1502483962.0,1564299.0
100000009773,570773.53,870377.633333,776801.416667,3715151.75,1499257023.4,1787199.4
100000009807,1906742.32,1821706.0,9797.66666651,6693453.66667,1504266831.77,2841632.77333
100000009925,695456.96,12722.0,12782.0,33202.0,1495564855.67,19413.6700001
100000010101,515555.5,68388.3333333,72678.8571429,30124.8095238,1498790423.33,56282.3333333
100000010161,1296108.14,664173.7,97953.3,981304.5,1500976788.33,581119.33
100000010177,59982.79,5046.40769219,72318.2,8630.0181818,1505002822.19,27731.1876924
100000010199,317845.91,99223.9000001,410514.6,94519.4000001,1499641112.2,200582.2
100000010239,5419313.5,26959976.0,49735.0,5166.0,1511986620.0,9004959.0
100000010247,1869535.28,15858120.5,42607.0,44991.0,1498533707.0,5315187.0
100000010249,1691841.72,172556.35,268971.704545,70863.7954545,1502229021.88,170695.88
100000010279,1426703.56,82315.25,53932.6666667,761807.333333,1490994193.0,298966.0
100000010287,470048.85,2633280.52,4840945.23636,384518.411255,1507697019.51,2619234.51
100000010293,85223.33,85223.3333335,nan,nan,1492253323.0,85104.9966667
100000010297,nan,nan,nan,nan,nan,nan
100000011105,5949736.47,9243.0,102999.5,17736966.9,1510277561.47,5949729.47
100000011131,479897.93,175321.309524,179501.071429,83799.0,1483615616.51,143585.510952
100000011325,10211.97,10211.9714286,nan,nan,1491755488.74,7278.74142861
100000011427,2681787.67,17544032.0,110526.0,5358.0,1499381912.67,5886597.67
100000011573,38137.0,17402.0,58872.0,nan,1500431728.0,38137.0
100000011591,2892729.98,5378101.05,3310862.2,2803597.0,1490119423.67,3830744.67
100000011653,604403.13,2361765.0,330101.0,928040.0,1495132852.33,1206635.33
100000011741,1521104.7,13562.7,11761734.8,2924834.5,1506169130.5,4900001.5
100000011755,107075.61,44525.55,169625.678571,nan,1481731788.41,106974.41
100000011763,144655.41,144655.411111,nan,nan,1494740887.02,141587.021111
100000011845,980283.61,668936.0,1646831.0,1535966.04348,1479706792.01,1283776.01
100000011933,224649.1,533271.0,48813.6666667,11168.0,1496968111.56,197670.556667
100000012027,590781.11,790933.0,81803.0,168656.0,1500069815.67,347130.67
100000012133,3138817.33,14678813.25,802661.75,200099.0,1498606007.33,5227191.33
100000012137,nan,nan,nan,nan,nan,nan
100000012213,130162.12,9240.27777767,348821.222222,85307.0,1491891517.0,146698.0
100000012219,266038.16,2850297.25,767484.5,18912.0,1482260995.0,1212162.0
100000012235,1436773.5,2737316.0,136231.0,nan,1502374704.5,1436773.5
100000012277,38531.75,77399.0,8974.66666675,4179.5333333,1490811767.4,30149.4000001
100000012341,2042713.69,98926.0833333,9202333.66667,7837193.0,1502542561.33,5712618.33
100000012367,602541.36,258140.0,1474721.0,385329.0,1493649260.33,705475.33
100000012405,442704.14,1766944.66667,128670.0,565305.5,1493072760.39,820147.386667
100000012441,746282.3,23590.8,1259879.53333,711622.166667,1495632523.83,664681.83
100000012507,1161049.09,10130287.0,31654.0,211180.0,1505605706.0,3457707.0
100000012713,1004478.27,78401.0,212079.0,915022.0,1504699048.0,401834.0
100000012715,1479892.07,335633.05,12907156.4167,35007.8333333,1497449651.23,4425823.23
100000012717,2802497.92,86393.8090277,88240.3760686,64177.8461537,1491379154.54,79142.54125
100000012719,3100174.52,13666.5999999,7140.33333325,2074667.66667,1501033340.13,698253.13
100000012793,10328.5,10328.5,nan,nan,1490893207.0,10150.0
100000012867,240528.75,318664.75,86929.5,315992.0,1492743410.0,240431.0
100000012885,7150.5,7150.5,nan,nan,1490702357.5,7150.5
100000012889,175110.83,102533.333333,358824.428571,45691.5714285,1500293874.77,168693.773333
100000012931,776994.71,248787.25,15070.0,275477.0,1496176808.33,179524.33
100000012965,45584.1,26927.4642856,94287.25,4240.0,1503174143.95,41675.9542856
100000012981,272119.0,105117.466667,55202.3333333,9559.0,1485938870.07,55706.0699999
100000013027,5563016.75,14337840.0,2148185.0,203025.25,1504070239.75,5563016.75
100000013381,90916.06,69623.25,63500.0,273541.0,1492556814.0,135424.0
100000013429,81049.0,81049.0,nan,nan,1497626424.75,80212.75
100000013461,nan,nan,nan,nan,nan,nan
100000013471,790442.96,915801.333333,653983.5,3672645.5,1506360102.11,1747282.11333
100000013499,57323.55,49798.8333333,8035.70000005,6768.79999995,1491776988.77,20111.7733333
100000013669,598227.21,25177.5,9215.0,1694496.33333,1479767663.78,576206.78
100000013673,343769.0,343769.0,nan,nan,1495545059.0,342790.0
100000013837,55800.12,129788.25,4044.5,33567.6176472,1502800687.37,54586.3699999
100000013965,1495176.44,3983068.16667,895576.333333,282585.666667,1503655762.23,1720080.22667
100000014029,458129.22,54392.8333333,9281.83333325,6388.33333349,1487691500.66,23116.6633332
100000014143,941032.1,258335.0,4521384.0,611821.0,1485193644.0,1797074.0
100000014259,1021921.74,64309.25,16367.0,48978.9000001,1492804649.63,43036.6300001
100000014271,843012.09,188163.5,64916.25,116897.6,1495613687.53,123184.53
100000014311,426895.82,77416.0,7469.0,600943.4,1500421577.47,228609.47
100000014315,1409182.3,16224.75,465135.2,2027153.46667,1495487787.89,835593.89
100000014383,611903.53,3054121.25,245040.0,79402.0,1489673656.0,1126144.0
100000014421,933394.65,15052.3111112,80529.2888889,1957074.6,1503321200.93,683920.93
100000014423,175135.55,91363.75,74132.0,395021.0,1495064485.67,186594.67
100000014449,2169424.26,341570.5,6479786.0,265583.333333,1503612805.78,2362311.78
100000014641,2814960.8,504177.0,467186.0,1808961.0,1504510166.67,926774.67
100000014679,1375630.27,285154.0,1537128.0,11216.8571429,1491945279.29,610991.29
100000014745,1284824.31,133214.0,551210.6,52493.6500001,1497015118.42,245639.42
100000014865,150195.5,14318.0,225810.0,16527.0,1498881564.67,84140.6700001
100000014899,1383645.12,354150.5,1749235.0,1608318.0,1497766109.0,1237210.0
100000014949,3139729.3,5153545.45238,8589513.33333,1297571.0,1504103097.05,5013225.04571
100000014973,214579.9,466263.75,43899.0,27220.0,1492878264.33,178871.33
100000014981,137466.71,326567.75,27138.0,18686.0,1496466355.33,124053.33
100000015043,199738.62,383385.25,16092.0,nan,1483247562.37,199608.37
100000015129,866731.56,4245143.33333,25542.4000001,65878.5999999,1483369899.77,1445255.77333
100000015145,1931621.5,4755244.5,230433.5,809186.5,1488089142.5,1931492.5
100000015153,4938706.17,85755.5,9675069.64286,4935903.85714,1509694553.67,4898909.67
100000015213,95928.08,1187652.0,126070.0,133590.0,1489809347.33,482437.33
100000015223,440753.65,115171.333333,59258.6666667,23170.6666667,1494124906.89,65827.8900001
100000015275,52096.92,18529.0,85664.8333333,nan,1491745116.92,52096.9200001
100000015433,1602938.34,13637344.1667,475016.583333,753661.583333,1509853362.78,4955321.78
100000015475,127316.22,55018.0,317012.0,9918.66666675,1480414031.22,127192.22
