userid,to_firstorder_timestamp,to_lastorder_timestamp
110101612425,4642974,4642974
110101614364,84094,84094
110101615825,542,542
110101616128,325489,325489
110101616129,331248,331248
110101616464,347878,347878
110101616522,146819,146819
110101616528,91072,91072
110101616663,486994,311297
110101617025,1086,545
110101617728,1409,1409
110101618267,316954,153
110101635063,589600,589600
110101635362,7745110,7745110
110101635660,1651788,1651788
110101710127,1851717,213
110101710128,207381,207381
110101710325,88485,88485
110101714169,1489,756
110101714560,248448,248448
110101714960,2713517,605506
110101718068,229,229
110101718169,5501240,3453362
110101733868,247453,244811
110101735766,11480916,263610
110101773227,4926807,3959705
110101810163,880,880
110101810167,264689,264689
110101810168,425775,425775
110101812321,274111,274111
110101814067,369,369
110101814767,1429,259
110101814860,4958268,4958268
110101814865,1110,1110
110101814967,16616,16616
110101816027,744286,573298
110101816223,573554,276426
110101816420,697744,0
110101818768,13674,13674
110101835564,2518664,578100
110101835569,406225,406225
110101912129,67,67
110101912528,353041,378
110101912822,531540,531540
110101916723,282,282
110101918161,294,294
110101918860,1378,1378
110101935266,11790960,11790960
110101973024,1768696,231284
110101973922,10554304,2133
110102012123,310082,310082
110102012329,3152952,3069813
110102016429,2331816,2331816
110102016721,8063261,8063261
110102018267,1124426,1124426
110102073220,1405,1405
110102112420,965268,965268
110102116321,3375,2106
110102116724,359719,409
110102173926,1225587,1224971
110102212724,359333,359333
110102216020,46324,46324
110102216927,3134831,212760
110102235466,277016,277016
110102273628,9461,9461
110102273726,6407729,6397255
110102312727,17604,17604
110102312928,731028,731028
110102318767,662,438
110102318865,675,675
110102333864,989,989
110102335168,246,246
110102335262,18338,1286
110102373224,932548,932548
110102373423,326,326
110102373628,719,719
110102416120,298772,298772
110102416820,4556601,4556601
110102416920,208019,45413
110102435365,1205415,1205415
110102471027,143742,143742
110102471529,687375,687375
110102473724,530205,530205
110102516029,193990,21668
110102516127,2438098,2437379
110102516928,580106,337047
110102518160,43115,43115
110102573423,1590009,788306
110102612327,458167,458167
110102614267,373,373
110102614369,695711,695711
110102635664,1345,1345
110102673421,42905,42905
110102673920,726135,726135
110102712725,44034,44034
110102714267,620,620
110102716828,101288,101288
110102718168,2005250,2005250
110102718466,884,884
110102718666,362754,362754
110102733061,618549,342605
110102735661,1046836,1046836
110102771029,249,249
110102771220,655213,239680
110102773026,84931,72
110102773127,537439,537439
110102773628,1160785,1160082
110102773720,864500,276199
110102773820,1070409,1070409
110102816326,1172,1172
110102833063,4788046,4788046
110102873024,327,327
110102873229,14648,14648
110102873829,3213903,3213335
110102912724,10637416,10636581
110102916021,234777,234777
110102933862,61983,61983
110102973622,113,113
110103012626,472890,472890
110103012925,4383612,4383612
110103014161,5310250,567952
110103014162,417916,186641
110103016321,1079605,1910
110103016325,266,266
110103016425,14540,14540
110103035263,164584,164584
110103035469,3724,3724
110103035961,130171,130171
110103073023,203,203
110103112124,8474,762
110103116220,39010,1676
110103116726,278208,278208
110103135068,269304,269304
110103135866,1331198,1329697
110103173229,462,462
110103173422,93273,93273
110103173522,2220,2220
110103212628,1100922,126016
110103214160,4556,4556
110103216627,5361079,297
110103216629,1388379,1388379
110103218165,1019536,1019536
110103218460,172909,172909
110103218468,199,199
110103218861,199710,199710
110103235063,329445,38583
110103235767,20069,20069
110103235860,6678523,6672955
110103235866,494768,494768
110103310120,523877,523877
110103314461,387259,50935
110103318069,5122493,452277
110103318768,4833392,156575
110103318964,169468,169468
110103333069,337998,337998
110103335168,414446,414446
110103335262,2567595,2376433
110103335461,579199,579199
110103371223,1082150,1082150
110103371520,599721,599721
110103414267,817574,199233
110103416726,255,255
110103416923,691406,691406
110103418169,5599087,5599087
110103418563,483610,483610
110103418663,545288,177579
110103435368,862069,134796
110103512529,1054462,73571
110103516726,1442186,1442186
110103518960,2638,2638
110103518964,3163397,575
110103533864,858419,858419
110103535666,5223998,5223998
110103571022,444417,444417
110103571521,228854,228854
110103612721,1712,1712
110103612724,525317,525317
110103612820,351049,91183
110103612824,1863,1156
110103616923,720259,720259
110103635166,492095,492095
110103635769,1209594,1206590
110103671523,9482586,2460818
110103673025,2934,2934
110103673422,183577,181857
110103712629,531733,531733
110103712721,435943,4791
110103714366,828630,828630
110103716125,702830,702830
110103716726,2071528,2071528
110103718262,103,103
110103718562,129,31
110103735262,7259330,7259330
110103773329,1755010,510227
110103773424,4731,4731
110103812628,174,174
110103812924,431,431
110103816223,2914,2914
110103818268,363804,363804
110103818368,1443864,1443864
110103818763,2225094,249
110103818769,1475894,1475894
110103818868,2993430,310
110103818960,2274,2274
110103835063,351,351
110103835163,223,223
110103873426,5544919,5544919
110103912520,387703,11552
110103916626,1797406,5548
110103916929,602,602
110103918063,289709,8614
110103971224,1854730,1854730
110103973022,6059109,95
110103973525,1668,353
110103973722,2884615,2884615
110104014260,564842,564842
110104016123,1261,963
110104016224,2290618,2290618
110104016323,3713893,3713893
110104016626,9239116,9239116
110104018069,620,620
110104018162,10085333,10085333
110104018467,2939369,156
110104018763,11376708,11376708
110104033763,256748,256748
110104035063,116,116
110104035068,215,215
110104071021,4396376,4396376
110104071523,3578604,3578604
110104073322,1324340,1324340
110104073526,7057023,7057023
110104073720,11584918,11584918
110104110568,516677,516677
110104112529,5792993,5737754
110104116621,1484416,1484416
110104118067,1046725,4075
110104118765,211,211
110104118964,461569,755
110104133066,1207,1207
110104133765,8751063,4723129
110104135164,6515,133
110104135365,9870374,9870374
110104135766,978657,978657
110104173622,172628,138524
110104173923,298555,298555
110104216425,303,303
110104218563,71773,484
110104218762,1813,1567
110104235660,43338,43338
110104235661,1271,1271
110104235668,1074197,1074197
110104273226,288,288
110104273321,5533505,5533505
110104273527,8807528,6783034
110104312827,616659,616659
110104314164,2756922,12533
110104316524,1300443,1300443
110104316625,581242,581242
110104333064,439130,496
110104333762,134746,134746
110104335662,5104719,5104719
110104335964,255973,255973
110104371029,187925,187925
110104373122,1394,1171
110104373628,1477176,1477176
110104373825,887902,887902
110104412129,938473,938473
110104414061,600514,341501
110104416524,1643483,339735
110104418863,1049959,1049959
110104418967,22070,15868
110104435761,393113,393113
110104435965,1236572,1236572
110104435969,2018156,612077
110104473627,6899232,6899232
110104473827,3329,295
110104516026,268961,259783
110104516620,5029017,5029017
110104518260,607,607
110104518967,530995,530995
110104535067,7951444,7951444
110104535465,1046583,1046583
110104573620,512167,189
110104573927,3408,3408
110104612326,778761,778761
110104614968,7428,7428
110104616626,28020,28020
110104618865,7836599,380528
110104618966,1261909,38704
110104635160,6941198,6941198
110104671525,451199,451199
110104673429,6150922,6150922
110104712426,297284,297284
110104714061,645098,234980
110104714464,1545823,1545823
110104716027,1220492,176131
110104716123,1628,1628
110104716425,1125254,1734
110104716729,1562486,109718
110104733865,1504407,59491
110104733867,132413,132413
110104735260,221194,221194
110104771527,190765,22960
110104773525,6217424,5240
110104810327,184,184
110104810820,795073,397697
110104814969,2768,2768
110104816822,378187,378187
110104833764,327430,317048
110104910929,622414,622414
110104916324,808988,808988
110104918366,424,424
110104918469,417088,417088
110104935368,303,303
110104935564,3242682,3242682
110104935566,5459615,5459615
110104935863,108,108
110105012725,172,172
110105014563,180,180
110105018366,106,106
110105033066,516490,3928
110105035267,879079,251997
110105035764,81075,81075
110105035860,900,900
110105112325,2268,2268
110105118266,163,163
110105118761,163,163
110105135060,50437,50437
110105173122,140665,140665
110105216628,811819,811819
110105216929,585,585
110105218969,202,202
110105233860,1810,1810
110105235863,2504369,2504043
110105273722,378,378
110105316125,126,126
110105316822,423643,423643
110105333860,1623394,144652
110105335269,639180,639180
110105371027,1058249,631714
110105373320,77621,76850
110105414265,1841315,114
110105416423,1462672,1462672
110105416428,359753,359753
110105418164,300,300
110105435861,3411539,965506
110105473621,504,504
110105516127,2658498,104242
110105516327,13841,13841
110105518366,11693,11693
110105535461,620393,620393
110105571020,334667,334667
110105573420,41229,41229
110105616423,291974,291974
110105616625,144993,144993
110105673726,690786,2437
110105718661,215255,215255
110105718964,401925,231695
110105733068,60945,790
110105735669,435102,435102
110105816425,571668,571668
110105816621,238940,238940
110105816720,70848,169
110105818361,5201,5201
110105818466,4093440,4093440
110105871525,300,300
110105916426,759,759
110105933862,405723,405723
110105973725,537,537
110105973822,2305417,256522
110106018469,1224704,191285
110106018964,1558132,1126665
110106033063,176601,176601
110106033862,1506,1506
110106035163,2847888,2847888
110106071225,527504,165
110106071527,7810000,7810000
110106073127,353795,352944
110106073424,2285,580
110106116520,370,370
110106135464,82118,82118
110106216728,332616,282663
110106216824,149,149
110106216926,709401,709401
110106235664,517810,517810
110106235667,476004,269104
110106273220,365,365
110106273428,2078357,2006495
110106316425,628401,628401
110106318562,729,131
110106318869,404086,404086
110106333864,432185,149435
110106333869,171119,171119
110106335160,7343508,2332417
110106373929,73859,62144
110106416725,1502433,1502433
110106418169,600724,600724
110106471023,23165,22271
110106471529,514224,514224
110106473124,1260918,1260918
110106516721,1860,1135
110106516826,3248,665
110106518361,2125,396
110106535063,2329,396
110106535767,634061,8615
110106573225,2194716,2194716
110106573828,642286,406475
110106573922,239390,239390
110106616026,414962,414962
110106618865,1765284,1765284
110106633769,456100,49
110106671224,257144,257144
110106671525,761521,761521
110106716120,124643,124643
110106716223,7499303,292031
110106716721,1457,579
110106716724,763064,763064
110106716725,2335362,4635
110106735663,3011499,3011499
110106773221,3541281,2939012
110106833069,2934431,2934431
110106873621,38246,1319
110106873928,230719,230719
110106918369,514292,24126
110106918564,173259,173259
110106973924,5917897,527828
110107012623,675,675
110107016724,432801,432801
110107018061,2656,443
110107035067,2481188,2481188
110107071520,5013,471
110107071524,342499,342499
110107073924,798717,753256
110107112062,175466,174184
110107112365,4536168,514
110107112464,3893347,922
110107112769,1726553,1726553
110107114060,264425,261873
110107114064,182286,182286
110107114564,63576,63262
110107116267,353,353
110107116421,1117848,1117848
110107118360,904909,901918
110107118563,126413,126413
110107118869,1449,1449
110107135567,349814,349814
110107173924,342782,342782
110107212426,70797,70797
110107212927,627,133
110107214669,273375,273375
110107216020,7409,790
110107216627,389267,389267
110107216821,2661,2661
110107216921,443,443
110107218865,263315,263315
110107314067,128,128
110107314169,2560305,2560305
110107314260,149651,149651
110107314362,32534,754
110107314862,1370513,1206885
110107316226,3783,3783
110107318364,237314,237314
110107318561,75632,75632
110107318567,880650,880650
110107318967,681,681
110107333060,309760,276732
110107335462,70472,57523
110107335660,131444,131444
110107335962,191348,191348
110107373824,528861,528861
110107412127,852341,178400
110107412462,2750368,506
110107412762,1295221,845843
110107414062,79759,79759
110107416328,549424,549424
110107416629,5028759,5028759
110107418763,5508308,5508308
110107473228,4403765,159612
110107514969,16,16
110107518764,614282,614282
110107535065,1451338,1207133
110107573925,511089,464427
110107610262,213064,213064
110107614061,6542283,666244
110107614266,548961,109723
110107614368,105541,105541
110107618664,632398,86798
110107618762,285,285
110107633069,1626095,1626095
110107635161,5016485,5016485
110107635963,1937406,1417696
110107673925,349699,349699
110107716624,403355,403355
110107735669,8017,8017
110107735864,277435,277435
110107773620,542960,542960
110107810261,2657346,2657346
110107816821,1551248,317078
110107816825,331993,101804
110107818868,770588,770588
110107835264,1185703,1185703
110107910662,2070966,2070966
110107914167,1727416,830644
110108012629,1139196,553185
110108014969,510845,510845
110108018468,534271,534271
110108018765,1431290,1431290
110108035961,1241621,1241621
110108110462,1217528,1217528
110108112126,999011,999011
110108114965,57933,57933
110108116223,274,274
110108133069,8718876,365424
110108133768,409365,409365
110108135666,1480335,1479704
110108173129,82892,82892
110108214060,799,257
110108214264,663610,200876
110108214763,172675,172675
110108216527,124001,124001
110108218466,728222,728222
110108218762,359613,359613
110108235766,76513,340
110108314369,40843,17871
110108314766,1331951,124817
110108314863,241041,241041
110108318767,336567,336567
110108335565,664,664
110108418660,897890,897890
110108473727,8992,8992
110108510163,202197,202197
110108516428,361760,361760
110108610169,237104,237104
110108610565,878964,878964
110108614863,147495,147495
110108616525,43430,43430
110108633866,653375,653375
110108710160,441850,441850
110108712127,3915288,1515
110108714166,5723,336
110108714766,6275480,6275480
110108716127,7771,7771
110108716227,11080,11080
110108716726,867383,867383
110108718268,292,292
110108718560,3937095,3030695
110108718666,7194704,7194704
110108718764,217992,217992
110108733865,815197,815197
110108735460,5609130,745
110108771027,5351,5351
110108771221,618330,618330
110108773125,1056878,1056878
110108814163,497533,404905
110108816726,1229159,1229159
110108818465,1921,1921
110108818860,953,953
110108873921,0,0
110108910465,11665,11665
110108914867,2058,2058
110108916423,2897,2897
110108918560,4766724,74641
110108935161,898074,181535
110108973825,283,283
110109012424,352619,352619
110109018763,83002,78432
110109035167,180,180
110109071523,9778,9778
110109073624,108127,108127
110109073724,328635,328635
110109073728,1317575,518796
110109073825,3283,3283
110109073929,1312452,1312452
110109112122,6178343,6178343
110109112927,377163,377163
110109116627,1263,1263
110109116928,299748,299748
110109117724,39375,39375
110109117826,125869,125869
110109135163,746,746
110109135660,193987,1477
110109173429,1779340,1779340
110109173524,156,156
110109218960,669727,669727
110109235363,187111,187111
110109273423,1739,677
110109312020,55719,55719
110109314261,1427669,415
110109314569,950780,203727
110109314969,1917942,172714
110109318762,351221,3342
110109333061,1576,429
110109335668,1300619,536267
110109371223,1358462,1358462
110109373622,64128,269
110109373823,436398,213147
110109373922,278302,278302
110109412027,1436,1436
110109416120,1388202,1337
110109416122,1668,1668
110109418063,1125922,1125922
110109418068,3362,711
110109418366,3083325,783758
110109418667,3516406,59
110109418760,526025,526025
110109433767,48873,1857
110109435268,5807024,5807024
110109435962,612138,612138
110109473521,5697690,228
110109473627,2132,2132
110109510726,1774,1774
110109512126,2371600,2369932
110109512221,17824,17824
110109512628,181697,304
110109512920,17973,17973
110109516721,5500996,5500996
110109518765,602026,97273
110109535361,1615086,1615086
110109571225,666221,666221
110109612327,303,303
110109612627,342772,342772
110109616122,209,209
110109618069,66530,66530
110109618166,126,126
110109618367,1895042,345
110109618469,487768,487768
110109618664,839968,245827
110109618764,303,303
110109618966,872406,872406
110109633766,4358,4358
110109635965,6596162,4597772
110109710123,1111445,30405
110109710124,5493191,1379561
110109712324,4112864,175
110109716823,10639601,5689809
110109718160,270475,270475
110109735164,1098180,1098180
110109771226,566654,566654
110109810128,4059054,4059054
110109810822,649684,649684
110109812021,674028,674028
110109812924,91775,91325
110109816027,410967,237718
110109816127,369910,369910
110109816928,301986,301986
110109817128,5441039,4853687
110109817720,1692,1692
110109818961,862624,862624
110109818967,6602399,5754071
110109873021,2475,2475
110109910224,3239186,51
110109910720,3917767,2717
110109912923,219750,219750
110109916129,512,214
110109916925,8166549,3624637
110109918568,722663,170182
110109918966,912,912
110109935165,205726,205726
110109973128,516022,516022
110120010962,318700,318700
110120011361,1210785,180783
110120011669,231473,231473
110120014269,988834,988834
110120014363,4864921,4864921
110120014666,5989151,5989151
110120014768,39333,39333
110120014965,2197346,2197346
110120014969,423626,423626
110120018167,3600030,2114432
110120018460,251,251
110120018965,1821148,1821148
110120035065,901520,901520
110120035369,968394,866996
110120114162,1558835,1150982
110120114164,576,576
110120118067,89464,89464
110120118465,169,169
110120118568,422128,316354
110120135362,6994955,1261475
110120135865,3095009,421607
110120210463,619462,619462
110120214260,1717311,1717311
110120214968,1384,1175
110120216466,4670913,34929
110120216860,746086,746086
110120218765,2460904,2460904
110120219560,8202228,8188819
110120235163,622792,622792
110120318462,3188063,3188063
110120333760,4725811,84335
110120333762,3017734,97
110120333763,29063,29063
110120333768,11769,11769
110120335564,307117,307117
110120414164,251091,251091
110120418164,1183008,1183008
110120418261,1449585,81569
110120433764,13513327,2238243
110120433869,3252977,945128
110120514968,7176323,2554317
110120518667,126,126
110120518962,3343449,3343449
110120533762,797,797
110120533860,5313374,5313374
110120533864,3442910,3442910
110120535068,2605289,2605289
110120535163,117008,117008
110120535861,1260,476
110120614068,7741,7741
110120614069,228,228
110120614668,352,352
110120614764,267641,265453
110120618162,186306,186306
110120618461,74494,74494
110120618567,473691,473691
110120618662,5409248,73409
110120633063,68251,68251
110120635062,2883,2673
110120635263,1390800,1390800
110120635365,694163,694163
110120714262,11013,11013
110120714469,456297,154689
110120718568,1292317,1292317
110120718569,1518431,1518431
110120733868,180,180
110120735561,289,289
110120735568,1035287,265
110120814267,507439,507439
110120814368,92221,92221
110120814461,8714027,8714027
110120818261,7704066,3761053
110120818763,134590,56645
110120818961,6650848,6650848
110120835960,1358375,1358375
110120914462,0,0
110120914467,1004892,1004892
110120914563,720042,720042
110120918063,934507,308
110120918461,2717855,2717855
110120918567,579,170
110120933769,4873641,4873641
110121035460,614,134
110121073227,429896,429896
110121073423,97070,518
110121333760,12792759,65181
110121333766,47,47
110121335567,6341364,6341364
110121373121,345419,343426
110121435664,2428,2428
110121473126,623088,623088
110121473928,893462,893462
110121573429,883447,883447
110121616324,336851,90713
110121833068,680932,680932
110121833765,11786480,136
110121835561,772390,772390
110121873421,12645,12645
110121973521,881,182
110122016326,395208,395208
110122016328,0,0
110122018267,5948174,1218885
110122035866,402352,402352
110122035967,4500242,4343947
110122035969,5742049,5152003
110122073225,15630,15630
110122073827,283383,283383
110122118467,963164,77951
110122133067,3316939,3316939
110122133760,8324450,6919346
110122173323,1548030,1548030
110122316320,1149810,1149810
110122316427,2607,2607
110122318261,6218995,193
110122333765,2917,389
110122335567,5130973,3991276
110122373929,137697,137697
110122471226,349177,349177
110122471529,525004,525004
110122473024,123643,1834
110122473926,2151,1860
110122533761,857931,856631
110122673028,227297,1
110122716427,1505,1505
110122718162,2955358,2955358
110122718362,4797287,4797287
110122733068,6187819,636646
110122733760,10062261,10062261
110122735561,10985962,10883778
110122735661,14322,14322
110122735760,1196482,1196482
110122773429,287369,287369
110122773722,2215,95
110122773825,646332,646332
110122835565,5478013,9897
110122873028,361737,361737
110122918262,1300497,1300497
110123035461,20288753,4073256
110123133766,3038103,624192
110123135464,14682781,13250679
110123135467,1026777,366740
110123333867,12275790,12275790
110123435263,8106146,8106146
110123535164,17268043,17268043
110123535462,80385,144
110123633764,1012,1012
110123673721,1116886,1096374
110123735168,2419532,154190
110123773024,11871,11871
110123773027,405092,405092
110123833762,543767,543767
110123835969,10196477,9207609
110123933865,5034201,5034201
110123933866,1219,1219
110124073122,417595,417595
110124135460,978963,265705
110124173125,1913,1913
110124273422,636,636
110124273523,168522,168522
110124335169,8423351,302
110124435162,533618,533618
110124535363,1307563,1307563
110124573327,219027,219027
110124633868,18638348,1631652
110124673128,373795,373795
110124733066,346833,48598
110124735466,1137560,210
110124773325,291248,81027
110124833069,8322050,8320871
110124871222,263,263
110124933762,2469489,2467567
110124935967,8056071,8056071
110124971220,413,413
110125016029,154991,154991
110125118266,210867,210867
110125133862,1273353,1273353
110125135061,771770,771095
110125135363,277627,60658
110125135569,2104,290
110125316329,512721,512721
110125333068,14549007,14548519
110125433061,1256795,1256795
110125435369,22830,22830
110125473420,203542,117931
110125535063,600686,82943
110125535460,416114,400902
110125535867,563140,563140
110125635565,172413,172413
110125635963,9502692,1814540
110125673624,67501,67501
110125718160,357517,144
110125835461,82568,9947
110125835669,2131805,2131805
110125933063,862516,862516
110125935168,60474,60089
110125935562,423551,126049
110125935866,3642339,3642339
110126035560,1381690,1290407
110126135761,6986823,6986823
110126135765,52291,52291
110126235369,526,526
110126333764,1397,1397
110126435566,1447616,1447616
110126435761,489183,82445
110126535064,1480,1480
110126635161,963043,963043
110126635266,2328120,2328120
110126635464,7515588,5879085
110126735961,4099752,3851683
110126735964,362329,361324
110127033065,2958489,2958489
110127033767,124400,124400
110127035169,125613,125613
110127135964,769,769
110127235468,114117,114117
110127735162,2951792,470
110127835261,1289874,1227225
110127933863,14868295,251669
110128035268,1758613,561
110128133767,278791,278791
110128135263,15072737,5975405
110128135463,3953598,338796
110128333067,256893,256893
110128335465,13011873,580
110128433064,764189,764189
110128435362,263659,263659
110128435368,10371904,10370211
110128535360,346622,346622
110129235360,350917,350917
110129335361,2440500,513670
110129373928,839,839
110129435664,6706473,6706473
110129435964,4417234,549498
110129571225,351371,226683
110129616427,286198,7213
110129635962,2653733,243438
110129673122,1765,1765
110129673423,2076423,99754
110129716122,43944,43944
110129835560,410753,410753
110129835565,1826,737
110129873728,318,318
110129935262,387622,387622
110140016328,1328825,1328825
110140073123,1389779,7784
110140073720,10969109,175720
110140073922,678975,678975
110140173027,940678,940678
110140173120,370389,370036
110140173228,1026516,1026516
110140173522,2590,157
110140173621,5065883,2831635
110140173820,13221087,13221087
110140273024,11758405,10215944
110140273227,9900303,9523079
110140371226,7868420,7868420
110140373325,4374912,4373166
110140373522,9857291,2043
110140516329,123,123
110140516622,9637102,522667
110140573423,8033338,8033338
110140716427,57049,57049
110140773729,862728,208
110140871226,178231,177202
110140873128,8564141,8564141
110140873727,412398,412398
110140873922,406491,406491
110140916327,317608,173778
110140916422,698,698
110140973128,46,46
110140973528,2659,2659
110141171525,4660168,660
110141173126,450455,126037
110141273620,0,0
110141373128,1019502,1019502
110141473828,239501,239501
110141573725,10896592,10502246
110141771524,446472,446472
110141773321,3354029,686548
110141773929,6253066,6097067
110141873426,17743958,729
110141971029,333470,35009
110141973827,155639,155222
110142273129,6785,6785
110142273922,381800,381800
110142371223,225903,225903
110142473428,21606309,236194
110142571220,1821,414
110142573121,2711401,2711401
110142573125,605684,605684
110142671028,23543,23543
110142871227,8587516,1382668
110142873725,15074314,14133538
110142973128,327,327
110142973320,87,87
110143171225,808580,437646
110143171527,406128,406128
110143173820,18308836,28421
110143173825,9321563,8767857
110143271023,129252,25949
110143471529,2653,2653
110143573328,79888,163
110143573726,2843785,2833325
110143671523,3034900,2768805
110143673126,300,300
110143673723,539482,281376
110143773828,137,137
110143873327,218723,364
110143973128,811,609
110144073729,1488076,1488076
110144273423,693,693
110144473820,5341390,5339730
110144571528,172589,410
110144573320,495,495
110144771520,405,405
110144871522,469476,469476
110145073726,629159,93337
110145171520,96746,120
110145171523,31,31
110145173925,6599124,6599124
110145273626,367,367
110145273825,974896,535102
110145273921,533572,533572
110145371229,2007080,2007080
110145371527,8720201,8720201
110145373727,71,71
110145373920,47,47
110145571524,72,72
110145573925,4057409,4057409
110145673427,2607089,2607089
110145673728,9074032,357
110145773120,15897858,15897476
110145971222,824,824
110145971226,9554,9554
110145971520,572702,572702
110145973123,633254,633254
110146071029,960015,960015
110146073329,11796,11796
110146073827,89955,87556
110146371521,13166119,6881594
110146473724,5610171,5608962
110146771220,5070095,4647267
110146816121,884332,121695
110146971528,2343237,8630
110146973827,6046037,1774093
110147012128,8126035,8126035
110147012220,1151,1151
110147012420,3103727,3103727
110147012529,177,177
110147014320,5743,5743
110147014329,169,169
110147015125,6833884,6833884
110147016220,2062261,2062261
110147016421,10020227,10020227
