userid,orderHistory_1_rate,keywords_good1_bad0
100000015043,,
100000015129,,1.0
100000015145,,
100000015153,,
100000015213,,
100000015223,0.0,1.0
100000015275,,
100000015433,,
100000015475,0.0,1.0
100000015747,,
100000015791,,1.0
100000015969,0.25,1.0
100000016009,,
100000016197,,
100000016219,,1.0
100000016265,0.8,1.0
100000016341,0.0,1.0
100000016351,,
100000016391,,
100000016831,0.0,1.0
100000016845,,
100000016861,0.0,1.0
100000016987,,
100000017177,0.0,
100000017277,0.5,1.0
100000017281,0.0,
100000017345,,
100000017367,,1.0
100000017465,1.0,
100000017469,,0.0
100000017505,,
100000017691,,
100000017693,,
100000017965,,1.0
100000018097,0.0,
100000018117,,1.0
100000018123,0.0,
100000018259,0.0,1.0
100000018413,,
100000018417,,
100000018629,,1.0
100000018905,,1.0
100000018941,,
100000018979,0.0,
100000019251,0.0,1.0
100000019375,,1.0
100000019379,,
100000019487,0.75,1.0
100000019489,0.0,1.0
100000019507,0.0,1.0
100000019641,,1.0
100000019697,,1.0
100000019829,,1.0
100000019999,,
100000020007,,1.0
100000020017,,1.0
100000020019,,
100000020061,0.0,
100000020213,,1.0
100000020277,0.0,
100000020301,0.0,
100000020393,,1.0
100000020459,0.0,1.0
100000020665,,
100000020745,,
100000020809,,1.0
100000020811,0.0,1.0
100000020907,,
100000020921,,
100000020931,,
100000020995,,
100000021111,0.0,1.0
100000021175,,1.0
100000021395,0.0,1.0
100000021427,0.0,
100000021453,,1.0
100000021457,,
100000021553,1.0,
100000021649,,
100000021659,,1.0
100000021759,0.0,
100000021783,,
100000021809,,
100000021873,,
100000022129,1.0,1.0
100000022335,0.5,1.0
100000022357,,
100000022389,,
100000022417,0.0,
100000022481,0.0,1.0
100000022499,1.0,
100000022571,0.0,1.0
100000022651,,1.0
100000022677,0.0,
100000022761,0.0,1.0
100000022773,,
100000022801,0.6666666666666666,1.0
100000022841,,
100000022931,,1.0
100000022963,,
100000023051,0.0,
100000023443,,1.0
100000023563,,
100000023659,,
100000023915,,1.0
110020371225,,1.0
110020471524,,
110020473123,0.0,
110020671528,,
110020673328,0.0,1.0
110020771524,,
110020773124,0.0,
110100014168,,
110100014369,0.0,1.0
110100014466,,
110100014563,,
110100016128,,
110100016324,0.6,
110100016628,,
110100016726,1.0,
110100016828,0.0,1.0
110100016928,,
110100018268,,
110100018468,0.0,1.0
110100018567,,
110100018764,,
110100033067,1.0,
110100033863,,
110100035569,,
110100035669,,
110100071228,,
110100073229,,
110100073827,0.0,
110100116024,,
110100116027,,
110100116423,1.0,1.0
110100116425,,
110100116429,,
110100116920,,
110100118262,,
110100118265,,
110100118669,0.0,
110100133065,,
110100135162,0.0,
110100135163,,
110100135560,,
110100135562,0.0,1.0
110100135764,,
110100135767,,
110100171021,0.0,0.0
110100171526,,
110100173725,0.0,1.0
110100214160,,
110100214261,,
110100214263,,
110100214268,,
110100214961,,
110100216329,,
110100218568,0.0,1.0
110100218569,,
110100218662,,
110100218869,,
110100218963,,
110100233064,,
110100233069,,
110100235564,,
110100273222,,
110100273229,0.6666666666666666,1.0
110100273426,,
110100273825,0.0,1.0
110100316225,,
110100316421,,
110100316423,,
110100316824,,
110100316920,,
110100318867,0.0,1.0
110100333066,0.0,1.0
110100333868,0.0,1.0
110100335060,,
110100335161,,
110100335662,,
110100335665,0.0,1.0
110100335769,,
110100371225,,
110100373124,,
110100373323,,
110100373324,,
110100373526,,
110100412420,,
110100416123,,
110100416221,,
110100416425,,
110100418165,,
110100418369,0.0,1.0
110100433869,,
110100435160,,
110100435463,,
110100435467,,
110100435869,,
110100471025,,
110100471223,,1.0
110100471225,,
110100473027,0.0,
110100473524,0.0,
110100473723,,
110100473728,,
110100512322,,
110100512326,,
110100512625,1.0,1.0
110100512728,0.0,1.0
110100514160,,
110100514164,0.0,1.0
110100514166,,
110100514169,,
110100516026,,
110100516222,,
110100516323,0.0,
110100516524,,
110100516727,0.0,1.0
110100516923,,
110100516927,0.0,1.0
110100518068,,
110100518264,0.0,1.0
110100518265,0.0,
110100518665,0.0,1.0
110100533768,,
110100535060,,
110100535669,0.0,
110100535765,,
110100535968,,
110100571024,,
110100571025,,
110100573022,0.0,1.0
110100573428,,
110100573527,0.0,1.0
110100612321,,
110100612826,,
110100614162,,
110100614260,,
110100614366,0.0,1.0
110100614963,,
110100616528,,
110100618264,0.0,1.0
110100618563,,
110100618567,0.0,
110100618863,0.0,
110100618866,,
110100633765,,
110100633862,0.75,1.0
110100635169,,
110100635261,,
110100635661,0.0,
110100635662,,
110100635766,0.0,
110100673722,,
110100712426,,
110100712727,0.0,1.0
110100712925,,
110100716423,,
110100718167,,
110100718261,,
110100718463,,
110100733761,,
110100733863,,
110100735067,,
110100735363,,
110100735566,0.0,1.0
110100735568,,
110100773026,,
110100773229,0.0,1.0
110100773324,,
110100816124,0.0,
110100816221,,
110100816329,,
110100816527,,
110100816923,0.0,1.0
110100818061,,
110100818564,1.0,1.0
110100818565,0.3333333333333333,1.0
110100818662,,
110100818965,0.0,
110100833064,,
110100833863,,
110100833868,,
110100835563,,
110100835863,0.0,1.0
110100871523,,
110100873726,,
110100873822,,
110100873924,,
110100873925,,
110100873926,0.0,
110100916925,,
110100933064,,
110100933861,,
110100935065,,
110100935160,,
110100935361,,
110100935364,,
110100935462,0.0,1.0
110100935665,,
110100935666,,
110100935964,,
110100935966,,
110100971224,,
110100971227,,
110100973127,,
110100973223,,
110100973325,,
110100973623,,
110100973626,,
110100973722,,
110101012126,,
110101012127,,
110101012326,,
110101012724,,
110101012725,0.0,
110101012729,,
110101014163,0.0,1.0
110101014169,,
110101014964,,
110101016424,0.0,1.0
110101016425,,
110101016528,0.0,
110101016824,0.0,1.0
110101016826,,
110101018068,,
110101018166,,
110101018266,,
110101018269,0.0,
110101018565,0.0,1.0
110101018666,,
110101018760,,
110101018762,,
110101018767,,
110101018861,,
110101018862,0.0,1.0
110101018966,,
110101035168,,
110101035260,,
110101035367,,
110101071022,,
110101071523,,
110101073020,0.0,1.0
110101073023,,
110101073129,0.0,1.0
110101073221,,
110101073325,,
110101073528,0.0,1.0
110101073823,0.0,
110101073825,,
110101073925,,
110101112421,,
110101112526,,
110101112925,0.0,1.0
110101114263,,
110101114268,0.0,
110101114362,,
110101114365,0.0,1.0
110101114961,,
110101116023,,
110101116426,,
110101116626,,
110101118364,,
110101118462,,
110101118767,0.0,1.0
110101118860,0.0,1.0
110101133862,,
110101133863,,
110101135167,,
110101135461,0.0,
110101135660,,
110101135762,,
110101135862,,
110101135965,,
110101173027,,
110101173122,,
110101173321,0.0,1.0
110101173324,0.0,
110101173327,0.0,1.0
110101173728,0.0,1.0
110101173822,,
110101210025,0.0,
110101210169,0.0,0.0
110101210260,,
110101210262,,
110101210461,0.0,1.0
110101210462,,
110101210469,,
110101210620,,
110101210621,,
110101210722,,
110101210926,,
110101210967,,
110101212129,,
110101212165,,
110101212225,,
110101212324,,
110101212327,,
110101212364,,
110101212423,,
110101212462,,
110101212561,,
110101212568,0.0,
110101212760,,
110101212820,0.0,1.0
110101212921,,
110101212927,0.0,1.0
110101212928,,
110101212961,,
110101214060,,
110101214464,,
110101214466,0.0,
110101214769,0.0,
110101214861,,
110101215320,,
110101216027,,
110101216163,0.0,1.0
110101216425,0.0,1.0
110101216521,,
110101216522,,
110101216524,,
110101216529,,
110101216628,0.0,1.0
110101217229,0.0,1.0
110101217422,,
110101217621,0.0,1.0
110101217825,,
110101218660,,
110101218664,,
110101218668,,
110101218766,,
110101218863,,
110101233068,,
110101235060,,
110101235165,0.0,
110101235269,,
110101235363,0.0,
110101235662,,
110101235761,0.0,1.0
110101235962,,
110101235965,,
110101235966,0.0,
110101271227,,
110101273028,0.0,1.0
110101273329,,
110101273429,,
110101273529,0.0,1.0
110101273620,0.6666666666666666,1.0
110101273722,,
110101273922,0.0,
110101312127,,
110101312427,,
110101312428,,
110101312724,0.0,
110101312728,,
110101312828,0.0,1.0
110101314168,,
110101314366,,
110101314368,0.0,
110101314469,,
110101314964,,
110101316220,,
110101316229,,
110101316423,,
110101316427,,
110101316627,,
110101316720,,
110101316729,,
110101316927,,
110101318160,,
110101318163,,
110101318266,,
110101318465,,
110101318665,,
110101333767,0.0,0.0
110101335266,,
110101335269,,
110101335362,,
110101335462,,
110101335667,,
110101335867,0.0,
110101335968,,
110101373028,,
110101373220,0.0,
110101373225,,
110101373227,,
110101373524,,
110101373529,0.0,1.0
110101373824,0.0,
110101410222,,
110101410323,,
110101410529,,
110101410726,0.0,
110101410826,,
110101410923,0.0,1.0
110101412525,0.0,
110101412527,,
110101412620,,
110101412724,0.0,
110101412728,,
110101412929,,
110101414569,0.0,1.0
110101416028,,
110101416126,0.0,1.0
110101416320,0.0,1.0
110101416621,,
110101416721,,
110101416823,0.0,1.0
110101416924,0.0,1.0
110101416927,,
110101418261,,
110101418562,,
110101418567,,
110101418660,,
110101418968,,
110101435069,,
110101435464,,
110101435960,0.0,1.0
110101471028,,1.0
110101471220,0.0,
110101471522,,
110101473121,,1.0
110101473124,,
110101473127,,
110101473429,0.0,1.0
110101473723,,
110101510262,,
110101512120,,
110101512121,,
110101512129,,
110101512321,,
110101512325,0.0,1.0
110101512727,,
110101512927,,
110101514162,,
110101514165,,
110101514562,0.0,1.0
110101514861,,
110101516029,,
110101516321,0.0,1.0
110101516326,,
110101516521,,
110101516623,,
110101516627,,
110101516728,,
110101516823,,
110101518268,0.25,1.0
110101518464,,
110101518562,,
110101518665,0.0,
110101518767,0.0,1.0
110101518966,,
110101533062,,
110101533769,,
110101533865,,
110101535067,0.0,1.0
110101535368,,
110101535567,,
110101535662,,
110101535960,0.0,1.0
110101535969,,
110101571222,,
110101571227,,
110101571523,0.0,1.0
110101571527,,
110101573228,0.0,
110101573520,0.0,
110101573629,,
110101573822,,
110101573825,,
110101573827,,
110101573924,,
110101610020,,
110101610267,,
110101610321,0.0,1.0
110101610464,,
110101610529,,
110101610623,,
110101610722,,
110101610725,,
110101610924,,
110101612223,0.0,
110101612260,,
110101612328,,
110101612362,,
110101612364,0.0,1.0
110101612421,0.0,1.0
110101612424,,
110101612425,0.0,1.0
110101612427,,
110101612464,,
110101612622,,
110101612760,,
110101612767,,
110101612962,,
110101612966,,
110101614127,,
110101614364,0.0,1.0
110101614761,,
110101614762,,
110101615029,,
110101615429,,
110101615825,0.0,1.0
110101615827,,
110101616060,,
110101616063,,
110101616128,0.0,
110101616129,0.0,1.0
110101616262,,
110101616264,,
110101616321,,
110101616329,,
110101616464,0.0,1.0
110101616522,0.0,1.0
110101616528,0.0,1.0
110101616563,,
110101616565,,
110101616663,0.0,1.0
110101616721,,
110101616828,,
110101617025,0.0,
110101617428,,
110101617728,0.0,1.0
110101618167,,
110101618260,,
110101618267,1.0,
110101618269,,
110101635063,0.0,1.0
110101635265,,
110101635269,,
110101635362,0.0,
110101635660,0.0,
110101635662,,
110101635666,,
110101635863,,
110101635866,,
110101635961,,
110101673020,,
110101673026,,
110101673127,,
110101673222,,
110101673228,,
110101673321,,
110101673422,,
110101673522,,
110101673723,,
110101673827,,
110101710127,0.0,1.0
110101710128,0.6666666666666666,1.0
110101710325,0.0,
110101710423,,
110101710721,,
110101712429,,
110101712620,,
110101714167,,
110101714169,0.0,1.0
110101714263,,
110101714360,,
110101714560,0.0,1.0
110101714960,0.0,
110101716021,,
110101716822,,
110101716828,,
110101718068,0.0,
110101718161,,
110101718168,,
110101718169,0.0,1.0
110101718568,,
110101718662,,
110101718760,,
110101733860,,
110101733867,,
110101733868,0.5,1.0
110101735062,,
110101735669,,
110101735766,0.0,1.0
110101771521,,
110101773023,,
110101773227,0.0,1.0
110101773522,,
110101810163,1.0,
110101810167,0.0,1.0
110101810168,0.0,
110101810267,,
110101810361,,
110101810363,,
110101812321,0.0,1.0
110101812427,,
110101812824,,
110101814061,,
110101814067,0.0,1.0
110101814767,0.0,
110101814768,,
110101814860,0.0,
110101814862,,
110101814865,0.0,
110101814967,0.0,1.0
110101816027,0.0,1.0
110101816220,,
110101816223,1.0,
110101816420,0.0,1.0
110101816529,,
110101818162,,
110101818361,,
110101818768,0.0,
110101833065,,
110101833869,,
110101835062,,
110101835266,,
110101835468,,
110101835564,0.5,
110101835569,0.0,
110101835960,,
110101873123,,
110101873126,,
110101873228,,
110101873321,,
110101873624,,
110101912120,,
110101912129,0.0,
110101912226,,
110101912528,0.0,
110101912627,,
110101912629,,
110101912822,0.0,1.0
110101912825,,
110101912922,,
110101914063,,
110101914168,,
110101914169,,
110101914361,,
110101914561,,
110101914569,,
110101914968,,
110101916723,0.0,1.0
110101916729,,
110101916823,,
110101918161,0.0,
110101918461,,
110101918564,,
110101918567,,
110101918860,1.0,
110101918861,,
110101935266,0.0,1.0
110101935465,,
110101971228,,
110101973024,0.0,1.0
110101973120,,
110101973123,,
110101973221,,
110101973421,,
110101973429,,
110101973524,,
110101973823,,
110101973922,0.5,
110102012123,0.0,1.0
110102012125,,
110102012329,0.0,
110102012522,,
110102012625,,
110102012728,,
110102012823,,
110102016229,,
110102016429,0.0,1.0
110102016521,,
110102016721,0.0,
110102016727,,
110102016923,,
110102016929,,
110102018162,,
110102018267,0.0,
110102033866,,
110102035366,,
110102035969,,
110102073220,0.0,
110102073221,,
110102073423,,
110102073620,,
110102112221,,
110102112321,,
110102112420,0.0,1.0
110102112423,,
110102112624,,
110102112726,,
110102112920,,
110102112925,,
110102116223,,
110102116321,0.0,
110102116327,,
110102116724,0.0,1.0
110102116926,,
110102118363,,
110102118660,,
110102118963,,
110102135361,,
110102171025,,
110102173122,,
110102173429,,
110102173926,0.0,1.0
110102212724,0.0,1.0
110102212827,,
110102214468,,
110102216020,0.0,
110102216221,,
110102216925,,
110102216927,0.0,
110102216928,,
110102218266,,
110102218364,,
110102218963,,
110102233866,,
110102235162,,
110102235466,1.0,1.0
110102235660,,
110102235762,,
110102271022,,
110102271024,,
110102271223,,
110102271224,,
110102273125,,
110102273421,,
110102273628,0.0,
110102273726,0.0,
110102273920,,
110102310123,,
110102310322,,
110102312221,,
110102312225,,
110102312527,,
110102312623,,
110102312727,1.0,
110102312928,0.0,
110102316129,,
110102316623,,
110102316927,,
110102318064,,
110102318666,,
110102318762,,
110102318767,0.0,
110102318769,,
110102318865,0.0,
110102333864,0.0,1.0
110102333865,,
110102335069,,
110102335168,0.0,
110102335262,0.0,1.0
110102335366,,
110102335762,,
110102335765,,
110102371028,,
110102371224,,
110102373022,,1.0
110102373224,0.0,
110102373423,0.0,
110102373628,0.0,1.0
110102373822,,
110102373927,,
110102414164,,
110102414168,,
110102416120,1.0,1.0
110102416426,,
110102416820,0.0,1.0
110102416920,0.0,1.0
110102416921,,
110102433761,,
110102435365,0.0,
110102435969,,
110102471020,,
110102471027,0.0,
110102471526,,
110102471529,0.0,1.0
110102473022,,
110102473123,,
110102473126,,
110102473221,,
110102473321,,
110102473523,,
110102473622,,
110102473724,0.0,
110102473829,,
110102473921,,
110102512322,,
110102512720,,
110102514265,,
110102516029,0.0,1.0
110102516127,0.0,
110102516129,,
110102516722,,
110102516928,0.6666666666666666,1.0
110102518160,0.0,
110102518263,,
110102518269,,
110102518366,,
110102518560,,
110102518765,,
110102535267,,
110102535367,,
110102535962,,
110102571222,,
110102571226,,
110102573123,,
110102573126,,
110102573127,,
110102573322,,
110102573423,0.0,1.0
110102573723,,
110102573824,,
110102573829,,
110102612324,,
110102612327,0.0,
110102614165,,
110102614267,1.0,1.0
110102614268,,
110102614369,0.0,1.0
110102614464,,
110102614966,,
110102616020,,
110102616221,,
110102616628,,
110102633068,,
110102633869,,
110102635065,,
110102635664,0.0,1.0
110102673120,,
110102673123,,
110102673221,,
110102673420,,
110102673421,0.0,
110102673423,,
110102673425,,
110102673920,0.0,1.0
110102712721,,
110102712725,0.0,
110102714267,0.0,
110102714560,,
110102714566,,
110102716022,,
110102716520,,
110102716628,,
110102716820,,
110102716823,,
110102716828,0.0,1.0
110102716929,,
110102718064,,
110102718168,0.0,1.0
110102718368,,
110102718461,,
110102718466,0.0,
110102718660,,
110102718666,0.0,1.0
110102718668,,
110102718863,,
110102718968,,
110102733061,0.0,1.0
110102733868,,
110102735064,,
110102735465,,
110102735661,0.0,1.0
110102771028,,
110102771029,0.0,
110102771220,0.0,1.0
110102773026,0.0,1.0
110102773127,0.0,
110102773325,,
110102773628,0.0,1.0
110102773720,0.0,1.0
110102773820,0.0,1.0
110102812320,,
110102812428,,
110102812621,,
110102812624,,
110102812627,,
110102812724,,
110102814363,,
110102814560,,
110102814562,,
110102816026,,
110102816326,0.0,1.0
110102816425,,
110102816426,,
110102816429,,
110102816620,,
110102816625,,
110102816921,,
110102818160,,
110102818167,,
110102818569,,
110102818861,,
110102833063,0.0,1.0
110102835163,,
110102835261,,
110102835766,,
110102871025,,
110102871229,,
110102871523,,
110102873024,0.0,
110102873025,,
110102873229,0.0,1.0
110102873321,,
110102873623,,
110102873627,,
110102873820,,
110102873829,0.0,
110102912124,,
110102912421,,
110102912721,,
110102912724,0.0,1.0
110102912828,,
110102912923,,1.0
110102912926,,
110102916021,0.0,1.0
110102916027,,
110102916320,,
110102916425,,
110102916623,,
110102916723,,
110102916922,,
110102916928,,
110102918763,,
110102933069,,
110102933765,,
110102933769,,
110102933862,1.0,
110102935764,,
110102935869,,
110102971022,,
110102971225,,
110102973024,,
110102973026,,
110102973027,,
110102973029,,
110102973121,,
110102973524,,1.0
110102973622,0.0,1.0
110103010120,,
110103010425,,
110103010726,,
110103012226,,
110103012620,,
110103012626,0.0,1.0
110103012628,,
110103012724,,
110103012925,0.0,1.0
110103012926,,
110103014161,0.0,1.0
110103014162,0.0,1.0
110103014364,,
110103014960,,
110103014962,,
110103016021,,
110103016321,0.0,
110103016325,0.0,1.0
110103016425,0.0,
110103016720,,
110103016725,,
110103018268,,
110103018361,,
110103018467,,
110103018760,,
110103035263,1.0,1.0
110103035265,,
110103035365,,
110103035466,,
110103035469,1.0,
110103035961,0.0,1.0
110103071023,,
110103073021,,
110103073023,0.0,1.0
110103073422,,
110103073520,,
110103073922,,
110103073925,,
110103112124,0.0,1.0
110103112726,,
110103114568,,
110103114964,,
110103116127,,
110103116220,0.0,
110103116429,,
110103116721,,
110103116726,1.0,0.0
110103118060,,
110103118167,,
110103118569,,
110103118767,,
110103118867,,
110103118964,,
110103133760,,
110103133866,,
110103133868,,
110103135068,0.0,
110103135261,,
110103135267,,
110103135464,,
110103135567,,
110103135866,0.0,1.0
110103135964,,
110103171224,,
110103171529,,
110103173124,,
110103173229,0.0,1.0
110103173422,0.0,
110103173522,0.0,1.0
110103173623,,
110103173821,,
110103210326,,
110103212020,,
110103212126,,
110103212628,0.7142857142857143,1.0
110103214160,0.0,1.0
110103214466,,
110103216028,,
110103216125,,
110103216129,,
110103216627,0.0,
110103216629,0.0,1.0
110103216725,,
110103218065,,
110103218165,0.0,1.0
110103218269,,
110103218460,1.0,
110103218467,,
110103218468,0.0,1.0
110103218861,0.0,1.0
110103233768,,
110103235062,,
110103235063,0.0,1.0
110103235160,,
110103235260,,
110103235665,,
110103235669,,
110103235767,0.0,
110103235860,0.0,1.0
110103235866,0.0,
110103235968,,
110103271022,,
110103271023,,
110103273020,,
110103273024,,
110103273420,,
110103273428,,
110103273521,,
110103273825,,
110103310120,0.0,1.0
110103310265,,
110103310266,,
110103310327,,
110103310422,,
110103312325,,
110103312629,,
110103312726,,
110103314062,,
110103314265,,
110103314362,,
110103314460,,
110103314461,0.0,1.0
110103314561,,
110103316021,,
110103316029,,
110103316528,,
110103316827,,
110103316922,,
110103318069,0.0,0.0
110103318360,,
110103318468,,
110103318768,0.0,1.0
110103318868,,
110103318964,0.0,1.0
110103333069,1.0,1.0
110103335064,,
110103335066,,
110103335168,0.0,1.0
110103335262,0.0,1.0
110103335461,0.0,1.0
110103335465,,
110103335561,,1.0
110103335766,,
110103335964,,
110103371223,0.0,1.0
110103371520,0.0,1.0
110103371528,,1.0
110103373324,,
110103373823,,
110103373827,,
110103373920,,
110103410321,,
110103412226,,
110103412227,,
110103412521,,
110103412522,,
110103412922,,
110103414267,0.0,1.0
110103414369,,
110103414466,,
110103414469,,
110103414562,,
110103414565,,
110103414866,,
110103414965,,
110103416322,,
110103416521,,
110103416628,,
110103416726,0.0,1.0
110103416821,,
110103416923,0.0,1.0
110103416926,,
110103418169,0.0,1.0
110103418265,,
110103418267,,
110103418464,,
110103418563,0.0,1.0
110103418663,0.0,0.0
110103435060,,
110103435169,,
110103435368,0.0,1.0
110103435564,,
110103435566,,
110103435665,,
110103435866,,
110103435960,,
110103473028,,
110103473126,,
110103473129,,
110103473420,,
110103473528,,
110103473629,,
110103473726,,
110103473821,,
110103510126,,
110103510429,,
110103512020,,
110103512320,,
110103512529,0.0,1.0
110103512629,,
110103512927,,
110103516425,,
110103516726,0.0,
110103518061,,
110103518067,,
110103518460,,
110103518465,,
110103518960,0.0,
110103518963,,
110103518964,0.0,1.0
110103533762,,
110103533862,,
110103533864,0.0,1.0
110103535165,,
110103535167,,
110103535666,0.0,1.0
110103535760,,
110103535968,,
110103535969,,
110103571022,0.0,
110103571024,,
110103571520,,
110103571521,0.0,
110103571523,,
110103573020,,
110103573125,,
110103573128,,
110103573424,,
110103573723,,
110103610128,,
110103610226,,
110103610624,,
110103610822,,
110103612220,,
110103612326,,
110103612721,0.0,1.0
110103612723,,
110103612724,0.0,1.0
110103612820,0.0,1.0
110103612821,,
110103612824,0.0,1.0
110103616625,,
110103616923,0.0,1.0
110103618061,,
110103618367,,
110103618563,,
110103633066,,
110103633764,,
110103635063,,
110103635166,0.0,
110103635261,,
110103635266,,
110103635268,,
110103635662,,
110103635762,,
110103635769,0.0,1.0
110103635868,,
110103671223,,
110103671523,0.0,1.0
110103671528,,
110103673025,0.0,
110103673422,0.0,1.0
110103673622,,
110103673929,,
110103712428,,
110103712521,,
110103712526,,
110103712528,,
110103712629,0.0,1.0
110103712721,0.0,1.0
110103712729,,
110103714263,,
110103714366,0.0,1.0
110103714965,,
110103716121,,
110103716125,0.0,
110103716220,,
110103716723,,
110103716726,0.0,
110103716829,,
110103718061,,
110103718165,,
110103718262,0.0,
110103718363,,
110103718562,0.0,
110103718760,,
110103733764,,
110103733864,,
110103733867,,
110103735160,,
110103735162,,
110103735167,,
110103735262,0.0,
110103735265,,
110103735662,,
110103773124,,
110103773329,0.0,1.0
110103773424,0.0,
110103773526,,
110103773627,,
110103773825,,
110103773829,,
110103810320,,
110103810425,,
110103812120,,
110103812628,1.0,
110103812924,0.0,
110103812925,,
110103814260,,
110103814261,,
110103814262,,
110103814269,,
110103816124,,
110103816223,0.0,1.0
110103816224,,
110103816422,,
110103816621,,
110103818267,,
110103818268,0.0,
110103818360,,
110103818368,0.0,1.0
110103818762,,
110103818763,0.0,
110103818769,0.0,1.0
110103818868,0.0,
110103818960,1.0,
110103833761,,
110103833864,,
110103835063,0.0,1.0
110103835162,,
110103835163,0.0,1.0
110103835264,,
110103835266,,
110103835964,,
110103873024,,
110103873222,,
110103873426,0.0,1.0
110103873627,,
110103873922,,
110103873928,,
110103912022,,
110103912125,,
110103912520,1.0,1.0
110103914365,,
110103914466,,
110103916222,,
110103916527,,
110103916626,0.5,1.0
110103916629,,
110103916929,0.0,1.0
110103918062,,
110103918063,0.0,1.0
110103918067,,
110103918465,,
110103918764,,
110103918866,,
110103933865,,
110103935061,,
110103935168,,
110103935569,,
110103935860,,
110103971027,,
110103971222,,
110103971223,,
110103971224,0.0,1.0
110103971228,,
110103971523,,
110103973022,0.0,1.0
110103973026,,
110103973429,,
110103973525,0.0,1.0
110103973720,,
110103973722,0.0,1.0
110103973726,,
110103973928,,
110104012325,,
110104012420,,
110104012427,,
110104012529,,
110104014166,,
110104014260,0.0,1.0
110104014364,,
110104014368,,
110104014468,,
110104014565,,
110104014665,,
110104014961,,
110104014968,,
110104016023,,
110104016123,0.0,
110104016224,0.0,1.0
110104016323,0.0,
110104016529,,
110104016626,1.0,
110104018068,,
110104018069,1.0,1.0
110104018161,,
110104018162,0.0,1.0
110104018368,,
110104018466,,
110104018467,0.0,1.0
110104018561,,
110104018669,,
110104018763,0.0,
110104018962,,
110104033763,0.0,1.0
110104033767,,
