userid,order_time_interval_firstvale,order_time_interval_lastvale1,order_time_interval_lastvale2,order_time_interval_lastvale3,order_time_interval_mean,order_time_interval_var,order_time_interval_min,order_time_interval_max
100000009463,339563,170980,339563,nan,255271.5,7105056972.25,7105056972.25,339563
100000009611,10016813,6639695,438252,10016813,5698253.33333,1.5734628011e+13,1.5734628011e+13,10016813
100000009773,5598210,8671537,5598210,nan,7134873.5,2.36133471223e+12,2.36133471223e+12,8671537
100000009925,15841500,63582,806,4941,2285125.42857,3.06302374072e+13,3.06302374072e+13,15841500
100000010161,918,664185,12374147,6402868,4860529.5,2.50145967696e+13,2.50145967696e+13,12374147
100000010199,4854959,1631,1571901,1317,2648810.11111,1.41570198505e+13,1.41570198505e+13,11320997
100000011325,1163,298,3789,311,1855.0,4658086.75,4658086.75,6850
100000011763,143134,4680,143134,nan,73907.0,4792377529.0,4792377529.0,143134
100000011933,1805023,4260614,1805023,nan,3032818.5,1.50748178982e+12,1.50748178982e+12,4260614
100000012213,511677,275,9788,511677,173913.333333,57057230121.6,57057230121.6,511677
100000012715,2190871,14088248,2190871,nan,8139559.5,3.538689487e+13,3.538689487e+13,14088248
100000012889,597857,103243,597857,nan,350550.0,61160752249.0,61160752249.0,597857
100000012931,19702090,1277021,19702090,nan,10489555.5,8.48707919137e+13,8.48707919137e+13,19702090
100000012965,274,273713,274,nan,136993.5,18692221680.3,18692221680.3,273713
100000013381,651,908966,651,nan,454808.5,206259034806.0,206259034806.0,908966
100000013471,31199,9897328,347497,31199,3425341.33333,2.09599797776e+13,2.09599797776e+13,9897328
100000013499,805028,170895,805028,nan,487961.5,100531165422.0,100531165422.0,805028
100000013673,252,344622,252,nan,172437.0,29647674225.0,29647674225.0,344622
100000013837,167287,1561,389,167287,56412.3333333,6146824784.89,6146824784.89,167287
100000014029,2679113,70078,2679113,nan,1374595.5,1.70176590781e+12,1.70176590781e+12,2679113
100000014259,18265023,129619,131,18265023,6131591.0,7.3612880573e+13,7.3612880573e+13,18265023
100000014271,5882482,861756,5882482,nan,3372119.0,6.30192239177e+12,6.30192239177e+12,5882482
100000014383,8905944,3463180,1092819,8905944,4487314.33333,1.06985792773e+13,1.06985792773e+13,8905944
100000014421,2981226,14729,395,17538723,5133768.25,5.27681060636e+13,5.27681060636e+13,17538723
100000014679,13297645,1832751,302,1410,3783027.0,3.07352919306e+13,3.07352919306e+13,13297645
100000014973,320498,967278,320498,nan,643888.0,104581092100.0,104581092100.0,967278
100000014981,175,426407,810611,675,309467.0,113958578216.0,113958578216.0,810611
100000015223,14698409,2931865,14698409,nan,8815137.0,3.4612889426e+13,3.4612889426e+13,14698409
100000015475,382102,59,382102,nan,191080.5,36489213462.3,36489213462.3,382102
100000015969,1402975,172063,116199,183086,458145.2,233774710917.0,233774710917.0,1402975
100000016265,95,32931,359297,30994,2633104.33333,3.2265359803e+13,3.2265359803e+13,15331619
100000016341,4256955,13497,21426892,31808,5212637.2,6.82976412777e+13,6.82976412777e+13,21426892
100000016831,1663422,189,794849,299,614689.75,471845963247.0,471845963247.0,1663422
100000016861,15166576,99088,584432,4642035,5123032.75,3.67357593673e+13,3.67357593673e+13,15166576
100000017177,11157547,704362,11157547,nan,5930954.5,2.73172691611e+13,2.73172691611e+13,11157547
100000017277,15337,157304,138931,3340805,2146749.63636,8.33093818873e+12,8.33093818873e+12,7507585
100000017281,17714065,208,17714065,nan,8857136.5,7.84451824541e+13,7.84451824541e+13,17714065
100000017465,141829,5633,141829,nan,73731.0,4637337604.0,4637337604.0,141829
100000018097,1077,286,1077,nan,681.5,156420.25,156420.25,1077
100000018123,351,707,351,nan,529.0,31684.0,31684.0,707
100000018259,5413325,247846,5413325,nan,2830585.5,6.67054332486e+12,6.67054332486e+12,5413325
100000018979,2681436,596861,2681436,nan,1639148.5,1.08636323266e+12,1.08636323266e+12,2681436
100000019251,9725146,619630,9725146,nan,5172388.0,2.07276054066e+13,2.07276054066e+13,9725146
100000019487,14570222,63,19953,432,1124111.38462,1.50665241483e+13,1.50665241483e+13,14570222
100000019489,958493,288,958493,nan,479390.5,229539205506.0,229539205506.0,958493
100000019507,4297949,5797295,2159625,4297949,4084956.33333,2.22812344284e+12,2.22812344284e+12,5797295
100000020061,22065709,33896,12045,22065709,7370550.0,1.07973928595e+14,1.07973928595e+14,22065709
100000020277,7114132,1282064,7114132,nan,4198098.0,8.50325428916e+12,8.50325428916e+12,7114132
100000020301,12407484,143,1379967,191,3446946.25,2.70810535967e+13,2.70810535967e+13,12407484
100000020459,935,9881938,935,nan,4941436.5,2.44085550715e+13,2.44085550715e+13,9881938
100000020811,15637788,5285969,3307406,15637788,8077054.33333,2.92347987133e+13,2.92347987133e+13,15637788
100000021111,1047278,298,673494,543,430403.25,202349482633.0,202349482633.0,1047278
100000021395,845,519,845,nan,682.0,26569.0,26569.0,845
100000021427,375,1474468,375,nan,737421.5,543237543162.0,543237543162.0,1474468
100000021553,15664338,32,15664338,nan,7832185.0,6.13426206154e+13,6.13426206154e+13,15664338
100000021759,12075611,701831,12075611,nan,6388721.0,3.23407178721e+13,3.23407178721e+13,12075611
100000022129,4571606,10763874,338,4571606,5111939.33333,1.94549312594e+13,1.94549312594e+13,10763874
100000022335,5773,2142643,1589,5773,716668.333333,1.01670479263e+12,1.01670479263e+12,2142643
100000022417,8319689,4639317,8319689,nan,6479503.0,3.3862845146e+12,3.3862845146e+12,8319689
100000022481,45870,5769022,45870,nan,2907446.0,8.18861720378e+12,8.18861720378e+12,5769022
100000022499,26348126,125960,26348126,nan,13237043.0,1.71900497433e+14,1.71900497433e+14,26348126
100000022571,5165803,100103,1851611,897,1779603.5,4.36401271912e+12,4.36401271912e+12,5165803
100000022677,1102429,2469,1102429,nan,552449.0,302478000400.0,302478000400.0,1102429
100000022761,1054149,260069,1054149,nan,657109.0,157640761600.0,157640761600.0,1054149
100000022801,407877,395026,563,445,127989.857143,30793218327.3,30793218327.3,407877
100000023051,283968,77021,283968,nan,180494.5,10706765202.3,10706765202.3,283968
110020473123,21588670,7064,3121396,21588670,8239043.33333,9.07227767041e+13,9.07227767041e+13,21588670
110020673328,1536988,208377,1536988,nan,872682.5,441301797330.0,441301797330.0,1536988
110020773124,3163738,1135295,3163738,nan,2149516.5,1.02864525106e+12,1.02864525106e+12,3163738
110100014369,827,4943852,725,51723,1249281.75,4.55038237816e+12,4.55038237816e+12,4943852
110100016324,101827,216,285,1535,17439.5,1424453468.58,1424453468.58,101827
110100016726,155866,603,155866,nan,78234.5,6026649792.25,6026649792.25,155866
110100016828,1181407,31297,1181407,nan,606352.0,330688253025.0,330688253025.0,1181407
110100018468,88126,344882,1222375,88126,551794.333333,235826489176.0,235826489176.0,1222375
110100033067,1128863,5244,94393,1128863,409500.0,260066153585.0,260066153585.0,1128863
110100073827,659351,4687,659351,nan,332019.0,107146238224.0,107146238224.0,659351
110100116423,713,204,713,nan,458.5,64770.25,64770.25,713
110100118669,269853,683603,73499,269853,342318.333333,64663427403.6,64663427403.6,683603
110100135162,223906,90887,223906,nan,157396.5,4423513590.25,4423513590.25,223906
110100135562,87725,111,87725,nan,43918.0,1919053249.0,1919053249.0,87725
110100171021,3711,455,671886,3711,225350.666667,99698668880.2,99698668880.2,671886
110100173725,384589,1740482,384589,nan,1062535.5,459611456862.0,459611456862.0,1740482
110100218568,577080,863304,577080,nan,720192.0,20481044544.0,20481044544.0,863304
110100273229,72496,1370,1156,2168,140107.571429,71954913737.7,71954913737.7,789483
110100273825,1006,344017,1006,nan,172511.5,29414136530.3,29414136530.3,344017
110100318867,175,1,175,nan,88.0,7569.0,7569.0,175
110100333066,1768724,3555734,234,1768724,1774897.33333,2.10694909669e+12,2.10694909669e+12,3555734
110100333868,381,88921,242426,381,110576.0,9998766516.67,9998766516.67,242426
110100335665,175151,761491,175151,nan,468321.0,85948648900.0,85948648900.0,761491
110100418369,518762,5358893,518762,nan,2938827.5,5.85671702429e+12,5.85671702429e+12,5358893
110100473027,784,267,784,nan,525.5,66822.25,66822.25,784
110100473524,0,337730,17009,66751,105372.5,18598274989.3,18598274989.3,337730
110100512625,894,908727,894,nan,454810.5,206040188972.0,206040188972.0,908727
110100512728,95200,1684,95200,nan,48442.0,2186310564.0,2186310564.0,95200
110100514164,1578484,157398,1578484,nan,867941.0,504871354849.0,504871354849.0,1578484
110100516323,888,476,888,nan,682.0,42436.0,42436.0,888
110100516727,988549,82718,988549,nan,535633.5,205132450140.0,205132450140.0,988549
110100516927,947747,729650,947747,nan,838698.5,11891575352.3,11891575352.3,947747
110100518264,556076,768904,556076,nan,662490.0,11323939396.0,11323939396.0,768904
110100518265,382,215,1353,382,650.0,251752.666667,251752.666667,1353
110100518665,414,778521,414,nan,389467.5,151362625862.0,151362625862.0,778521
110100535669,95718,282,861900,7259,241289.75,129800836077.0,129800836077.0,861900
110100573022,92173,1265,92173,nan,46719.0,2066066116.0,2066066116.0,92173
110100573527,764306,785754,764306,nan,775030.0,115004176.0,115004176.0,785754
110100614366,627,341,627,nan,484.0,20449.0,20449.0,627
110100618264,1067908,31,61,170,213655.2,182436963769.0,182436963769.0,1067908
110100618567,857243,316,5984,1759,216325.5,136929418860.0,136929418860.0,857243
110100618863,261,1412,4722546,261,1574739.66667,4.95434257689e+12,4.95434257689e+12,4722546
110100633862,422090,84561,0,0,114569.0,24812379530.4,24812379530.4,422090
110100635661,110588,4712808,110588,nan,2411698.0,5.2951072321e+12,5.2951072321e+12,4712808
110100635766,760,630,760,nan,695.0,4225.0,4225.0,760
110100712727,1672,179750,697757,281922,194835.0,61823796378.7,61823796378.7,697757
110100735566,67994,223695,67994,nan,145844.5,6060700350.25,6060700350.25,223695
110100773229,368,2574606,368,nan,1287487.0,1.65667532016e+12,1.65667532016e+12,2574606
110100816124,320424,244,320424,nan,160334.0,25628808100.0,25628808100.0,320424
110100816923,361,116,361,nan,238.5,15006.25,15006.25,361
110100818564,2331,164765,179838,2331,115644.666667,6457859414.89,6457859414.89,179838
110100818565,4964,79170,458259,2482608,756250.25,1.02299464011e+12,1.02299464011e+12,2482608
110100818965,524143,127189,524143,nan,325666.0,39393119529.0,39393119529.0,524143
110100835863,2572,18234,248845,4401,68513.0,10876543022.5,10876543022.5,248845
110100873926,519195,4530,519195,nan,261862.5,66220015556.3,66220015556.3,519195
110100935462,84463,4529,209,276317,91379.5,12526196574.8,12526196574.8,276317
110101012725,1823950,171874,1823950,nan,997912.0,682338777444.0,682338777444.0,1823950
110101014163,-117192,-117192,nan,nan,-117192.0,0.0,0.0,-117192
110101016424,306,241019,306,nan,120662.5,14485687092.3,14485687092.3,241019
110101016528,68479,12125132,68479,nan,6096805.5,3.63407203906e+13,3.63407203906e+13,12125132
110101016824,338427,4930526,338427,nan,2634476.5,5.27184330645e+12,5.27184330645e+12,4930526
110101018269,188899,602293,188899,nan,395596.0,42723649809.0,42723649809.0,602293
110101018565,477,7608,3201887,136722,836673.5,1.86768529821e+12,1.86768529821e+12,3201887
110101018862,314774,34743,314267,314774,221261.333333,17394587176.2,17394587176.2,314774
110101073020,1117869,511644,1117869,nan,814756.5,91877187656.3,91877187656.3,1117869
110101073129,118301,240664,118301,nan,179482.5,3743175942.25,3743175942.25,240664
110101073528,2885298,584314,2885298,nan,1734806.0,1.32363184206e+12,1.32363184206e+12,2885298
110101073823,3647720,1089,3647720,nan,1824404.5,3.32447941254e+12,3.32447941254e+12,3647720
110101112925,450,499,450,nan,474.5,600.25,600.25,499
110101114268,6401075,902,6401075,nan,3200988.5,1.02405536075e+13,1.02405536075e+13,6401075
110101114365,4023729,3113378,414,514,1784508.75,3.28640803915e+12,3.28640803915e+12,4023729
110101118767,590,121086,3988634,18102,1032103.0,2.91581115636e+12,2.91581115636e+12,3988634
110101118860,1951790,193083,4712768,1688225,1725731.4,2.80463222928e+12,2.80463222928e+12,4712768
110101135461,5157698,5379763,5157698,nan,5268730.5,12328216056.3,12328216056.3,5379763
110101173321,8223,2470335,8223,nan,1239279.0,1.51549887514e+12,1.51549887514e+12,2470335
110101173324,2252169,326,774,3196046,1089919.2,1.86947134207e+12,1.86947134207e+12,3196046
110101173327,158165,307,158165,nan,79236.0,6229787041.0,6229787041.0,158165
110101173728,119751,2223286,400851,119751,914629.333333,869460670606.0,869460670606.0,2223286
110101210025,2586586,2346,957089,2586586,1182007.0,1.13834344963e+12,1.13834344963e+12,2586586
110101210169,3937500,2610754,3937500,nan,3274127.0,440063737129.0,440063737129.0,3937500
110101210461,176382,1751840,2472908,176382,1467043.33333,919559848785.0,919559848785.0,2472908
110101212568,1668139,297635,1668139,nan,982887.0,469570303504.0,469570303504.0,1668139
110101212820,4576825,377333,6790901,4576825,3915019.66667,7.07463556472e+12,7.07463556472e+12,6790901
110101212927,5446834,451855,5446834,nan,2949344.5,6.23745380261e+12,6.23745380261e+12,5446834
110101214466,821392,850627,821392,nan,836009.5,213671306.25,213671306.25,850627
110101214769,3961974,296,3961974,nan,1981135.0,3.92372314392e+12,3.92372314392e+12,3961974
110101216163,5517169,182265,5517169,nan,2849717.0,7.1153001723e+12,7.1153001723e+12,5517169
110101216425,879188,44,81294,201,192167.0,118987905667.0,118987905667.0,879188
110101216628,115552,424855,5306114,6551806,2492832.0,8.04162775223e+12,8.04162775223e+12,6551806
110101217229,1650216,883362,1650216,nan,1266789.0,147016264329.0,147016264329.0,1650216
110101217621,4219649,2239,104638,220091,1136654.25,3.17422507987e+12,3.17422507987e+12,4219649
110101235165,5195140,1992227,5195140,nan,3593683.5,2.56466292139e+12,2.56466292139e+12,5195140
110101235363,1035433,645,1035433,nan,518039.0,267696551236.0,267696551236.0,1035433
110101235761,2224,11748391,2343,2224,3917652.66667,3.06602314249e+13,3.06602314249e+13,11748391
110101235966,92882,861554,92882,nan,477218.0,147714160896.0,147714160896.0,861554
110101273028,3039199,1270010,3039199,nan,2154604.5,782507429430.0,782507429430.0,3039199
110101273529,2193609,154115,110570,2193609,819431.333333,944498157620.0,944498157620.0,2193609
110101273620,1330895,61600,107587,1107982,652016.0,328443919724.0,328443919724.0,1330895
110101273922,2166074,15993,2166074,nan,1091033.5,1.15571207664e+12,1.15571207664e+12,2166074
110101312724,902,3374214,902,nan,1687558.0,2.84480846234e+12,2.84480846234e+12,3374214
110101312828,1349,557788,1349,nan,279568.5,77406090180.3,77406090180.3,557788
110101314368,2067328,987968,2067328,nan,1527648.0,291254502400.0,291254502400.0,2067328
110101333767,1769174,351,330,1769174,589951.666667,695282655790.0,695282655790.0,1769174
110101335867,436,546,440,890,578.0,34394.0,34394.0,890
110101373220,2770264,9001,2770264,nan,1389632.5,1.90614333879e+12,1.90614333879e+12,2770264
110101373529,2558,704013,8375,2558,238315.333333,108442797951.0,108442797951.0,704013
110101373824,1603,3409360,2455014,3406707,2318171.0,1.94020434057e+12,1.94020434057e+12,3409360
110101410726,1412776,639610,1412776,nan,1026193.0,149446415889.0,149446415889.0,1412776
110101410923,7370297,166269,678737,2720583,2733971.5,8.07819459309e+12,8.07819459309e+12,7370297
110101412525,172551,89,172551,nan,86320.0,7435785361.0,7435785361.0,172551
110101412724,3117,804673,3117,nan,403895.0,160623005284.0,160623005284.0,804673
110101414569,68,10219,68,nan,5143.5,25760700.25,25760700.25,10219
110101416126,560032,401259,109187,276538,336754.0,27356666613.5,27356666613.5,560032
110101416320,4501396,124,4501396,nan,2250760.0,5.0653624045e+12,5.0653624045e+12,4501396
110101416823,1025158,2537809,1025158,nan,1781483.5,572028261950.0,572028261950.0,2537809
110101416924,81902,2170,424,254,21187.5,1229312542.75,1229312542.75,81902
110101435960,1601565,2942860,2569151,1601565,2371192.0,319439262345.0,319439262345.0,2942860
110101471220,331,76529,331,nan,38430.0,1451533801.0,1451533801.0,76529
110101473429,535867,131215,3163810,535867,1276964.0,1.80738445404e+12,1.80738445404e+12,3163810
110101512325,162845,372236,162845,nan,267540.5,10961147720.3,10961147720.3,372236
110101514562,595972,696,595972,nan,298334.0,88588379044.0,88588379044.0,595972
110101516321,2283816,5609659,238937,2283816,2710804.0,4.89860184295e+12,4.89860184295e+12,5609659
110101518268,3994722,410,475,504,921090.8,2.41741241749e+12,2.41741241749e+12,3994722
110101518665,486,3086,486,nan,1786.0,1690000.0,1690000.0,3086
110101518767,1299772,623497,1299772,nan,961634.5,114336968906.0,114336968906.0,1299772
110101535067,100434,1092,304,154733,44576.5,3703139668.58,3703139668.58,154733
110101535960,452,48,98757,452,33085.6666667,2156389213.56,2156389213.56,98757
110101571523,6686356,299164,6686356,nan,3492760.0,1.01990554112e+13,1.01990554112e+13,6686356
110101573228,224934,275693,224934,nan,250313.5,644119020.25,644119020.25,275693
110101573520,119221,339,304,3169006,822217.5,1.83816160325e+12,1.83816160325e+12,3169006
110101610321,1994629,5466423,1994629,nan,3730526.0,3.01333839461e+12,3.01333839461e+12,5466423
110101612223,230,4475383,230,nan,2237806.5,5.00674859335e+12,5.00674859335e+12,4475383
110101612364,486001,2363719,486001,nan,1424860.0,881456221881.0,881456221881.0,2363719
110101612421,3747,5165,3747,nan,4456.0,502681.0,502681.0,5165
110101612425,11567,4642974,11567,nan,2327270.5,5.36248269991e+12,5.36248269991e+12,4642974
110101614364,518459,84094,518459,nan,301276.5,47168238306.3,47168238306.3,518459
110101615825,4994,542,4994,nan,2768.0,4955076.0,4955076.0,4994
110101616128,3144161,325489,3144161,nan,1734825.0,1.9862279609e+12,1.9862279609e+12,3144161
110101616129,570186,331248,570186,nan,450717.0,14272841961.0,14272841961.0,570186
110101616464,1210683,347878,1210683,nan,779280.5,186108117006.0,186108117006.0,1210683
110101616522,4513267,146819,4513267,nan,2330043.0,4.76646703418e+12,4.76646703418e+12,4513267
110101616528,1135026,91072,1135026,nan,613049.0,272459988529.0,272459988529.0,1135026
110101616663,377,311297,175697,377,162457.0,16199523200.0,16199523200.0,311297
110101617025,7353638,545,541,7353638,2451574.66667,1.2015112462e+13,1.2015112462e+13,7353638
110101617728,1466174,1409,1466174,nan,733791.5,536384126306.0,536384126306.0,1466174
110101618267,7037417,153,309594,78,1225728.5,6.76777637498e+12,6.76777637498e+12,7037417
110101635063,4366570,589600,4366570,nan,2478085.0,3.56637559523e+12,3.56637559523e+12,4366570
110101635362,1385067,7745110,1385067,nan,4565088.5,1.01125367405e+13,1.01125367405e+13,7745110
110101635660,16677243,1651788,16677243,nan,9164515.5,5.64410744893e+13,5.64410744893e+13,16677243
110101710127,1085,213,78,162714,264686.0,340865534408.0,340865534408.0,1688192
110101710128,1042322,207381,0,0,312425.75,184750658448.0,184750658448.0,1042322
110101710325,2836,88485,2836,nan,45660.5,1833937800.25,1833937800.25,88485
110101714169,6396458,756,733,6396458,2132649.0,9.09003359433e+12,9.09003359433e+12,6396458
110101714560,128457,248448,128457,nan,188452.5,3599460020.25,3599460020.25,248448
110101714960,2683970,605506,2108011,2683970,1799162.33333,767695849334.0,767695849334.0,2683970
110101718068,250413,229,250413,nan,125321.0,15648008464.0,15648008464.0,250413
110101718169,2082997,3453362,2047878,2082997,2528079.0,428279872405.0,428279872405.0,3453362
110101733868,1463846,244811,2642,1463846,570433.0,408867698378.0,408867698378.0,1463846
110101735766,353,263610,11216947,359,2870317.25,2.3233626506e+13,2.3233626506e+13,11216947
110101773227,1922887,3959705,639813,312667,856211.75,1.75241114604e+12,1.75241114604e+12,3959705
110101810163,3375831,880,3375831,nan,1688355.5,2.8475735631e+12,2.8475735631e+12,3375831
110101810167,1853954,264689,1853954,nan,1059321.5,631440810056.0,631440810056.0,1853954
110101810168,188685,425775,188685,nan,307230.0,14052917025.0,14052917025.0,425775
110101812321,1757058,274111,1757058,nan,1015584.5,549782951202.0,549782951202.0,1757058
110101814067,4726353,369,4726353,nan,2363361.0,5.58373119206e+12,5.58373119206e+12,4726353
110101814767,2826316,259,1170,2826316,942581.666667,1.77422765761e+12,1.77422765761e+12,2826316
110101814860,181722,4958268,181722,nan,2569995.0,5.70384792253e+12,5.70384792253e+12,4958268
110101814865,768,1110,768,nan,939.0,29241.0,29241.0,1110
110101814967,2850858,16616,2850858,nan,1433737.0,2.00823192864e+12,2.00823192864e+12,2850858
110101816027,544457,573298,170988,544457,429581.0,33573803704.7,33573803704.7,573298
110101816223,8264600,276426,297128,8264600,2946051.33333,1.41435513887e+13,1.41435513887e+13,8264600
110101816420,296,375,409,697448,174632.0,91112191632.5,91112191632.5,697448
110101818768,783,13674,783,nan,7228.5,41544470.25,41544470.25,13674
110101835564,76089,578100,115154,1824897,518950.6,467390057443.0,467390057443.0,1824897
110101835569,2115726,406225,2115726,nan,1260975.5,730598417250.0,730598417250.0,2115726
110101912129,881001,67,881001,nan,440534.0,194011178089.0,194011178089.0,881001
110101912528,3017596,378,352663,3017596,1123545.66667,1.8143974528e+12,1.8143974528e+12,3017596
110101912822,144165,531540,144165,nan,337852.5,37514847656.3,37514847656.3,531540
110101916723,2612602,282,2612602,nan,1306442.0,1.7060539456e+12,1.7060539456e+12,2612602
110101918161,3304879,294,3304879,nan,1652586.5,2.73007050556e+12,2.73007050556e+12,3304879
110101918860,718,1378,718,nan,1048.0,108900.0,108900.0,1378
110101935266,4408,11790960,4408,nan,5897684.0,3.47307020122e+13,3.47307020122e+13,11790960
110101973024,2926230,231284,196478,1340934,1173731.5,1.23560984051e+12,1.23560984051e+12,2926230
110101973922,797044,2133,10552171,797044,3783782.66667,2.30108542317e+13,2.30108542317e+13,10552171
110102012123,396656,310082,396656,nan,353369.0,1873764369.0,1873764369.0,396656
110102012329,672845,3069813,83139,672845,1275265.66667,1.66815892686e+12,1.66815892686e+12,3069813
110102016429,-132,-132,nan,nan,-132.0,0.0,0.0,-132
110102016721,352905,8063261,352905,nan,4208083.0,1.48623974117e+13,1.48623974117e+13,8063261
110102018267,13632,1124426,13632,nan,569029.0,308465827609.0,308465827609.0,1124426
110102073220,2744367,1405,2744367,nan,1372886.0,1.88096013336e+12,1.88096013336e+12,2744367
110102112420,519876,965268,519876,nan,742572.0,49593508416.0,49593508416.0,965268
110102116321,10466238,2106,1269,10466238,3489871.0,2.43348483761e+13,2.43348483761e+13,10466238
110102116724,2928384,409,359310,2928384,1096034.33333,1.70022097177e+12,1.70022097177e+12,2928384
110102173926,3768,1224971,616,3768,409785.0,332265763149.0,332265763149.0,1224971
110102212724,1605576,359333,1605576,nan,982454.5,388280403762.0,388280403762.0,1605576
110102216020,112429,46324,112429,nan,79376.5,1092467756.25,1092467756.25,112429
110102216927,82,212760,2922071,82,1044971.0,1.76929086028e+12,1.76929086028e+12,2922071
110102235466,3934,277016,3934,nan,140475.0,18643444681.0,18643444681.0,277016
110102273628,1986612,9461,1986612,nan,998036.5,977281519200.0,977281519200.0,1986612
110102273726,6137824,6397255,10474,6137824,4181851.0,8.71141044536e+12,8.71141044536e+12,6397255
110102312727,3045166,17604,3045166,nan,1531385.0,2.29153291596e+12,2.29153291596e+12,3045166
110102312928,51067,731028,51067,nan,391047.5,115586740380.0,115586740380.0,731028
110102318767,5520697,438,224,5520697,1840453.0,6.7720979574e+12,6.7720979574e+12,5520697
110102318865,6386663,675,6386663,nan,3193669.0,1.0195210684e+13,1.0195210684e+13,6386663
110102333864,930873,989,930873,nan,465931.0,216171063364.0,216171063364.0,930873
110102335168,19786,246,19786,nan,10016.0,95452900.0,95452900.0,19786
110102335262,1703626,1286,17052,1703626,573988.0,638082433315.0,638082433315.0,1703626
110102373224,596334,932548,596334,nan,764441.0,28259963449.0,28259963449.0,932548
110102373423,1103,326,1103,nan,714.5,150932.25,150932.25,1103
110102373628,3274279,719,3274279,nan,1637499.0,2.6790487684e+12,2.6790487684e+12,3274279
110102416120,6019203,298772,6019203,nan,3158987.5,8.18083270644e+12,8.18083270644e+12,6019203
110102416820,3890421,4556601,3890421,nan,4223511.0,110948948100.0,110948948100.0,4556601
110102416920,7101144,45413,162606,7101144,2436387.66667,1.08822648579e+13,1.08822648579e+13,7101144
110102435365,807,1205415,807,nan,603111.0,362770108416.0,362770108416.0,1205415
110102471027,563041,143742,563041,nan,353391.5,43952912850.3,43952912850.3,563041
110102471529,160542,687375,160542,nan,423958.5,69388252472.3,69388252472.3,687375
110102473724,1332,530205,1332,nan,265768.5,69926662532.3,69926662532.3,530205
110102516029,2395278,21668,219,308,517853.6,885295621839.0,885295621839.0,2395278
110102516127,76459,2437379,719,76459,838185.666667,1.27966574996e+12,1.27966574996e+12,2437379
110102516928,86131,337047,229750,13309,166559.25,15753371577.2,15753371577.2,337047
110102518160,4562403,43115,4562403,nan,2302759.0,5.10599100674e+12,5.10599100674e+12,4562403
110102573423,2244528,788306,801179,221,766907.4,672097084447.0,672097084447.0,2244528
110102612327,2765998,458167,2765998,nan,1612082.5,1.33152098114e+12,1.33152098114e+12,2765998
110102614267,319784,373,319784,nan,160078.5,25505846730.3,25505846730.3,319784
110102614369,2280971,695711,2280971,nan,1488341.0,628262316900.0,628262316900.0,2280971
110102635664,0,1345,0,nan,672.5,452256.25,452256.25,1345
110102673421,985840,42905,985840,nan,514372.5,222281603556.0,222281603556.0,985840
110102673920,-475,-475,nan,nan,-475.0,0.0,0.0,-475
110102712725,1208702,44034,1208702,nan,626368.0,339112887556.0,339112887556.0,1208702
