if_exist_rate_largerthan_2,userid
1.0,110103012925
1.0,110103014161
1.0,110103014162
1.0,110103016325
1.0,110103035263
1.0,110103035961
1.0,110103073023
1.0,110103112124
1.0,110103135866
1.0,110103173229
1.0,110103173522
1.0,110103212628
1.0,110103214160
1.0,110103216629
1.0,110103218165
1.0,110103218468
1.0,110103218861
1.0,110103235063
1.0,110103235860
1.0,110103310120
1.0,110103314461
1.0,110103318768
1.0,110103318964
1.0,110103333069
1.0,110103335168
1.0,110103335262
1.0,110103335461
1.0,110103335561
1.0,110103371223
1.0,110103371520
1.0,110103371528
1.0,110103414267
1.0,110103416726
1.0,110103416923
1.0,110103418169
1.0,110103418563
1.0,110103418663
1.0,110103435368
1.0,110103512529
1.0,110103518964
1.0,110103533864
1.0,110103535666
1.0,110103612721
1.0,110103612724
1.0,110103612820
1.0,110103612824
1.0,110103616923
1.0,110103635769
1.0,110103671523
1.0,110103673422
1.0,110103712629
1.0,110103712721
1.0,110103714366
1.0,110103773329
1.0,110103816223
1.0,110103818368
1.0,110103818769
1.0,110103835063
1.0,110103835163
1.0,110103873426
1.0,110103912520
1.0,110103916626
1.0,110103916929
1.0,110103918063
1.0,110103971224
1.0,110103973022
1.0,110103973525
1.0,110103973722
1.0,110104014260
1.0,110104016224
1.0,110104018069
1.0,110104018162
1.0,110104018467
1.0,110104033763
1.0,110104035063
1.0,110104035068
1.0,110104071021
1.0,110104071523
1.0,110104071525
1.0,110104073526
1.0,110104110568
1.0,110104112529
1.0,110104116621
1.0,110104118067
1.0,110104118765
1.0,110104133066
1.0,110104133765
1.0,110104135365
1.0,110104135766
1.0,110104173828
1.0,110104173923
1.0,110104216425
1.0,110104235668
1.0,110104273226
1.0,110104273527
1.0,110104314164
1.0,110104316524
1.0,110104316526
1.0,110104333064
1.0,110104373122
1.0,110104373628
1.0,110104416524
1.0,110104418863
1.0,110104435965
1.0,110104473627
1.0,110104473827
1.0,110104516026
1.0,110104516620
1.0,110104518967
1.0,110104535067
1.0,110104535465
1.0,110104573620
1.0,110104573927
1.0,110104612528
1.0,110104618865
1.0,110104618966
1.0,110104635160
1.0,110104671525
1.0,110104712426
1.0,110104714464
1.0,110104716027
1.0,110104716123
1.0,110104716425
1.0,110104716729
1.0,110104733865
1.0,110104735260
1.0,110104773525
1.0,110104810327
1.0,110104810820
1.0,110104816822
1.0,110104833764
1.0,110104910929
1.0,110104935564
1.0,110104935566
1.0,110105014563
1.0,110105018366
1.0,110105018564
1.0,110105033066
1.0,110105035764
1.0,110105135060
1.0,110105216929
1.0,110105312725
1.0,110105316125
1.0,110105316822
1.0,110105371027
1.0,110105414265
1.0,110105418164
1.0,110105435861
1.0,110105473621
1.0,110105535461
1.0,110105573420
1.0,110105616423
1.0,110105718964
1.0,110105733068
1.0,110105816425
1.0,110105816621
1.0,110105818466
1.0,110105933862
1.0,110105973822
1.0,110106018469
1.0,110106033063
1.0,110106035163
1.0,110106071225
1.0,110106071527
1.0,110106073127
1.0,110106073424
1.0,110106116520
1.0,110106216926
1.0,110106235664
1.0,110106235667
1.0,110106273220
1.0,110106273428
1.0,110106316425
1.0,110106318869
1.0,110106333864
1.0,110106333869
1.0,110106335160
1.0,110106418169
1.0,110106471023
1.0,110106471526
1.0,110106471529
1.0,110106516228
1.0,110106516826
1.0,110106518361
1.0,110106535063
1.0,110106535767
1.0,110106573225
1.0,110106573828
1.0,110106616026
1.0,110106671224
1.0,110106671525
1.0,110106716120
1.0,110106773221
1.0,110106833069
1.0,110106873928
1.0,110106918369
1.0,110106973924
1.0,110107012623
1.0,110107016724
1.0,110107018061
1.0,110107071524
1.0,110107073924
1.0,110107112365
1.0,110107112460
1.0,110107112769
1.0,110107114064
1.0,110107116421
1.0,110107118360
1.0,110107118563
1.0,110107135567
1.0,110107173924
1.0,110107216627
1.0,110107216821
1.0,110107218865
1.0,110107314260
1.0,110107314862
1.0,110107316226
1.0,110107318364
1.0,110107318567
1.0,110107335462
1.0,110107335660
1.0,110107335962
1.0,110107412127
1.0,110107412462
1.0,110107414062
1.0,110107418763
1.0,110107518764
1.0,110107535065
1.0,110107610262
1.0,110107614061
1.0,110107614266
1.0,110107614368
1.0,110107618664
1.0,110107635161
1.0,110107635963
1.0,110107673925
1.0,110107716624
1.0,110107773620
1.0,110107816821
1.0,110107816825
1.0,110107818267
1.0,110107835264
1.0,110107914167
1.0,110108018468
1.0,110108018765
1.0,110108035961
1.0,110108112126
1.0,110108116223
1.0,110108133069
1.0,110108135666
1.0,110108214060
1.0,110108214264
1.0,110108214763
1.0,110108216222
1.0,110108216225
1.0,110108218466
1.0,110108218762
1.0,110108235766
1.0,110108314369
1.0,110108314766
1.0,110108510163
1.0,110108516428
1.0,110108610169
1.0,110108610565
1.0,110108616525
1.0,110108710160
1.0,110108716726
1.0,110108716829
1.0,110108718560
1.0,110108735460
1.0,110108771221
1.0,110108814163
1.0,110108816726
1.0,110108818860
1.0,110108935161
1.0,110109012424
1.0,110109018763
1.0,110109073728
1.0,110109112122
1.0,110109116627
1.0,110109135660
1.0,110109173429
1.0,110109235363
1.0,110109273423
1.0,110109314261
1.0,110109314569
1.0,110109318762
1.0,110109335668
1.0,110109373622
1.0,110109373823
1.0,110109373922
1.0,110109412027
1.0,110109416122
1.0,110109418063
1.0,110109418068
1.0,110109418366
1.0,110109418760
1.0,110109433767
1.0,110109435268
1.0,110109435962
1.0,110109512126
1.0,110109512221
1.0,110109512628
1.0,110109512920
1.0,110109571225
1.0,110109616122
1.0,110109618367
1.0,110109710124
1.0,110109735164
1.0,110109771226
1.0,110109810128
1.0,110109812021
1.0,110109812924
1.0,110109816921
1.0,110109817128
1.0,110109817720
1.0,110109818961
1.0,110109818967
1.0,110109910720
1.0,110109916925
1.0,110109918568
1.0,110109973128
1.0,110120010467
1.0,110120011361
1.0,110120011669
1.0,110120014768
1.0,110120014965
1.0,110120018167
1.0,110120035065
1.0,110120035369
1.0,110120114162
1.0,110120118067
1.0,110120118568
1.0,110120118569
1.0,110120135362
1.0,110120135865
1.0,110120210463
1.0,110120214968
1.0,110120216466
1.0,110120216860
1.0,110120219560
1.0,110120318462
1.0,110120333763
1.0,110120335564
1.0,110120418261
1.0,110120433764
1.0,110120433869
1.0,110120514968
1.0,110120518962
1.0,110120533762
1.0,110120535068
1.0,110120535163
1.0,110120535861
1.0,110120614068
1.0,110120618162
1.0,110120618461
1.0,110120618662
1.0,110120633063
1.0,110120635062
1.0,110120714469
1.0,110120718063
1.0,110120733868
1.0,110120735561
1.0,110120814267
1.0,110120818261
1.0,110120818763
1.0,110120835960
1.0,110120914462
1.0,110120914467
1.0,110120918063
1.0,110120918461
1.0,110121335567
1.0,110121373121
1.0,110121473928
1.0,110121573429
1.0,110121616324
1.0,110121835561
1.0,110121873421
1.0,110122016326
1.0,110122018267
1.0,110122035866
1.0,110122035967
1.0,110122035969
1.0,110122073827
1.0,110122118467
1.0,110122133067
1.0,110122133760
1.0,110122133766
1.0,110122173029
1.0,110122316320
1.0,110122316427
1.0,110122333765
1.0,110122335567
1.0,110122471226
1.0,110122473024
1.0,110122533761
1.0,110122635067
1.0,110122673028
1.0,110122718267
1.0,110122733068
1.0,110122735561
1.0,110122773825
1.0,110122835565
1.0,110122918262
1.0,110123035461
1.0,110123135467
1.0,110123435263
1.0,110123535462
1.0,110123635962
1.0,110123673721
1.0,110123773027
1.0,110123835969
1.0,110123933865
1.0,110123933866
1.0,110123935963
1.0,110124073122
1.0,110124273422
1.0,110124335169
1.0,110124435162
1.0,110124535363
1.0,110124573327
1.0,110124673128
1.0,110124733066
1.0,110124735466
1.0,110124773325
1.0,110124833069
1.0,110124871222
1.0,110124933762
1.0,110125118266
1.0,110125133862
1.0,110125135061
1.0,110125135363
1.0,110125135569
1.0,110125335865
1.0,110125433061
1.0,110125435369
1.0,110125535063
1.0,110125535460
1.0,110125535867
1.0,110125635360
1.0,110125673624
1.0,110125718160
1.0,110125835669
1.0,110125835968
1.0,110125933063
1.0,110126035560
1.0,110126235369
1.0,110126333764
1.0,110126435566
1.0,110126435761
1.0,110126635161
1.0,110126635266
1.0,110126635464
1.0,110126735961
1.0,110126735964
1.0,110127033767
1.0,110127035169
1.0,110127835261
1.0,110127933863
1.0,110128035268
1.0,110128135263
1.0,110128135463
1.0,110128335465
1.0,110128535360
1.0,110129335361
1.0,110129435964
1.0,110129571225
1.0,110129616427
1.0,110129635962
1.0,110129673122
1.0,110129935262
1.0,110140073123
1.0,110140073720
1.0,110140073922
1.0,110140173522
1.0,110140173621
1.0,110140273024
1.0,110140273227
1.0,110140373325
1.0,110140516227
1.0,110140516622
1.0,110140573423
1.0,110140673921
1.0,110140716427
1.0,110140871226
1.0,110140873727
1.0,110140873922
1.0,110140916327
1.0,110140916422
1.0,110141073921
1.0,110141171525
1.0,110141173126
1.0,110141273620
1.0,110141373128
1.0,110141573725
1.0,110141771524
1.0,110141773321
1.0,110141773929
1.0,110141873426
1.0,110141971029
1.0,110142273922
1.0,110142473428
1.0,110142573121
1.0,110142871227
1.0,110142873725
1.0,110142973128
1.0,110142973323
1.0,110143171527
1.0,110143173820
1.0,110143173825
1.0,110143271023
1.0,110143573328
1.0,110143573726
1.0,110143673723
1.0,110143873327
1.0,110143973128
1.0,110144073729
1.0,110144473820
1.0,110144571528
1.0,110144673129
1.0,110145273921
1.0,110145371229
1.0,110145571524
1.0,110145573522
1.0,110145673728
1.0,110145773120
1.0,110145971222
1.0,110145971520
1.0,110146073827
1.0,110146371521
1.0,110146673325
1.0,110146771220
1.0,110146816121
1.0,110146973827
1.0,110147012128
1.0,110147012220
1.0,110147012529
1.0,110147014320
1.0,110147014329
1.0,110147016220
1.0,110147018027
1.0,110147018427
1.0,110147073727
1.0,110147073827
1.0,110147112720
1.0,110147116822
1.0,110147173328
1.0,110147210324
1.0,110147212729
1.0,110147212925
1.0,110147214029
1.0,110147214427
1.0,110147216221
1.0,110147216720
1.0,110147217120
1.0,110147217224
1.0,110147217729
1.0,110147271227
1.0,110147271229
1.0,110147316324
1.0,110147371228
1.0,110147373428
1.0,110147412329
1.0,110147412620
1.0,110147416728
1.0,110147512322
1.0,110147512921
1.0,110147516527
1.0,110147571229
1.0,110147573321
1.0,110147573927
1.0,110147610327
1.0,110147612424
1.0,110147612529
1.0,110147612820
1.0,110147616025
1.0,110147673028
1.0,110147673726
1.0,110147716325
1.0,110147771529
1.0,110147812327
1.0,110147812328
1.0,110147816223
1.0,110147873928
1.0,110147912823
1.0,110148173828
1.0,110148173924
1.0,110148373825
1.0,110148573420
1.0,110148573628
1.0,110148616322
1.0,110148673522
1.0,110149071527
1.0,110149171222
1.0,110149273325
1.0,110149671522
1.0,110149671528
1.0,110149971528
1.0,110160235460
1.0,110160335469
1.0,110160435266
1.0,110160435964
1.0,110160635267
1.0,110160733064
1.0,110160735466
1.0,110160835869
1.0,110160935466
1.0,110162135261
1.0,110162135366
1.0,110162135462
1.0,110162333763
1.0,110162335164
1.0,110162435161
1.0,110162435268
1.0,110162735260
1.0,110162835263
1.0,110162933766
1.0,110164118363
1.0,110164118366
1.0,110164118760
1.0,110164235965
1.0,110164433865
1.0,110164433866
1.0,110164435861
1.0,110164435868
1.0,110164535462
1.0,110164635964
1.0,110164733868
1.0,110164735161
1.0,110164735765
1.0,110164833063
1.0,110164935165
1.0,110164935664
1.0,110165033762
1.0,110165033860
1.0,110165233869
1.0,110165333061
1.0,110165333865
1.0,110165635463
1.0,110165635469
1.0,110166033862
1.0,110166135467
1.0,110166633863
1.0,110166635464
1.0,110166635960
1.0,110166933865
1.0,110166935465
1.0,110167033869
1.0,110167035069
1.0,110167035360
1.0,110167035768
1.0,110167118169
1.0,110167135166
1.0,110167135464
1.0,110167135469
1.0,110167135766
1.0,110167135961
1.0,110167333768
1.0,110167335168
1.0,110167335968
1.0,110167435261
1.0,110167533060
1.0,110167535165
1.0,110167535262
1.0,110167535864
1.0,110167618268
1.0,110167633067
1.0,110167633862
1.0,110167635661
1.0,110167733867
1.0,110167735160
1.0,110167735961
1.0,110167833868
1.0,110167835763
1.0,110168018965
1.0,110168033864
1.0,110168035062
1.0,110168035160
1.0,110168035867
1.0,110168218268
1.0,110168235068
1.0,110168235463
1.0,110168235769
1.0,110168333066
1.0,110168335563
1.0,110168335760
1.0,110168335761
1.0,110168433763
1.0,110168435362
1.0,110168435560
1.0,110168435566
1.0,110168535862
1.0,110168633061
1.0,110168735364
1.0,110168818263
1.0,110168818460
1.0,110168833062
1.0,110168835566
1.0,110168835567
1.0,110168835660
1.0,110168933065
1.0,110168935267
1.0,110169035061
1.0,110169035461
1.0,110169035868
1.0,110169235560
1.0,110169235868
1.0,110169433063
1.0,110169435268
1.0,110169435661
1.0,110169535565
1.0,110169535568
1.0,110169633064
1.0,110169633761
1.0,110169635266
1.0,110169733067
1.0,110169733860
1.0,110169735369
1.0,110169835660
1.0,110169935366
1.0,110169935461
1.0,110171835161
1.0,110173035060
1.0,110173135365
1.0,110173735067
1.0,110173735169
1.0,110174035262
1.0,110174135160
1.0,110174235963
1.0,110174335469
1.0,110174335665
1.0,110174535366
1.0,110174833861
1.0,110177135061
1.0,110177235566
1.0,110177835864
1.0,110178033067
1.0,110178718161
1.0,110178835868
1.0,110179635461
1.0,110180073424
1.0,110180171521
1.0,110180373120
1.0,110180373829
1.0,110180771529
1.0,110183016126
1.0,110183016727
1.0,110183016729
1.0,110183073020
1.0,110183073129
1.0,110183173128
1.0,110183173129
1.0,110183173422
1.0,110183216120
1.0,110183273222
1.0,110183273721
1.0,110183473123
1.0,110183473822
1.0,110183573321
1.0,110183716828
1.0,110183773129
1.0,110183773222
1.0,110183773227
1.0,110184171529
1.0,110184173126
1.0,110184173422
1.0,110184271020
1.0,110184271224
1.0,110184271523
1.0,110184473521
1.0,110184473720
1.0,110184573124
1.0,110184573822
1.0,110184671223
1.0,110184671525
1.0,110184673428
1.0,110184773126
1.0,110184773429
1.0,110184816828
1.0,110184873322
1.0,110184873820
1.0,110184873827
1.0,110184973024
1.0,110184973121
1.0,110184973225
1.0,110185373321
1.0,110185473322
1.0,110185773324
1.0,110185773523
1.0,110185871026
1.0,110185873425
1.0,110185971529
1.0,110185973125
1.0,110185973428
1.0,110186071026
1.0,110186071529
1.0,110186171521
1.0,110186173123
1.0,110186173726
1.0,110186273125
1.0,110186273722
1.0,110186373126
1.0,110186373829
1.0,110186573428
1.0,110186671526
1.0,110187171522
1.0,110187373127
1.0,110187471221
1.0,110187473629
1.0,110187473925
1.0,110187571029
1.0,110187671527
1.0,110187673629
1.0,110187773421
1.0,110187773720
1.0,110187871227
1.0,110187873225
1.0,110187873421
1.0,110187873927
1.0,110187973127
1.0,110188171023
1.0,110188273821
1.0,110188371026
1.0,110188471027
1.0,110188471524
1.0,110188573425
1.0,110188673126
1.0,110188973124
1.0,110189016323
1.0,110189071527
1.0,110189116120
1.0,110189173323
1.0,110189273224
1.0,110189316122
1.0,110189373725
1.0,110189373829
1.0,110189471529
1.0,110189473425
1.0,110189473629
1.0,110189573429
1.0,110189573529
1.0,110189671020
1.0,110189671025
1.0,110189673122
1.0,110189673422
1.0,110189673620
1.0,110189816120
1.0,110189816722
1.0,110189816822
1.0,110189871026
1.0,110300071028
1.0,110300071225
1.0,110300171528
1.0,110300273421
1.0,110300473324
1.0,110300473528
1.0,110300473824
1.0,110300571022
1.0,110300673721
1.0,110300771029
1.0,110300773627
1.0,110300873922
1.0,110300973228
1.0,110300973720
1.0,110300973823
1.0,110300973925
1.0,110301110821
1.0,110301112220
1.0,110301112421
1.0,110301112925
1.0,110301116123
1.0,110301116229
1.0,110301116324
1.0,110301116522
1.0,110301116822
1.0,110301116925
1.0,110301173220
1.0,110301173224
1.0,110301173229
1.0,110301173326
1.0,110301173925
1.0,110301373820
1.0,110301573127
1.0,110301573420
1.0,110301573422
1.0,110301573627
1.0,110301771223
1.0,110301771224
1.0,110301773120
1.0,110301773123
1.0,110301773322
1.0,110301816028
1.0,110301873521
1.0,110301971227
1.0,110301973725
1.0,110302071523
1.0,110302173128
1.0,110302273621
1.0,110302371522
1.0,110302371527
1.0,110302473826
1.0,110302573128
1.0,110302573722
1.0,110302671221
1.0,110302671226
1.0,110302673422
1.0,110302673820
1.0,110302773125
1.0,110302873123
1.0,110303171020
1.0,110303173125
1.0,110303373726
1.0,110303416326
1.0,110303671526
1.0,110303871222
1.0,110304173527
1.0,110304373423
1.0,110304471228
1.0,110304571024
1.0,110304573125
1.0,110304673224
1.0,110304903923
1.0,110304916121
1.0,110305071528
1.0,110305073425
1.0,110305173023
1.0,110305373623
1.0,110305473327
1.0,110305573421
1.0,110305573627
1.0,110305573723
1.0,110305671526
1.0,110305871220
1.0,110305873629
1.0,110305873827
1.0,110306171223
1.0,110306173322
1.0,110306273421
1.0,110306373528
1.0,110306571026
1.0,110306573722
1.0,110306773420
1.0,110306773927
1.0,110306971027
1.0,110306973125
1.0,110307073025
1.0,110307073326
1.0,110307073724
1.0,110307173426
1.0,110307271520
1.0,110307273322
1.0,110307371527
1.0,110307373526
1.0,110307373527
1.0,110307673820
1.0,110307773722
1.0,110307973326
1.0,110308071226
1.0,110308073728
1.0,110308273125
1.0,110308273127
1.0,110308473129
1.0,110308473628
1.0,110308673624
1.0,110308871022
1.0,110308973528
1.0,110309016326
1.0,110309073520
1.0,110309073723
1.0,110309171229
1.0,110309173321
1.0,110309273623
1.0,110309273923
1.0,110309273925
1.0,110309373528
1.0,110309473222
1.0,110309871221
1.0,110309873122
1.0,110309973721
1.0,110320071227
1.0,110320173122
1.0,110320173429
1.0,110320173627
1.0,110320271026
1.0,110320271029
1.0,110320273425
1.0,110320416121
1.0,110320416327
1.0,110320416427
1.0,110320473324
1.0,110320671024
1.0,110320673120
1.0,110320673423
1.0,110320716426
1.0,110320873926
1.0,110321071020
1.0,110321371529
1.0,110321571520
1.0,110321573127
1.0,110321671520
1.0,110321973424
1.0,110322171525
1.0,110322273720
1.0,110322471228
1.0,110322471520
1.0,110322673721
1.0,110322971023
1.0,110322973823
1.0,110323071221
1.0,110323173324
1.0,110323173729
1.0,110323273723
1.0,110323273827
1.0,110323473326
1.0,110323571022
1.0,110323673824
1.0,110323771523
1.0,110323871524
1.0,110323971527
1.0,110324071524
1.0,110324073329
1.0,110324273828
1.0,110324373124
1.0,110324373822
1.0,110324573424
1.0,110325271227
1.0,110325273420
1.0,110325373321
1.0,110325373820
1.0,110325473827
1.0,110325573120
1.0,110325671024
1.0,110325671028
1.0,110325671223
1.0,110325771221
1.0,110325773723
1.0,110325873728
1.0,110326071023
1.0,110326073627
1.0,110326073823
1.0,110326116127
1.0,110326173120
1.0,110326771529
1.0,110326773127
1.0,110326773324
1.0,110326773525
1.0,110326873126
1.0,110326873422
1.0,110326873722
1.0,110326971023
1.0,110326973724
1.0,110326973828
1.0,110328071224
1.0,110328073829
1.0,110328116627
1.0,110328116923
1.0,110328171027
1.0,110328171525
1.0,110328173923
1.0,110328273327
1.0,110328273725
1.0,110328373327
1.0,110328373821
1.0,110328373923
1.0,110328573124
1.0,110328673326
1.0,110328673424
1.0,110328773329
1.0,110328773726
1.0,110328773822
1.0,110328810222
1.0,110328812424
1.0,110328812820
1.0,110328873629
1.0,110328916926
1.0,110328973520
1.0,110329071522
1.0,110329073128
1.0,110329171027
1.0,110329371025
1.0,110329373726
1.0,110329473122
1.0,110329673722
1.0,110329673727
1.0,110329871028
1.0,110329873329
1.0,110329873720
1.0,110329971520
1.0,110329973320
1.0,110329973727
1.0,110340016022
1.0,110340016026
1.0,110340016427
1.0,110340016728
1.0,110340073626
1.0,110340173127
1.0,110340173822
1.0,110340173824
1.0,110340173826
1.0,110340216824
1.0,110340271021
1.0,110340273122
1.0,110340273124
1.0,110340273125
1.0,110340273329
1.0,110340273529
1.0,110340273622
1.0,110340273924
1.0,110340373822
1.0,110340473021
1.0,110340473026
1.0,110340671023
1.0,110340771520
1.0,110340871024
1.0,110340971026
1.0,110340973124
1.0,110340973127
1.0,110340973423
1.0,110341071523
1.0,110341271226
1.0,110341273329
1.0,110341273723
1.0,110341671222
1.0,110342771527
1.0,110342971025
1.0,110343171524
1.0,110343173128
1.0,110343271022
1.0,110343271025
1.0,110343271224
1.0,110343671529
1.0,110343871224
1.0,110344073321
1.0,110344371529
1.0,110344473127
1.0,110344473426
1.0,110344771224
1.0,110344773120
1.0,110344773423
1.0,110344871529
1.0,110345073128
1.0,110345273326
1.0,110345471023
1.0,110345473124
1.0,110345473428
1.0,110345571529
1.0,110346173324
1.0,110346273123
1.0,110346771225
1.0,110346771228
1.0,110346873720
1.0,110346873722
1.0,110346873727
1.0,110346873825
1.0,110346971527
1.0,110346973321
1.0,110346973822
1.0,110346973828
1.0,110347071228
1.0,110347071525
1.0,110347271023
1.0,110347373120
1.0,110347373424
1.0,110347373426
1.0,110347373721
1.0,110347471027
1.0,110347473120
1.0,110347473324
1.0,110347473728
1.0,110347573121
1.0,110347573320
1.0,110347673129
1.0,110347773120
1.0,110347773922
1.0,110347873425
1.0,110347873823
1.0,110347873924
1.0,110348071221
1.0,110348171026
1.0,110348173322
1.0,110348473128
1.0,110348473322
1.0,110348473325
1.0,110348673723
1.0,110348973325
1.0,110348973721
1.0,110349073422
1.0,110349171022
1.0,110349173326
1.0,110349271527
1.0,110349773122
1.0,110349773328
1.0,110380071026
1.0,110380171023
1.0,110380671528
1.0,110380771525
1.0,110380871221
1.0,110380971520
1.0,110383073722
1.0,110383173724
1.0,110383173828
1.0,110383271520
1.0,110383373328
1.0,110383373424
1.0,110383573425
1.0,110383573622
1.0,110383573823
1.0,110383871522
1.0,110384171020
1.0,110384471221
1.0,110384571027
1.0,110384571220
1.0,110384873423
1.0,110385073328
1.0,110385073729
1.0,110385116121
1.0,110385271521
1.0,110385271526
1.0,110385273321
1.0,110385273426
1.0,110385273528
1.0,110385273923
1.0,110385310522
1.0,110385310825
1.0,110385311621
1.0,110385311823
1.0,110385311826
1.0,110385312427
1.0,110385312526
1.0,110385312721
1.0,110385313228
1.0,110385314224
1.0,110385314225
1.0,110385315120
1.0,110385315725
1.0,110385315826
1.0,110385315920
1.0,110385316128
1.0,110385316420
1.0,110385316526
1.0,110385316529
1.0,110385316628
1.0,110385316820
1.0,110385316927
1.0,110385317428
1.0,110385317825
1.0,110385318125
1.0,110385319622
1.0,110385319720
1.0,110385319828
1.0,110385360825
1.0,110385366121
1.0,110385366227
1.0,110385366327
1.0,110385366421
1.0,110385366928
1.0,110385373027
1.0,110385373227
1.0,110385373328
1.0,110385373429
1.0,110385373526
1.0,110385373821
1.0,110385373829
1.0,110385571026
1.0,110385616726
1.0,110385671026
1.0,110385673924
1.0,110385771227
1.0,110385873326
1.0,110385873823
1.0,110385873920
1.0,110386071024
1.0,110386173727
1.0,110386273326
1.0,110386273728
1.0,110386373127
1.0,110386473424
1.0,110386873121
1.0,110386873724
1.0,110386971026
1.0,110387173428
1.0,110387271024
1.0,110387371020
1.0,110387373325
