userid,Type1_num_by_day,Type2_num_by_day,Type3_num_by_day,Type4_num_by_day,Type5_num_by_day,Type6_num_by_day,Type7_num_by_day,Type8_num_by_day,Type9_num_by_day,days
100000003611,2.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1
100000003639,1.08,0.0,0.0,0.0,0.77,0.15,0.15,0.0,0.08,13
100000003685,1.38,0.46,0.05,0.06,1.7,0.39,0.01,0.02,0.02,170
100000003805,3.5,0.0,0.0,0.5,2.5,1.5,1.0,0.0,0.0,2
100000003875,0.88,0.0,0.0,0.0,0.38,0.0,0.12,0.0,0.0,8
100000003891,2.4,0.0,0.0,0.0,1.2,0.2,0.0,0.2,0.2,5
100000003941,0.17,0.0,0.0,0.0,1.33,0.0,0.0,0.0,0.0,6
100000004163,0.89,0.11,0.11,0.11,1.0,0.67,0.0,0.0,0.22,9
100000004223,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
100000004277,1.5,0.07,0.0,0.0,2.0,0.75,0.04,0.04,0.0,28
100000004297,0.75,0.0,0.0,0.0,1.5,0.75,0.0,0.5,0.0,8
100000004303,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2
100000004317,1.65,0.0,0.04,0.0,0.96,0.43,0.04,0.04,0.04,23
100000004319,1.44,0.0,0.0,0.0,0.48,0.19,0.04,0.0,0.0,27
100000004359,1.0,0.0,0.0,0.0,1.83,0.17,0.0,0.0,0.0,6
100000004429,1.71,0.0,0.06,0.12,1.88,0.71,0.0,0.0,0.0,17
100000004453,1.07,0.0,0.0,0.0,0.93,0.13,0.0,0.0,0.0,15
100000004529,1.2,0.0,0.0,0.0,2.2,1.8,0.0,0.0,0.0,5
100000004867,2.29,0.0,0.0,0.0,0.89,0.18,0.0,0.07,0.07,28
100000005007,1.26,0.0,0.0,0.0,1.78,0.66,0.0,0.04,0.0,50
100000005091,1.24,0.0,0.0,0.0,1.6,0.4,0.0,0.0,0.0,25
100000005125,2.25,0.25,0.0,0.0,1.5,0.0,0.0,0.0,0.0,4
100000005513,1.0,0.0,0.0,0.0,4.67,2.17,0.0,0.0,0.0,6
100000005649,1.67,0.0,0.0,0.0,3.67,3.67,0.0,0.0,0.0,3
100000005719,0.0,0.0,0.0,0.0,2.67,0.0,0.0,0.33,0.0,3
100000005739,2.4,0.0,0.2,0.2,3.0,2.6,0.2,0.0,0.0,5
100000005755,1.5,0.0,0.0,0.0,3.62,2.12,0.0,0.0,0.0,8
100000005805,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
100000005955,1.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,4
100000006005,1.33,0.0,0.0,0.0,2.33,1.89,0.0,0.0,0.0,9
100000006013,3.55,0.0,0.09,0.0,1.0,0.27,0.09,0.0,0.0,11
100000006081,1.14,0.0,0.0,0.0,0.38,0.17,0.02,0.38,0.4,42
100000006123,1.33,0.0,0.0,0.0,2.0,0.33,0.0,0.0,0.0,3
100000006395,1.0,0.0,0.0,0.0,1.25,0.75,0.25,0.0,0.0,4
100000006487,1.44,0.0,0.04,0.0,0.44,0.0,0.0,0.0,0.0,27
100000006539,1.0,0.0,0.0,0.0,3.75,2.0,0.0,0.0,0.0,4
100000006569,1.4,0.0,0.0,0.0,1.8,0.2,0.0,0.0,0.0,5
100000006605,1.0,0.0,0.0,0.0,0.56,0.11,0.11,0.0,0.0,9
100000006647,0.91,0.55,0.0,0.0,1.73,0.64,0.0,0.0,0.0,11
100000006857,1.14,0.43,0.0,1.0,2.43,0.14,0.0,0.0,0.0,7
100000006933,1.0,0.0,0.0,0.0,6.0,0.5,0.0,0.0,0.0,2
100000006981,1.33,0.0,0.0,0.0,1.13,0.53,0.0,0.33,0.27,15
100000007073,1.11,0.0,0.0,0.0,0.56,0.56,0.0,0.0,0.0,9
100000007079,0.93,0.0,0.0,0.0,1.53,0.53,0.07,0.07,0.07,15
100000007283,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1
100000007329,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2
100000007367,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1
100000007409,1.15,2.4,0.3,3.65,1.45,0.15,0.05,0.3,0.2,20
100000007457,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
100000007533,1.33,0.0,0.0,0.0,1.33,0.33,0.0,0.0,0.0,3
100000007609,1.17,0.0,0.0,0.0,0.17,0.11,0.0,0.39,0.06,18
100000007639,1.0,0.0,0.0,0.0,0.82,0.18,0.0,0.0,0.0,11
100000007745,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
100000007753,1.0,0.0,0.0,0.0,2.4,0.4,0.0,0.0,0.0,5
100000007785,0.56,2.0,1.56,2.78,1.67,0.78,0.67,0.22,0.33,9
100000008119,1.6,0.0,0.0,0.0,0.8,0.9,0.0,0.3,0.0,10
100000008253,1.0,0.14,0.21,0.0,1.43,0.57,0.07,0.0,0.0,14
100000008425,1.5,0.62,4.25,0.12,3.88,2.0,0.38,0.0,0.0,8
100000008481,1.33,0.0,0.0,0.0,2.0,1.33,0.0,0.0,0.0,6
100000008483,1.33,0.0,0.0,0.0,1.89,1.0,0.0,0.22,0.22,9
100000008529,1.89,1.0,0.22,0.0,0.89,0.78,0.11,0.0,0.0,9
100000008565,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,10
100000008995,1.5,0.5,6.0,0.25,6.0,1.0,0.25,0.12,0.12,8
100000009017,0.86,0.57,0.0,0.0,0.57,0.57,0.43,0.14,0.14,7
100000009249,1.09,0.0,0.0,0.0,0.73,0.18,0.0,0.0,0.0,11
100000009417,0.88,0.0,0.0,0.0,1.5,0.38,0.0,0.0,0.0,8
100000009463,5.2,0.0,0.0,0.0,4.4,2.4,0.0,0.2,0.2,5
100000009481,1.67,0.0,0.0,0.0,2.67,3.67,0.0,0.0,0.0,3
100000009491,1.14,0.0,0.14,0.0,0.57,0.57,0.14,0.14,0.14,7
100000009583,0.0,0.0,0.0,0.0,2.0,1.5,0.0,0.0,0.0,2
100000009611,1.0,0.11,0.06,0.11,2.28,0.28,0.17,0.11,0.11,18
100000009743,1.38,1.75,3.5,0.38,0.62,0.25,0.0,0.0,0.0,8
100000009771,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
100000009773,1.55,0.1,0.0,0.0,1.2,1.1,0.05,0.05,0.0,20
100000009807,1.45,0.0,0.0,0.09,1.73,1.0,0.0,0.0,0.0,11
100000009925,1.38,0.19,0.25,0.0,1.19,1.19,0.44,0.19,0.19,16
100000010101,1.23,0.1,0.17,0.47,0.6,0.63,0.07,0.0,0.0,30
100000010161,1.06,0.0,0.38,0.12,1.31,0.81,0.12,0.25,0.12,16
100000010177,14.48,0.74,0.32,0.72,7.28,1.68,0.13,0.22,0.12,242
100000010199,1.2,0.65,0.45,0.15,1.12,0.68,0.07,0.17,0.05,60
100000010239,2.0,0.0,0.0,0.0,3.0,0.67,0.0,0.33,0.33,3
100000010247,1.11,0.0,0.0,0.0,0.33,0.22,0.0,0.22,0.22,9
100000010249,1.07,0.07,0.0,0.57,2.71,2.0,0.14,0.0,0.0,14
100000010279,1.11,0.0,0.0,0.0,1.11,0.22,0.0,0.0,0.0,9
100000010287,2.56,0.44,0.56,2.12,1.19,0.0,0.06,0.0,0.0,16
100000010293,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2
100000010297,1.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,1
100000011105,1.33,0.0,0.0,0.0,1.33,0.67,0.0,0.0,0.0,3
100000011131,1.67,0.0,0.0,0.0,5.93,2.67,0.0,0.6,0.13,15
100000011325,1.0,0.0,0.0,0.0,29.0,20.0,0.0,0.0,0.0,1
100000011427,1.33,0.0,0.0,0.0,0.33,0.33,0.0,0.17,0.17,6
100000011573,3.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1
100000011591,1.0,0.0,0.0,0.0,1.0,1.6,0.0,0.2,0.2,5
100000011653,1.65,0.0,0.0,0.0,0.7,0.15,0.0,0.1,0.1,20
100000011741,1.15,0.0,0.08,0.0,1.54,0.69,0.0,0.23,0.15,13
100000011755,1.5,0.0,0.0,0.0,4.0,2.5,0.0,0.0,0.0,2
100000011763,1.0,0.0,0.0,0.0,8.0,1.5,1.0,0.0,0.0,2
100000011845,0.8,0.0,0.0,0.0,3.8,0.8,0.0,0.8,0.8,5
100000011933,1.43,0.0,0.04,0.0,0.43,0.13,0.0,0.04,0.04,23
100000012027,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
100000012133,1.5,0.0,0.0,0.0,0.5,1.0,0.0,0.25,0.25,4
100000012137,1.0,3.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,1
100000012213,1.0,0.0,0.0,0.0,3.0,1.5,0.0,0.0,0.0,4
100000012219,1.69,0.0,0.0,0.0,0.75,0.31,0.0,0.31,0.12,16
100000012235,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
100000012277,1.67,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,3
100000012341,1.0,0.0,0.0,0.0,1.1,1.1,0.1,0.1,0.0,10
100000012367,1.45,0.0,0.0,0.0,1.36,0.45,0.0,0.09,0.0,11
100000012405,1.91,0.0,0.0,0.0,1.45,0.73,0.0,0.0,0.0,11
100000012441,1.0,0.33,0.0,0.17,1.17,1.0,0.0,0.0,0.0,6
100000012507,1.6,0.0,0.0,0.0,1.93,0.47,0.0,0.4,0.0,15
100000012713,1.07,0.0,0.0,0.0,0.21,0.21,0.0,0.0,0.0,14
100000012715,0.62,0.0,0.0,0.0,4.38,1.88,0.0,0.12,0.0,8
100000012717,1.14,0.0,0.0,0.0,6.71,4.14,0.0,0.14,0.0,7
100000012719,1.2,0.0,0.0,0.0,1.6,1.4,0.2,0.0,0.0,5
100000012793,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1
100000012867,1.5,0.0,0.0,0.0,1.0,1.25,0.0,0.0,0.0,4
100000012885,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
100000012889,2.25,0.0,0.0,0.0,2.25,1.5,0.5,0.25,0.25,4
100000012931,1.13,0.0,0.17,0.0,0.87,0.3,0.09,0.04,0.04,23
100000012965,1.5,0.0,1.0,0.25,1.5,1.0,0.5,0.25,0.25,4
100000012981,1.09,0.0,0.0,0.0,1.94,1.34,0.0,0.0,0.0,32
100000013027,1.0,0.0,0.0,0.0,0.75,0.5,0.0,0.0,0.0,4
100000013381,1.25,0.0,0.0,0.0,0.88,0.38,0.0,0.12,0.0,8
100000013429,2.0,0.0,0.0,0.0,1.5,0.5,0.0,0.0,0.0,2
100000013461,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1
100000013471,1.64,0.09,0.0,0.0,1.36,1.27,0.18,0.09,0.18,11
100000013499,3.11,0.0,0.0,0.0,1.67,1.44,0.0,0.33,0.22,9
100000013669,1.17,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.0,6
100000013673,0.5,0.0,0.0,0.0,1.5,0.5,1.5,0.0,0.0,2
100000013837,1.5,1.5,0.0,0.0,6.5,3.0,1.5,0.0,0.0,2
100000013965,0.94,0.0,0.0,0.06,1.78,0.83,0.0,0.11,0.0,18
100000014029,2.0,0.0,0.0,0.0,1.25,1.75,0.0,0.0,0.0,4
100000014143,0.29,0.0,0.0,0.0,1.57,1.0,0.0,0.14,0.0,7
100000014259,1.12,0.0,0.0,0.0,0.94,0.71,0.0,0.12,0.12,17
100000014271,1.43,0.29,0.14,0.29,1.86,1.0,0.29,0.14,0.14,7
100000014311,1.38,0.29,0.12,1.38,1.79,1.08,0.08,0.0,0.0,24
100000014315,1.08,0.0,0.0,0.0,1.92,1.33,0.08,0.0,0.0,12
100000014383,1.35,0.0,0.0,0.0,1.12,1.35,0.0,0.18,0.06,17
100000014421,1.09,0.05,0.05,0.05,0.36,0.27,0.14,0.05,0.0,22
100000014423,1.5,0.0,0.0,0.0,1.0,0.5,0.0,0.25,0.12,8
100000014449,1.14,0.0,0.0,0.0,1.43,0.57,0.0,0.0,0.0,7
100000014641,1.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,11
100000014679,1.2,0.0,0.0,0.0,1.8,0.7,0.0,0.3,0.0,10
100000014745,1.53,0.0,0.0,0.0,0.67,0.4,0.0,0.13,0.13,15
100000014865,1.67,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,3
100000014899,1.0,0.0,0.06,0.0,1.31,1.5,0.0,0.06,0.06,16
100000014949,1.0,0.14,0.0,0.86,0.71,0.57,0.14,0.0,0.0,7
100000014973,1.2,0.0,0.0,0.0,1.6,0.6,0.0,0.2,0.0,5
100000014981,1.43,0.0,0.0,0.0,1.71,0.57,0.43,0.57,0.43,7
100000015043,1.5,0.0,0.0,0.0,1.5,1.0,0.0,0.0,0.0,2
100000015129,1.4,0.0,0.0,0.0,1.4,2.4,0.0,0.2,0.2,5
100000015145,0.75,0.0,0.0,0.0,1.25,0.25,0.0,0.0,0.0,4
100000015153,1.0,0.43,0.14,0.71,0.71,0.29,0.0,0.0,0.0,7
100000015213,1.57,0.0,0.0,0.0,0.3,0.09,0.0,0.13,0.0,23
100000015223,1.34,0.0,0.0,0.0,2.1,0.69,0.0,0.03,0.0,29
100000015275,1.5,0.0,0.0,0.0,1.5,1.0,0.0,0.5,0.0,2
100000015433,1.07,0.0,0.0,0.0,3.21,1.29,0.0,0.14,0.07,14
100000015475,0.0,0.0,0.0,0.0,2.67,0.0,0.0,0.0,0.0,3
100000015747,0.5,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2
100000015791,3.1,0.0,0.0,0.0,7.8,1.3,0.0,0.0,0.0,10
100000015969,1.0,0.0,0.0,0.0,1.4,0.9,0.0,0.8,0.3,10
100000016009,1.0,0.0,0.0,0.0,2.5,0.5,0.0,0.0,0.0,2
100000016197,1.0,0.0,0.0,0.0,2.25,1.0,0.0,0.0,0.0,4
100000016219,0.75,0.0,0.0,0.0,1.12,0.0,0.0,0.0,0.0,8
100000016265,2.27,0.18,1.27,0.0,2.73,1.73,0.55,0.55,0.45,11
100000016341,1.17,0.0,0.0,0.0,2.38,0.88,0.08,0.88,0.67,24
100000016351,1.25,0.0,0.0,0.0,0.75,0.25,0.25,0.25,0.25,4
100000016391,1.22,0.0,0.0,0.0,1.89,1.0,0.0,0.0,0.0,9
100000016831,1.25,0.0,0.0,0.0,1.62,0.62,0.38,0.25,0.25,8
100000016845,0.67,0.0,0.0,0.0,0.83,0.83,0.0,0.17,0.0,6
100000016861,2.5,0.29,0.0,0.0,1.21,0.29,0.14,0.07,0.14,14
100000016987,1.5,0.0,0.0,0.0,1.62,1.75,0.0,0.0,0.0,8
100000017177,2.07,0.0,0.0,0.0,2.14,0.71,0.0,0.43,0.5,14
100000017277,1.31,0.18,0.16,0.04,1.6,1.82,0.09,0.22,0.07,45
100000017281,1.4,0.0,0.0,0.0,2.0,1.2,0.0,0.4,0.4,5
100000017345,1.2,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,5
100000017367,0.9,0.0,0.0,0.0,1.7,1.0,0.0,0.9,0.3,10
100000017465,2.0,0.0,5.33,0.67,2.33,1.33,0.67,0.0,0.0,3
100000017469,2.5,0.0,0.0,0.0,0.83,0.17,0.0,0.17,0.17,6
100000017505,1.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,5
100000017691,1.0,0.0,0.0,0.0,1.67,1.08,0.0,0.33,0.25,12
100000017693,0.87,0.0,0.0,0.0,0.8,0.53,0.0,0.0,0.0,15
100000017965,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
100000018097,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1
100000018117,1.0,0.0,0.0,0.0,1.8,0.4,0.0,0.0,0.0,5
100000018123,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1
100000018259,1.74,0.0,0.0,0.0,0.53,0.11,0.0,0.11,0.0,19
100000018413,1.25,2.0,7.25,0.5,1.0,1.0,0.25,0.0,0.0,4
100000018417,1.25,0.0,0.0,0.0,1.0,0.25,0.0,0.25,0.25,4
100000018629,1.0,1.0,0.4,0.6,3.2,0.2,0.2,0.0,0.0,5
100000018905,0.9,0.4,1.6,0.1,1.1,0.6,0.1,0.0,0.0,10
100000018941,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3
100000018979,1.5,0.9,3.2,1.4,2.0,0.4,0.2,0.1,0.1,10
100000019251,0.89,0.0,0.0,0.0,2.33,0.33,0.0,0.33,0.0,9
100000019375,1.75,0.0,0.0,0.0,2.12,0.38,0.0,0.0,0.0,8
100000019379,1.33,0.0,0.0,0.0,0.67,0.33,0.0,0.0,0.0,3
100000019487,2.25,0.0,0.0,0.0,3.15,3.15,0.0,0.0,0.0,20
100000019489,1.0,0.0,0.0,0.0,2.67,1.33,0.0,0.0,0.0,3
100000019507,1.33,0.0,0.0,0.0,3.67,1.28,0.0,0.11,0.0,18
100000019641,1.0,0.67,0.33,0.0,1.33,0.0,0.0,0.0,0.0,3
100000019697,1.0,0.0,0.0,0.0,0.33,1.0,0.0,0.0,0.0,3
100000019829,1.25,0.0,0.0,0.0,1.75,1.25,0.0,0.0,0.0,4
100000019999,0.33,0.0,0.0,0.0,2.33,0.33,0.0,0.33,0.33,3
100000020007,1.23,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,13
100000020017,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1
100000020019,1.77,0.0,0.0,0.0,3.69,2.31,0.0,0.0,0.15,13
100000020061,1.4,0.0,0.15,0.0,2.4,0.3,0.15,0.0,0.1,20
100000020213,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
100000020277,1.5,0.0,0.0,0.0,1.5,0.5,0.0,0.17,0.0,6
100000020301,1.11,0.0,0.0,0.0,3.11,1.33,0.0,0.33,0.22,9
100000020393,0.6,0.2,0.6,0.0,1.6,1.0,0.0,0.0,0.0,5
100000020459,1.0,0.6,1.0,1.0,2.0,1.4,0.2,0.1,0.1,10
100000020665,1.8,0.0,0.0,0.0,2.2,1.2,0.0,0.0,0.0,5
100000020745,1.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,4
100000020809,1.33,0.0,0.0,0.0,3.13,0.4,0.0,0.07,0.07,15
100000020811,1.25,0.0,0.36,0.03,2.44,0.53,0.0,0.03,0.03,36
100000020907,1.27,0.0,0.0,0.0,1.73,0.91,0.0,0.0,0.0,11
100000020921,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
100000020931,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1
100000020995,1.5,0.12,0.88,0.75,0.5,0.38,0.12,0.0,0.0,8
100000021111,1.23,0.38,0.31,1.31,1.69,0.46,0.31,0.23,0.23,13
100000021175,1.25,0.0,0.0,0.0,1.25,0.5,0.0,0.0,0.0,4
100000021395,1.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,1
100000021427,1.33,0.0,0.0,0.0,1.5,0.83,0.0,0.17,0.0,6
100000021453,1.0,0.12,0.0,0.0,0.62,0.0,0.0,0.0,0.0,8
100000021457,1.11,0.0,0.0,0.0,0.44,0.44,0.22,0.0,0.0,9
100000021553,0.67,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.0,3
100000021649,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1
100000021659,1.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0,0.0,1
100000021759,1.17,0.0,0.0,0.0,2.67,0.33,0.0,2.17,0.0,6
100000021783,1.14,0.0,0.0,0.0,1.0,0.14,0.14,0.0,0.0,7
100000021809,1.31,0.23,0.08,0.46,2.0,2.0,0.08,0.0,0.0,13
100000021873,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1
100000022129,0.96,0.0,0.0,0.0,1.88,0.46,0.0,0.08,0.0,24
100000022335,1.2,1.0,1.0,1.0,2.2,0.6,0.4,0.4,0.4,5
100000022357,1.0,0.0,0.0,0.0,2.0,0.5,0.5,0.0,0.0,2
100000022389,1.0,1.0,0.0,0.4,2.1,1.3,0.0,0.0,0.0,10
100000022417,0.83,0.0,0.0,0.0,1.33,0.83,0.33,0.0,0.17,6
100000022481,2.5,0.0,0.0,0.0,0.57,0.36,0.0,0.14,0.0,14
100000022499,3.5,0.0,1.83,3.17,4.83,1.5,0.5,0.33,0.33,6
100000022571,1.9,0.1,0.2,0.3,0.9,0.8,0.4,0.3,0.3,10
100000022651,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
100000022677,2.0,0.0,0.0,0.0,2.67,2.33,0.33,0.0,0.0,3
100000022761,2.25,0.0,0.0,0.0,3.0,1.0,0.0,0.25,0.0,4
100000022773,1.0,0.0,0.0,0.0,0.67,0.33,0.0,0.0,0.0,3
100000022801,1.43,0.0,0.0,0.0,3.43,2.29,0.0,0.71,0.0,7
100000022841,1.07,0.0,0.0,0.0,1.05,0.5,0.0,0.02,0.0,58
100000022931,1.88,0.38,0.0,0.0,2.25,1.5,0.0,0.25,0.0,8
100000022963,1.25,0.0,0.0,0.0,0.62,0.0,0.0,0.0,0.0,8
100000023051,1.0,0.0,0.0,0.0,1.0,1.0,0.67,0.0,0.0,3
100000023443,1.0,0.0,0.0,0.0,0.12,0.12,0.0,0.0,0.0,8
100000023563,1.24,0.06,0.06,0.12,1.0,1.18,0.06,0.0,0.0,17
100000023659,1.0,0.25,0.0,0.25,2.0,1.75,0.25,0.0,0.0,4
100000023915,1.0,0.0,0.0,0.0,1.0,2.2,0.0,0.2,0.2,5
110020371225,0.88,0.0,0.12,0.38,1.12,2.12,0.0,0.38,0.12,8
110020471524,1.33,0.0,0.0,0.0,2.67,2.67,0.0,0.0,0.0,3
110020473123,1.25,0.25,0.0,0.0,1.5,1.25,0.25,0.0,0.0,4
110020671528,1.0,0.0,0.0,0.0,2.17,2.0,0.33,0.0,0.0,6
110020673328,1.38,0.0,0.0,0.0,1.0,1.5,0.0,0.12,0.12,8
110020771524,1.0,0.4,0.2,0.4,2.6,0.6,0.0,0.0,0.0,5
110020773124,3.07,0.0,0.0,0.0,1.67,0.67,0.0,0.13,0.13,15
110100014168,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1
110100014369,1.92,0.31,0.65,0.27,1.23,0.62,0.15,0.12,0.12,26
110100014466,2.0,0.0,0.18,0.06,1.0,0.18,0.06,0.53,0.18,17
110100014563,0.8,0.4,0.0,1.0,0.8,0.8,0.2,0.0,0.0,5
110100016128,1.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,1
110100016324,0.0,5.5,4.0,9.0,4.5,1.5,4.5,0.0,0.0,2
110100016628,2.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,1
