userid,order_day_mean,day_after_lastorder
110101616464,15.0,2
110101616522,54.0,1
110101616528,14.0,1
110101616663,1.5,1
110101617025,86.0,0
110101617728,18.0,0
110101618267,43.5,0
110101635063,52.0,2
110101635362,17.0,89
110101635660,194.0,4
110101710127,7.67,0
110101710128,13.0,2
110101710325,1.0,1
110101714169,75.0,0
110101714560,2.0,3
110101714960,28.0,7
110101718068,4.0,0
110101718169,23.0,33
110101733868,18.0,3
110101735766,65.5,1
110101773227,11.67,46
110101810163,40.0,0
110101810167,22.0,1
110101810168,3.0,5
110101812321,22.0,3
110101814067,55.0,0
110101814767,33.0,0
110101814860,3.0,58
110101814865,1.0,0
110101814967,34.0,0
110101816027,4.5,7
110101816223,50.0,3
110101816420,9.0,0
110101818768,1.0,0
110101835564,8.0,5
110101835569,26.0,4
110101912129,11.0,0
110101912528,20.5,0
110101912822,2.0,7
110101916723,32.0,0
110101918161,40.0,0
110101918860,1.0,0
110101935266,1.0,137
110101973024,16.33,2
110101973922,66.5,0
110102012123,5.0,4
110102012329,5.0,33
110102016429,1.0,23
110102016721,5.0,94
110102018267,1.0,13
110102073220,33.0,0
110102112420,7.0,11
110102116321,123.0,0
110102116724,20.0,0
110102173926,1.0,14
110102212724,19.0,4
110102216020,2.0,0
110102216927,16.0,2
110102235466,1.0,4
110102273628,24.0,0
110102273726,72.0,74
110102312727,36.0,0
110102312928,1.0,3
110102318767,65.0,0
110102318865,75.0,0
110102333864,12.0,0
110102335168,2.0,0
110102335262,21.0,0
110102373224,7.0,11
110102373423,1.0,0
110102373628,39.0,0
110102416120,70.0,4
110102416820,46.0,38
110102416920,43.0,0
110102435365,1.0,1
110102471027,8.0,1
110102471529,3.0,8
110102473724,1.0,4
110102516029,15.0,1
110102516127,2.0,27
110102516928,2.0,4
110102518160,53.0,1
110102573423,18.5,8
110102612327,33.0,4
110102614267,4.0,0
110102614369,28.0,8
110102635664,1.0,0
110102673421,12.0,1
110102673920,1.0,6
110102712725,15.0,1
110102714267,1.0,0
110102716828,79.0,1
110102718168,1.0,24
110102718466,3.0,0
110102718666,6.0,3
110102733061,5.0,3
110102735661,1.0,12
110102771029,15.0,0
110102771220,63.0,2
110102773026,1.5,0
110102773127,3.0,7
110102773628,91.0,14
110102773720,39.0,4
110102773820,1.0,13
110102816326,2.0,0
110102833063,5.0,55
110102873024,123.0,0
110102873229,5.0,0
110102873829,41.0,36
110102912724,17.0,123
110102916021,35.0,1
110102933862,1.0,1
110102973622,1.0,0
110103012626,4.0,5
110103012925,3.0,49
110103014161,19.0,5
110103014162,9.5,1
110103016321,9.5,0
110103016325,25.0,0
110103016425,9.0,0
110103035263,29.0,2
110103035469,3.0,0
110103035961,29.0,1
110103073023,8.0,0
110103112124,3.0,0
110103116220,99.0,0
110103116726,2.0,3
110103135068,15.0,3
110103135866,56.0,16
110103173229,1.0,0
110103173422,1.0,1
110103173522,1.0,0
110103212628,6.0,1
110103214160,8.0,0
110103216627,32.0,0
110103216629,14.0,17
110103218165,84.0,12
110103218460,75.0,2
110103218468,123.0,0
110103218861,57.0,1
110103235063,5.0,0
110103235767,43.0,0
110103235860,40.0,78
110103235866,47.0,6
110103310120,8.0,6
110103314461,41.33,0
110103318069,40.0,5
110103318768,13.75,2
110103318964,73.0,1
110103333069,53.0,4
110103335168,61.0,4
110103335262,16.5,27
110103335461,49.0,6
110103371223,34.0,13
110103371520,17.0,7
110103414267,2.67,1
110103416726,1.0,0
110103416923,66.0,8
110103418169,8.0,65
110103418563,1.0,5
110103418663,2.5,2
110103435368,6.5,1
110103512529,74.5,1
110103516726,21.0,13
110103518960,1.0,0
110103518964,12.67,0
110103533864,1.0,10
110103535666,1.0,59
110103571022,2.0,2
110103571521,13.0,3
110103612721,1.0,0
110103612724,1.0,6
110103612820,3.0,1
110103612824,2.0,0
110103616923,2.0,8
110103635166,1.0,1
110103635769,23.0,14
110103671523,60.5,16
110103673025,1.0,0
110103673422,104.0,2
110103712629,44.0,4
110103712721,23.5,0
110103714366,9.0,7
110103716125,5.0,9
110103716726,1.0,23
110103718262,33.0,0
110103718562,15.0,0
110103735262,1.0,7
110103773329,5.0,5
110103773424,5.0,0
110103812628,1.0,0
110103812924,26.0,0
110103816223,1.0,0
110103818268,8.0,5
110103818368,6.0,17
110103818763,13.5,0
110103818769,1.0,2
110103818868,39.5,0
110103818960,43.0,1
110103835063,1.0,0
110103835163,1.0,0
110103873426,4.0,64
110103912520,3.5,0
110103916626,31.0,0
110103916929,2.0,0
110103918063,32.5,0
110103971224,1.0,21
110103973022,53.5,0
110103973525,15.0,0
110103973722,37.0,34
110104014260,3.0,7
110104016123,20.0,0
110104016224,8.0,27
110104016323,9.0,43
110104016626,1.0,105
110104018069,50.0,0
110104018162,7.0,116
110104018467,11.0,0
110104018763,1.0,131
110104033763,5.0,3
110104035063,15.0,0
110104035068,1.0,0
110104071021,73.0,51
110104071523,37.0,42
110104073322,14.0,10
110104073526,1.0,81
110104073720,1.0,133
110104110568,92.0,6
110104112529,6.0,67
110104116621,2.0,6
110104118067,21.67,1
110104118765,9.0,0
110104118964,2.0,0
110104133066,1.0,0
110104133765,82.0,52
110104135164,9.0,0
110104135365,1.0,113
110104135766,21.0,9
110104173622,1.0,1
110104173923,18.0,4
110104216425,55.0,0
110104218563,131.0,0
110104218762,2.0,0
110104235660,6.0,0
110104235661,4.0,0
110104235668,1.0,9
110104273226,1.0,0
110104273321,7.0,58
110104273527,3.0,78
110104312827,96.0,6
110104314164,17.0,0
110104316524,1.0,15
110104316625,66.0,6
110104333064,8.0,0
110104333762,1.0,1
110104335662,25.0,59
110104335964,1.0,1
110104371029,12.0,1
110104373122,4.0,0
110104373628,2.0,17
110104373825,16.0,6
110104412129,17.0,9
110104414061,11.0,4
110104416524,10.0,4
110104418863,51.0,12
110104418967,1.5,0
110104435761,2.0,1
110104435965,1.0,1
110104435969,7.25,5
110104473627,1.0,2
110104473827,11.0,0
110104516026,50.0,3
110104516620,11.0,59
110104518260,102.0,0
110104518967,1.0,6
110104535067,24.0,87
110104535465,6.0,9
110104573620,4.0,0
110104573927,9.0,0
110104612326,1.0,8
110104614968,1.0,0
110104616626,1.0,1
110104618865,18.83,3
110104618966,17.5,1
110104635160,1.0,81
110104671525,1.0,3
110104673429,2.0,65
110104712426,1.0,1
110104714061,4.0,1
110104714464,1.0,18
110104716027,41.67,2
110104716123,13.0,1
110104716425,7.5,0
110104716729,8.5,2
110104733865,3.8,0
110104733867,36.0,1
110104735260,3.0,1
110104771527,1.5,1
110104773525,9.25,0
110104810327,25.0,0
110104810820,2.5,5
110104814969,66.0,0
110104816822,106.0,5
110104833764,4.0,4
110104910929,10.0,7
110104916324,3.0,9
110104918366,6.0,0
110104918469,10.0,4
110104935368,58.0,0
110104935564,1.0,34
110104935566,1.0,48
110104935863,11.0,0
110105012725,31.0,0
110105014563,1.0,0
110105018366,65.0,0
110105033066,12.5,0
110105035267,4.5,2
110105035764,2.0,0
110105035860,1.0,0
110105112325,1.0,0
110105118266,2.0,0
110105118761,76.0,0
110105135060,1.0,0
110105173122,55.0,1
110105216628,1.0,7
110105216929,43.0,0
110105218969,1.0,0
110105233860,4.0,0
110105235863,1.0,26
110105273722,8.0,0
110105316125,14.0,0
110105316822,1.0,3
110105333860,9.0,2
110105335269,14.0,8
110105371027,3.0,8
110105373320,5.0,1
110105414265,6.0,0
110105416423,8.0,16
110105416428,52.0,2
110105418164,1.0,0
110105435861,9.67,12
110105473621,20.0,0
110105516127,12.67,1
110105516327,7.0,1
110105518366,38.0,0
110105535461,1.0,8
110105571020,6.0,4
110105573420,2.0,0
110105616423,1.0,3
110105616625,1.0,1
110105673726,44.5,0
110105718661,2.0,3
110105718964,1.33,2
110105733068,1.5,0
110105735669,7.0,5
110105816425,1.0,6
110105816621,20.0,2
110105816720,1.0,0
110105818361,1.0,0
110105818466,10.0,48
110105871525,17.0,0
110105916426,1.0,0
110105933862,1.0,5
110105973725,11.0,0
110105973822,4.5,3
110106018469,7.5,1
110106018964,6.5,13
110106033063,1.0,2
110106033862,1.0,0
110106035163,1.0,33
110106071225,2.67,0
110106071527,1.0,90
110106073127,4.0,4
110106073424,13.0,0
110106116520,1.0,0
110106135464,1.0,1
110106216728,1.0,3
110106216824,21.0,0
110106216926,8.0,8
110106235664,87.0,6
110106235667,29.0,3
110106273220,1.0,0
110106273428,1.0,24
110106316425,1.0,7
110106318562,1.0,0
110106318869,3.0,2
110106333864,7.5,1
110106333869,2.0,1
110106335160,29.5,27
110106373929,6.0,0
110106416725,1.0,18
110106418169,3.0,4
110106471023,1.0,1
110106471529,3.0,6
110106473124,18.0,9
110106516721,14.0,0
110106516826,28.0,0
110106518361,2.0,0
110106535063,1.0,0
110106535767,29.5,0
110106573225,75.0,22
110106573828,1.0,4
110106573922,4.0,2
110106616026,1.0,5
110106618865,1.0,21
110106633769,3.5,0
110106671224,2.0,3
110106671525,3.0,8
110106716120,1.0,1
110106716223,20.0,3
110106716721,57.0,0
110106716724,1.0,9
110106716725,7.0,1
110106735663,3.0,11
110106773221,17.5,34
110106833069,1.0,32
110106873621,13.0,0
110106873928,3.0,2
110106918369,3.0,1
110106918564,10.0,2
110106973924,21.67,6
110107012623,26.0,0
110107016724,1.0,6
110107018061,38.0,0
110107035067,7.0,26
110107071520,2.0,0
110107071524,1.0,3
110107073924,1.0,9
110107112062,55.0,1
110107112365,27.5,0
110107112464,19.67,0
110107112769,28.0,16
110107114060,14.0,3
110107114064,1.0,3
110107114564,10.0,0
110107116267,4.0,0
110107116421,9.0,11
110107118360,6.0,11
110107118563,1.0,2
110107118869,14.0,0
110107135567,1.0,4
110107173924,43.0,4
110107212426,1.0,1
110107212927,9.0,0
110107214669,1.0,1
110107216020,5.0,0
110107216627,1.0,4
110107216821,1.0,1
110107216921,56.0,0
110107218865,8.0,3
110107314067,2.0,0
110107314169,6.0,29
110107314260,65.0,1
110107314362,20.0,0
110107314862,105.0,14
110107316226,1.0,0
110107318364,33.0,3
110107318561,1.0,1
110107318567,48.0,7
110107318967,31.0,0
110107333060,1.0,3
110107335462,6.5,0
110107335660,46.0,1
110107335962,11.0,1
110107373824,1.0,6
110107412127,4.5,1
110107412462,38.0,0
110107412762,2.5,9
110107414062,3.0,1
110107416328,1.0,1
110107416629,1.0,58
110107418763,1.0,64
110107473228,15.5,2
110107514969,1.0,0
110107518764,1.0,6
110107535065,3.67,14
110107573925,37.0,4
110107610262,21.0,3
110107614061,34.5,7
110107614266,36.5,1
110107614368,4.0,1
110107618664,4.0,1
110107618762,145.0,0
110107633069,9.0,16
110107635161,2.0,58
110107635963,3.5,15
110107673925,1.0,4
110107716624,22.0,3
110107735669,6.0,0
110107735864,1.0,3
110107773620,1.0,7
110107810261,1.0,1
110107816821,9.0,3
110107816825,1.5,1
110107818868,1.0,5
110107835264,50.0,14
110107910662,1.0,21
110107914167,6.75,1
110108012629,14.0,7
110108014969,1.0,6
110108018468,4.0,7
110108018765,19.0,17
110108035961,9.0,15
110108110462,7.0,9
110108112126,6.0,10
110108114965,1.0,0
110108116223,1.0,0
110108133069,52.5,4
110108133768,4.0,4
110108135666,56.0,17
110108173129,4.0,1
110108214060,4.0,0
110108214264,4.0,2
110108214763,1.0,2
110108216527,3.0,1
110108218466,1.0,9
110108218762,1.0,2
110108235766,2.5,0
110108314369,3.0,0
110108314766,9.0,1
110108314863,6.0,3
110108318767,2.0,4
110108335565,4.0,0
110108418660,8.0,10
110108473727,1.0,1
110108510163,12.0,2
110108516428,1.0,3
110108610169,12.0,2
110108610565,4.0,8
110108614863,3.0,1
110108616525,1.0,1
110108633866,7.0,5
110108710160,2.0,5
110108712127,31.5,0
110108714166,1.0,0
110108714766,1.0,72
110108716127,1.0,0
110108716227,1.0,0
110108716726,1.0,10
110108718268,3.0,0
110108718560,6.0,35
110108718666,1.0,83
110108718764,16.0,3
110108733865,1.0,9
110108735460,21.33,1
110108771027,1.0,0
110108771221,3.0,7
110108773125,1.0,12
110108814163,1.0,5
110108816726,1.0,4
110108818465,12.0,0
110108818860,1.0,0
110108873921,3.0,0
110108910465,2.0,0
110108914867,5.0,0
110108916423,1.0,0
110108918560,48.0,0
110108935161,3.0,2
110108973825,1.0,0
110109012424,1.0,4
110109018763,29.5,0
110109035167,91.0,0
110109071523,75.0,0
110109073624,6.0,2
110109073724,1.0,4
110109073728,1.83,6
110109073825,1.0,0
110109073929,16.0,15
110109112122,2.0,70
110109112927,13.0,1
110109116627,10.0,0
110109116928,27.0,3
110109117724,1.0,0
110109117826,9.0,1
110109135163,11.0,0
110109135660,2.0,0
110109173429,1.0,21
110109173524,2.0,0
110109218960,1.0,7
110109235363,5.0,3
110109273423,1.5,0
110109312020,5.0,0
110109314261,6.33,0
110109314569,4.0,3
110109314969,8.5,1
110109318762,3.0,0
110109333061,1.0,0
110109335668,138.0,5
110109371223,5.0,15
110109373622,20.0,0
110109373823,5.0,2
110109373922,14.0,3
110109412027,21.0,0
110109416120,9.0,0
110109416122,2.0,0
110109418063,38.0,11
110109418068,1.0,0
110109418366,26.0,8
110109418667,23.5,0
110109418760,18.0,7
110109433767,3.0,0
110109435268,1.0,67
110109435962,2.0,7
110109473521,34.0,0
110109473627,2.0,0
110109510726,1.0,0
110109512126,6.0,28
110109512221,17.0,1
110109512628,2.0,0
110109512920,74.0,1
110109516721,1.0,57
110109518765,4.33,1
110109535361,3.0,6
110109571225,3.0,7
110109612327,20.0,0
110109612627,1.0,4
110109616122,5.0,0
110109618069,22.0,0
110109618166,14.0,0
110109618367,39.5,0
110109618469,2.0,5
110109618664,78.5,1
110109618764,1.0,0
110109618966,1.0,7
110109633766,198.0,0
110109635965,7.33,54
110109710123,6.0,1
110109710124,16.0,4
110109712324,39.5,0
110109716823,19.67,58
110109718160,18.0,1
110109735164,9.0,12
110109771226,1.0,6
110109810128,8.0,47
110109810822,1.0,6
110109812021,22.0,1
110109812924,4.0,2
110109816027,12.5,1
110109816127,42.0,5
110109816928,1.0,1
110109817128,2.5,56
110109817720,28.0,0
110109818961,6.0,10
110109818967,4.0,67
110109873021,2.0,0
110109910224,16.0,0
110109910720,36.0,0
110109912923,12.0,1
110109916129,12.0,0
110109916925,34.5,41
110109918568,13.5,1
110109918966,7.0,0
110109935165,1.0,2
110109973128,21.0,6
110120010962,1.0,3
110120011361,6.0,2
110120011669,1.0,1
110120014269,92.0,9
110120014363,24.0,57
110120014666,6.0,66
110120014768,3.0,1
110120014965,40.0,25
110120014969,82.0,3
110120018167,26.0,23
110120018460,93.0,0
110120018965,1.0,1
110120035065,4.0,11
110120035369,2.0,10
110120114162,18.0,13
110120114164,2.0,0
110120118067,1.0,1
110120118465,64.0,0
110120118568,18.5,4
110120135362,38.5,12
110120135865,36.0,5
110120210463,6.0,7
110120214260,75.0,18
110120214968,1.0,0
110120216466,8.29,0
110120216860,1.0,6
110120218765,84.0,15
110120219560,44.0,62
110120235163,9.0,6
110120318462,105.0,37
110120333760,22.0,1
110120333762,19.67,0
110120333763,3.0,1
110120333768,86.0,0
110120335564,3.0,1
110120414164,28.0,3
110120418164,1.0,1
110120418261,4.67,1
110120433764,33.5,2
110120433869,58.0,11
110120514968,38.0,29
110120518667,89.0,0
110120518962,34.0,38
110120533762,89.0,0
110120533860,20.0,60
110120533864,1.0,38
110120535068,23.0,25
110120535163,22.0,1
110120535861,78.0,0
110120614068,67.0,0
110120614069,1.0,0
110120614668,1.0,0
110120614764,1.0,3
110120618162,29.0,2
110120618461,1.0,1
110120618567,1.0,1
110120618662,49.5,1
110120633063,83.0,1
110120635062,16.0,0
110120635263,44.0,17
110120635365,1.0,8
110120714262,12.0,0
110120714469,35.0,1
110120718568,27.0,6
110120718569,48.0,11
110120733868,52.0,0
110120735561,12.0,0
110120735568,7.0,0
110120814267,3.0,6
110120814368,1.0,1
110120814461,1.0,101
110120818261,9.67,42
110120818763,19.0,1
110120818961,4.0,1
110120835960,41.0,16
110120914462,2.0,0
110120914467,6.0,11
110120914563,1.0,3
110120918063,6.0,0
110120918461,15.0,31
110120918567,90.0,0
110120933769,2.0,56
110121035460,49.0,0
110121073227,1.0,1
110121073423,1.5,0
110121333760,49.33,0
110121333766,40.0,0
110121335567,13.0,64
110121373121,10.0,4
110121435664,7.0,0
110121473126,16.0,7
110121473928,3.0,10
110121573429,1.0,3
110121616324,1.33,1
110121833068,92.0,8
110121833765,115.0,0
110121835561,118.0,7
110121873421,2.0,0
110121973521,40.0,0
110122016326,51.0,2
110122016328,58.0,0
110122018267,40.33,8
110122035866,63.0,1
110122035967,1.5,51
110122035969,14.0,60
110122073225,8.0,0
110122073827,23.0,4
110122118467,4.5,1
110122133067,4.0,38
110122133760,8.0,80
110122173323,1.0,17
110122316320,1.0,10
110122316427,1.0,0
110122318261,37.5,0
110122333765,26.0,0
110122335567,34.5,47
110122373929,7.0,1
110122471226,1.0,4
110122471529,23.0,6
110122473024,17.0,0
110122473926,1.0,0
110122533761,71.0,10
110122673028,2.0,0
110122716427,1.0,0
110122718162,83.0,34
110122718362,3.0,56
110122733068,32.5,7
110122733760,14.0,117
110122735561,7.0,126
110122735661,78.0,0
110122735760,9.0,14
110122773429,5.0,4
110122773722,3.0,0
110122773825,4.0,1
110122835565,25.0,0
110122873028,1.0,4
110122918262,5.0,15
110123035461,48.75,48
110123133766,56.5,8
110123135464,9.33,152
110123135467,13.75,3
110123333867,41.0,142
110123435263,3.0,94
110123535164,6.0,200
110123535462,30.0,0
110123633764,2.0,0
110123673721,1.0,13
110123735168,15.0,1
110123773024,1.0,0
110123773027,1.0,3
110123833762,26.0,4
110123835969,6.0,97
110123933865,53.0,51
110123933866,8.0,0
110124073122,29.0,4
110124135460,5.0,2
110124173125,1.0,1
110124273422,1.0,0
110124273523,4.0,2
110124335169,49.5,0
110124435162,8.0,5
110124535363,1.0,15
110124573327,11.0,2
110124633868,98.5,1
110124673128,1.0,5
110124733066,19.0,1
110124735466,31.0,0
110124773325,2.0,1
110124833069,1.0,97
110124871222,2.0,0
110124933762,2.0,28
110124935967,14.0,94
110124971220,5.0,0
110125016029,4.0,2
110125118266,1.0,2
110125133862,89.0,15
110125135061,10.0,6
110125135363,2.33,1
110125135569,1.0,0
110125316329,1.0,6
110125333068,64.0,169
110125433061,69.0,15
110125435369,109.0,0
110125473420,1.0,2
110125535063,1.75,1
110125535460,36.0,4
110125535867,1.0,7
110125635565,4.0,1
110125635963,28.67,1
110125673624,1.0,0
110125718160,9.0,0
110125835461,33.5,0
110125835669,3.0,25
110125933063,11.0,10
110125935168,16.0,1
110125935562,2.0,2
110125935866,52.0,43
110126035560,90.0,8
110126135761,1.0,81
110126135765,4.0,1
110126235369,1.0,0
110126333764,26.0,0
110126435566,1.0,5
110126435761,4.5,1
110126535064,77.0,0
110126635161,3.0,11
110126635266,4.0,27
110126635464,15.0,68
110126735961,31.0,44
110126735964,29.0,4
110127033065,79.0,33
110127033767,1.0,2
110127035169,8.0,2
110127135964,5.0,0
110127235468,6.0,1
110127735162,73.5,0
110127835261,2.0,15
110127933863,22.38,3
110128035268,11.5,0
110128133767,6.0,2
110128135263,13.67,69
110128135463,56.5,4
110128333067,1.0,1
110128335465,20.5,0
110128433064,14.0,9
110128435362,12.0,3
110128435368,82.0,117
110128535360,28.0,3
110129235360,1.0,1
110129335361,7.67,5
110129373928,1.0,0
110129435664,1.0,68
110129435964,25.67,7
110129571225,1.0,2
110129616427,2.5,0
110129635962,23.0,1
110129673122,1.0,0
110129673423,9.5,1
110129716122,1.0,0
110129835560,74.0,4
110129835565,143.0,0
110129873728,2.0,0
110129935262,44.0,5
110140016328,1.0,16
110140073123,11.0,0
110140073720,15.75,2
110140073922,42.0,8
110140173027,50.0,9
110140173120,37.0,3
110140173228,21.0,12
110140173522,8.0,0
110140173621,29.67,30
110140173820,1.0,150
110140273024,9.5,117
110140273227,1.0,1
110140371226,20.0,91
110140373325,3.0,51
110140373522,58.0,0
110140516329,27.0,0
110140516622,27.75,6
110140573423,4.0,92
110140716427,86.0,0
110140773729,9.0,0
110140871226,26.0,2
110140873128,20.0,100
110140873727,26.0,4
110140873922,2.0,4
110140916327,30.5,2
110140916422,1.0,0
110140973128,35.0,0
110140973528,7.0,0
110141171525,78.0,0
110141173126,1.67,2
110141273620,5.0,0
110141373128,1.0,8
110141473828,5.0,3
110141573725,1.0,1
110141771524,135.0,4
110141773321,15.5,6
110141773929,3.33,70
110141873426,14.0,0
110141971029,37.5,1
110141973827,1.0,2
110142273129,1.0,0
110142273922,32.0,1
110142371223,86.0,2
110142473428,61.75,2
110142571220,13.0,0
110142573121,1.0,32
110142573125,238.0,6
110142671028,88.0,0
110142871227,44.5,15
110142873725,4.33,163
110142973128,1.0,0
110142973320,3.0,0
110143171225,5.5,5
110143171527,36.0,1
110143173820,41.2,1
110143173825,2.0,102
110143271023,15.0,0
110143471529,3.0,0
110143573328,2.0,0
110143573726,16.0,32
110143671523,2.0,27
110143673126,1.0,0
110143673723,43.0,1
110143773828,18.0,0
110143873327,3.5,0
110143973128,113.0,0
110144073729,1.0,15
110144273423,92.0,0
110144473820,1.0,60
110144571528,2.0,0
110144573320,1.0,1
110144771520,63.0,0
110144871522,1.0,2
110145073726,10.5,1
110145171520,1.5,0
110145171523,1.0,0
110145173925,120.0,68
110145273626,104.0,0
110145273825,12.5,5
110145273921,3.0,6
110145371229,119.0,24
110145371527,95.0,101
110145373727,82.0,0
110145373920,1.0,0
110145571524,1.0,0
110145573925,10.0,47
110145673427,2.0,25
110145673728,56.5,0
110145773120,11.0,183
110145971222,27.0,0
110145971226,119.0,0
110145971520,1.0,7
110145973123,57.0,8
110146071029,2.0,11
110146073329,1.0,1
110146073827,30.0,1
110146371521,43.5,79
110146473724,44.0,62
110146771220,17.5,22
110146816121,2.25,1
110146971528,17.0,0
110146973827,72.5,21
110147012128,9.0,94
110147012220,99.0,0
110147012420,3.0,36
110147012529,49.0,0
110147014320,68.0,0
110147014329,43.0,0
110147015125,1.0,79
110147016220,58.0,23
110147016421,18.0,84
110147018027,5.0,78
110147018427,27.0,4
110147071526,1.0,0
110147073727,25.33,0
110147073924,2.0,0
110147112720,97.0,12
110147116426,6.0,6
110147116822,7.0,23
110147171225,1.0,65
110147173328,73.0,0
110147210324,5.33,0
110147210822,57.0,19
110147212421,4.0,27
110147212523,1.0,0
110147212729,29.0,86
110147212925,29.0,29
110147214021,7.0,0
110147214029,68.0,0
110147214427,6.0,69
110147215921,1.0,0
110147216221,91.0,23
110147216720,129.0,2
110147216926,2.0,24
110147217120,17.5,10
110147217224,9.0,21
110147217729,44.0,6
110147271220,86.0,0
110147271227,75.0,14
110147271229,60.0,3
110147273922,65.0,9
