userid,actionType1,actionType2,actionType3,actionType4,actionType5,actionType6,actionType7,actionType8,actionType9
100000019507,24,0,0,0,66,23,0,2,0
100000019641,3,2,1,0,4,0,0,0,0
100000019697,3,0,0,0,1,3,0,0,0
100000019829,5,0,0,0,7,5,0,0,0
100000019999,1,0,0,0,7,1,0,1,1
100000020007,16,0,1,0,0,0,0,0,0
100000020017,1,0,0,0,1,1,0,0,0
100000020019,23,0,0,0,48,30,0,0,2
100000020061,28,0,3,0,48,6,3,0,2
100000020213,1,0,0,0,0,0,0,0,0
100000020277,9,0,0,0,9,3,0,1,0
100000020301,10,0,0,0,28,12,0,3,2
100000020393,3,1,3,0,8,5,0,0,0
100000020459,10,6,10,10,20,14,2,1,1
100000020665,9,0,0,0,11,6,0,0,0
100000020745,4,0,0,0,3,3,0,0,0
100000020809,20,0,0,0,47,6,0,1,1
100000020811,45,0,13,1,88,19,0,1,1
100000020907,14,0,0,0,19,10,0,0,0
100000020921,1,0,0,0,1,0,0,0,0
100000020931,1,0,0,0,2,2,0,0,0
100000020995,12,1,7,6,4,3,1,0,0
100000021111,16,5,4,17,22,6,4,3,3
100000021175,5,0,0,0,5,2,0,0,0
100000021395,1,0,0,0,6,3,0,0,0
100000021427,8,0,0,0,9,5,0,1,0
100000021453,8,1,0,0,5,0,0,0,0
100000021457,10,0,0,0,4,4,2,0,0
100000021553,2,0,0,0,5,0,0,0,0
100000021649,1,0,0,0,1,4,0,0,0
100000021659,1,0,0,0,4,9,0,0,0
100000021759,7,0,0,0,16,2,0,13,0
100000021783,8,0,0,0,7,1,1,0,0
100000021809,17,3,1,6,26,26,1,0,0
100000021873,2,0,0,0,3,1,0,0,0
100000022129,23,0,0,0,45,11,0,2,0
100000022335,6,5,5,5,11,3,2,2,2
100000022357,2,0,0,0,4,1,1,0,0
100000022389,10,10,0,4,21,13,0,0,0
100000022417,5,0,0,0,8,5,2,0,1
100000022481,35,0,0,0,8,5,0,2,0
100000022499,21,0,11,19,29,9,3,2,2
100000022571,19,1,2,3,9,8,4,3,3
100000022651,3,0,0,0,0,0,0,0,0
100000022677,6,0,0,0,8,7,1,0,0
100000022761,9,0,0,0,12,4,0,1,0
100000022773,3,0,0,0,2,1,0,0,0
100000022801,10,0,0,0,24,16,0,5,0
100000022841,62,0,0,0,61,29,0,1,0
100000022931,15,3,0,0,18,12,0,2,0
100000022963,10,0,0,0,5,0,0,0,0
100000023051,3,0,0,0,3,3,2,0,0
100000023443,8,0,0,0,1,1,0,0,0
100000023563,21,1,1,2,17,20,1,0,0
100000023659,4,1,0,1,8,7,1,0,0
100000023915,5,0,0,0,5,11,0,1,1
110020371225,7,0,1,3,9,17,0,3,1
110020471524,4,0,0,0,8,8,0,0,0
110020473123,5,1,0,0,6,5,1,0,0
110020671528,6,0,0,0,13,12,2,0,0
110020673328,11,0,0,0,8,12,0,1,1
110020771524,5,2,1,2,13,3,0,0,0
110020773124,46,0,0,0,25,10,0,2,2
110100014168,1,0,0,0,2,1,1,0,0
110100014369,50,8,17,7,32,16,4,3,3
110100014466,34,0,3,1,17,3,1,9,3
110100014563,4,2,0,5,4,4,1,0,0
110100016128,1,0,0,0,4,4,1,0,0
110100016324,0,11,8,18,9,3,9,0,0
110100016628,2,0,0,0,6,4,0,0,0
110100016726,2,1,0,0,4,3,2,0,0
110100016828,11,6,3,4,19,6,2,0,0
110100016928,3,1,28,14,18,7,1,0,0
110100018268,3,0,0,0,6,2,1,0,0
110100018468,9,5,0,3,17,5,2,2,2
110100018567,3,3,0,8,6,5,1,0,0
110100018764,11,0,4,0,2,3,1,1,1
110100033067,8,7,115,16,58,44,3,1,1
110100033863,9,1,8,0,5,4,1,0,0
110100035569,7,5,2,0,5,2,1,0,0
110100035669,0,0,0,0,0,0,3,0,0
110100071228,1,0,0,0,1,2,1,0,0
110100073229,1,1,0,0,1,1,1,0,0
110100073827,3,2,1,2,4,2,2,0,0
110100116024,2,5,1,2,8,3,1,0,0
110100116027,1,0,0,0,2,4,0,0,0
110100116423,0,0,0,0,2,1,2,0,0
110100116425,0,0,0,0,0,0,1,0,0
110100116429,0,0,0,0,3,1,0,0,0
110100116920,1,0,0,0,3,3,0,0,0
110100118262,0,0,0,0,0,0,1,0,0
110100118265,39,27,103,30,46,7,2,0,0
110100118669,27,4,5,3,23,16,3,3,3
110100133065,2,3,1,0,7,3,1,1,1
110100135162,12,1,0,22,31,6,3,2,1
110100135163,2,0,0,0,8,4,0,0,0
110100135560,3,0,1,0,8,6,2,0,0
110100135562,3,2,0,1,14,7,2,0,0
110100135764,4,0,1,0,9,3,1,0,0
110100135767,0,0,0,0,4,1,1,0,0
110100171021,6,4,34,0,32,8,3,5,2
110100171526,13,1,1,1,18,3,1,0,0
110100173725,15,10,3,0,15,8,2,1,1
110100214160,2,0,2,0,7,2,1,0,0
110100214261,0,0,0,0,2,1,1,0,0
110100214263,0,0,0,0,1,1,1,0,0
110100214268,1,0,3,0,6,3,2,0,0
110100214961,1,0,0,0,2,2,1,0,0
110100216329,13,13,61,7,41,11,3,3,4
110100218568,12,4,88,5,39,11,3,1,1
110100218569,4,2,4,7,4,1,1,2,1
110100218662,35,2,1,4,9,1,1,6,4
110100218869,2,3,12,1,9,4,1,0,0
110100218963,4,0,13,6,7,0,1,0,0
110100233064,1,1,4,1,2,1,1,0,0
110100233069,2,0,1,1,8,5,0,0,0
110100235564,2,0,0,0,1,2,0,0,0
110100273222,5,0,0,6,2,2,1,0,0
110100273229,24,21,24,38,44,28,7,2,2
110100273426,4,0,10,6,9,6,1,0,0
110100273825,8,0,3,0,9,6,2,1,1
110100316225,13,4,0,11,24,11,1,0,0
110100316421,3,0,11,0,7,3,3,0,0
110100316423,6,0,0,0,6,3,0,0,0
110100316824,2,0,0,4,2,2,1,0,0
110100316920,16,2,17,16,16,2,1,0,0
110100318867,0,0,0,0,0,0,2,0,0
110100333066,14,1,11,0,10,4,3,2,2
110100333868,5,4,4,5,9,5,2,2,2
110100335060,1,0,0,0,10,3,1,0,0
110100335161,15,4,3,2,19,13,3,8,3
110100335662,1,0,17,5,13,5,1,0,0
110100335665,57,1,1,7,37,19,4,0,1
110100335769,7,0,16,0,20,5,1,0,0
110100371225,1,0,0,0,2,4,1,0,0
110100373124,1,3,3,0,3,2,1,0,0
110100373323,6,6,7,0,7,4,1,0,0
110100373324,2,3,18,2,21,7,0,0,0
110100373526,0,0,0,0,0,0,1,0,0
110100412420,1,0,0,0,1,2,1,0,0
110100416123,14,2,3,18,6,3,1,0,0
110100416221,7,2,0,0,8,6,0,0,0
110100416425,4,0,0,0,5,4,0,1,1
110100418165,2,0,0,0,4,2,1,0,0
110100418369,15,0,2,0,16,6,2,2,1
110100433869,1,0,0,0,2,1,1,0,0
110100435160,3,0,0,0,3,7,1,0,0
110100435463,3,1,1,2,2,1,0,0,0
110100435467,1,0,0,0,1,1,1,0,0
110100435869,0,0,0,0,0,0,1,0,0
110100471025,1,1,0,0,2,2,0,0,0
110100471223,3,4,18,4,13,21,1,0,0
110100471225,11,2,0,6,20,7,1,0,0
110100473027,0,0,0,0,0,0,3,0,0
110100473524,59,11,89,1,9,5,3,2,2
110100473723,3,1,3,7,17,7,1,0,0
110100473728,1,0,0,0,1,1,1,0,0
110100512322,1,0,0,0,2,1,1,0,0
110100512326,8,0,0,0,6,2,1,0,0
110100512625,6,0,2,0,4,5,2,1,1
110100512728,2,0,0,0,3,6,2,0,0
110100514160,2,4,8,13,16,0,1,0,0
110100514164,14,4,8,17,19,7,2,1,1
110100514166,2,0,0,0,2,1,1,0,0
110100514169,3,1,0,0,7,5,2,0,0
110100516026,1,0,0,0,1,1,1,0,2
110100516222,1,0,0,0,2,1,1,0,0
110100516323,1,0,0,0,3,4,2,0,0
110100516524,14,2,0,0,23,8,2,1,1
110100516727,4,4,0,0,5,5,1,0,0
110100516923,2,4,5,4,6,2,0,0,0
110100516927,8,7,18,4,23,12,2,1,1
110100518068,1,0,0,0,2,1,1,0,0
110100518264,20,0,2,0,9,5,2,1,1
110100518265,1,0,0,0,6,4,2,0,0
110100518665,12,1,3,2,10,5,2,1,1
110100533768,7,1,1,6,3,2,2,0,0
110100535060,5,0,0,0,6,1,0,0,0
110100535669,15,0,0,0,14,7,4,3,3
110100535765,7,2,1,0,3,1,1,0,0
110100535968,3,0,0,0,5,2,0,0,0
110100571024,3,0,0,0,6,5,0,0,0
110100571025,1,1,2,2,8,3,1,0,0
110100573022,1,0,0,1,10,4,1,0,0
110100573428,0,0,0,0,0,0,2,0,0
110100573527,9,3,1,0,3,2,2,1,1
110100612321,5,0,1,12,9,8,1,0,0
110100612826,4,4,0,0,5,4,2,0,0
110100614162,0,0,0,0,2,1,1,0,0
110100614260,2,1,1,0,2,3,0,0,0
110100614366,1,0,0,0,4,3,2,0,0
110100614963,5,2,0,1,8,9,1,0,0
110100616528,1,0,0,0,2,3,0,0,0
110100618264,2,1,0,0,9,6,4,0,0
110100618563,2,1,0,0,3,2,1,0,0
110100618567,3,0,5,0,7,7,4,0,0
110100618863,10,3,2,1,8,4,2,1,1
110100618866,1,0,0,0,1,0,0,0,0
110100633765,2,0,0,0,2,2,0,0,0
110100633862,9,1,319,2,18,11,3,6,6
110100635169,3,6,4,10,7,2,0,0,0
110100635261,0,0,0,0,2,2,2,0,0
110100635661,6,0,0,0,4,5,2,2,2
110100635662,13,2,4,0,15,5,1,1,0
110100635766,0,0,0,0,0,0,3,0,0
110100673722,8,6,0,0,10,4,1,0,0
110100712426,4,2,0,0,8,2,1,0,0
110100712727,24,0,8,0,24,9,7,6,5
110100712925,2,4,0,2,5,3,1,0,0
110100716423,2,0,0,0,3,2,1,0,0
110100718167,2,0,0,0,4,1,1,0,0
110100718261,3,0,0,0,2,2,1,0,0
110100718463,0,0,0,0,0,0,1,0,0
110100733761,1,0,0,0,3,2,1,0,0
110100733863,3,1,21,2,5,2,1,0,0
110100735067,3,0,0,0,2,1,1,0,0
110100735363,6,2,0,0,12,3,1,0,0
110100735566,8,3,1,1,5,3,2,1,1
110100735568,26,2,7,0,25,26,1,1,0
110100773026,0,1,0,0,2,1,1,0,0
110100773229,10,1,1,0,10,5,2,1,1
110100773324,3,1,0,0,7,1,1,0,0
110100816124,6,3,0,0,6,3,2,0,0
110100816221,1,0,0,0,3,2,1,0,0
110100816329,4,2,2,0,16,6,1,0,0
110100816527,1,0,0,0,1,1,1,0,0
110100816923,1,2,0,0,4,3,2,0,0
110100818061,6,0,0,0,8,7,1,1,1
110100818564,6,10,2,26,20,7,2,2,2
110100818565,11,4,32,0,10,8,4,2,2
110100818662,5,0,0,0,6,2,1,0,0
110100818965,8,0,0,0,7,3,2,1,1
110100833064,1,0,0,0,2,2,1,0,0
110100833863,2,0,0,0,2,2,0,0,0
110100833868,1,2,1,0,7,2,0,0,0
110100835563,7,1,0,0,8,3,1,1,1
110100835863,15,0,0,0,9,16,4,2,2
110100871523,11,20,44,32,15,7,1,0,0
110100873726,1,1,3,0,1,1,1,0,0
110100873822,5,0,0,0,5,4,0,0,0
110100873924,8,1,0,0,9,6,1,0,0
110100873925,4,2,0,2,6,2,1,0,0
110100873926,5,3,2,0,9,4,2,0,0
110100916925,0,0,0,0,1,1,0,0,0
110100933064,11,3,3,0,13,7,2,0,0
110100933861,13,0,0,0,18,2,0,0,0
110100935065,1,0,0,0,1,1,0,0,0
110100935160,1,1,21,2,17,2,1,0,0
110100935361,2,0,0,0,2,1,1,0,0
110100935364,0,0,0,0,0,0,1,0,0
110100935462,8,0,2,0,15,9,4,1,1
110100935665,0,0,0,0,4,3,0,0,0
110100935666,2,0,0,0,3,2,1,0,0
110100935964,3,0,0,0,7,3,0,0,0
110100935966,5,0,2,1,5,3,1,0,0
110100971224,14,4,17,33,14,4,2,1,1
110100971227,2,2,2,2,4,8,1,0,0
110100973127,2,6,0,0,5,2,0,0,0
110100973223,1,0,0,0,3,5,1,0,0
110100973325,3,1,0,0,13,5,1,0,0
110100973623,0,0,0,0,2,1,1,0,0
110100973626,0,0,0,0,2,2,1,0,0
110100973722,9,15,10,2,3,3,1,0,0
110101012126,8,0,0,0,10,3,0,0,0
110101012127,18,3,3,1,37,24,1,0,0
110101012326,3,0,0,0,6,6,0,0,0
110101012724,1,0,0,0,3,3,0,0,0
110101012725,5,0,0,0,14,13,0,1,1
110101012729,8,0,0,0,6,1,1,0,0
110101014163,11,2,1,0,9,8,0,0,0
110101014169,1,0,0,0,2,2,0,0,0
110101014964,2,0,0,0,4,1,0,0,0
110101016424,4,0,0,0,2,2,0,1,1
110101016425,2,0,0,0,1,1,0,0,0
110101016528,19,0,0,0,4,4,1,1,1
110101016824,26,0,6,1,106,16,1,1,0
110101016826,2,0,0,0,7,5,0,0,0
110101018068,6,0,1,0,3,5,1,0,0
110101018166,3,0,0,0,4,4,0,0,0
110101018266,1,0,0,0,5,3,0,0,0
110101018269,9,0,0,0,6,2,0,1,1
110101018565,11,1,1,0,17,8,2,2,2
110101018666,3,0,0,0,4,1,0,0,0
110101018760,5,0,0,0,4,2,0,0,0
110101018762,4,0,0,0,5,4,0,0,0
110101018767,5,0,0,0,6,2,0,1,1
110101018861,2,0,0,0,1,1,0,0,0
110101018862,15,0,0,0,29,3,0,1,1
110101018966,0,0,0,0,4,4,0,0,0
110101035168,4,0,0,0,5,4,0,0,0
110101035260,1,0,0,0,1,1,0,0,0
110101035367,1,0,0,0,2,2,0,0,0
110101071022,3,0,0,0,3,1,1,0,0
110101071523,1,0,0,0,1,1,0,0,0
110101073020,13,0,0,0,33,15,0,1,1
110101073023,4,0,0,0,8,1,1,0,0
110101073129,6,0,0,0,7,2,0,1,1
110101073221,10,4,0,0,18,4,0,0,0
110101073325,2,0,0,0,5,5,0,0,0
110101073528,6,1,0,0,5,3,1,1,1
110101073823,32,15,27,2,39,6,2,0,0
110101073825,22,0,0,0,27,5,0,0,0
110101073925,9,14,8,5,25,13,0,0,0
110101112421,5,0,0,0,12,3,0,0,0
110101112526,8,0,0,0,9,4,0,0,0
110101112925,1,0,0,0,5,2,0,0,0
110101114263,0,0,0,0,1,1,0,0,0
110101114268,8,0,0,7,11,10,2,0,0
110101114362,10,0,0,0,12,6,0,0,0
110101114365,19,1,5,0,20,13,3,3,3
110101114961,8,0,0,0,13,7,0,0,0
110101116023,3,2,0,0,3,1,1,0,0
110101116426,1,0,0,0,5,1,0,0,0
110101116626,1,0,0,0,2,2,0,0,0
110101118364,10,1,0,0,17,8,0,0,0
110101118462,2,0,0,0,6,4,0,0,0
110101118767,21,0,1,0,14,4,1,3,3
110101118860,29,2,11,1,12,6,5,6,4
110101133862,8,0,0,0,9,6,1,0,0
110101133863,3,0,0,0,2,1,0,0,0
110101135167,6,0,0,0,31,15,0,0,0
110101135461,24,0,3,0,7,2,3,0,0
110101135660,4,0,0,0,6,8,1,0,0
110101135762,29,5,0,16,33,23,3,0,0
110101135862,1,0,0,0,1,2,0,0,0
110101135965,2,0,0,0,2,2,0,0,0
110101173027,4,0,0,0,5,5,1,0,0
110101173122,9,0,0,0,6,0,0,0,0
110101173321,8,2,0,0,5,4,0,1,1
110101173324,27,0,0,0,46,26,4,2,2
110101173327,2,0,0,0,10,3,2,0,0
110101173728,14,0,0,0,14,3,1,4,3
110101173822,5,0,0,0,4,3,0,0,0
110101210025,20,0,0,0,27,22,3,1,1
110101210169,59,1,12,0,61,42,2,1,1
110101210260,0,0,0,0,1,1,0,0,0
110101210262,7,0,0,0,8,4,0,0,0
110101210461,43,0,14,0,26,8,3,3,3
110101210462,4,0,0,0,4,5,0,0,0
110101210469,5,0,0,0,2,1,0,0,0
110101210620,3,0,0,0,5,3,0,0,0
110101210621,2,0,0,0,2,3,1,0,0
110101210722,2,0,0,0,4,1,0,0,0
110101210926,5,0,0,0,6,5,0,0,0
110101210967,2,0,0,0,1,1,0,0,0
110101212129,80,4,0,11,168,72,0,0,2
110101212165,2,0,0,0,5,4,0,0,0
110101212225,14,8,0,6,14,6,1,0,0
110101212324,13,0,0,0,8,7,0,0,0
110101212327,3,0,0,0,6,1,0,0,0
110101212364,2,0,0,0,6,3,0,0,0
110101212423,7,0,0,0,28,6,0,0,0
110101212462,7,2,1,1,13,4,1,0,0
