userid,firstType,daoshuType1,daoshuType2,daoshuType3
100000006013,1,7,6.0,5.0
100000006081,1,7,6.0,5.0
100000006123,1,5,1.0,5.0
100000006395,1,7,6.0,5.0
100000006487,1,1,1.0,1.0
100000006539,1,6,5.0,6.0
100000006569,1,6,5.0,5.0
100000006605,1,7,5.0,6.0
100000006647,1,6,5.0,1.0
100000006857,1,1,5.0,6.0
100000006933,1,6,5.0,5.0
100000006981,1,6,6.0,5.0
100000007073,1,6,5.0,6.0
100000007079,1,7,6.0,5.0
100000007283,1,6,5.0,5.0
100000007329,1,6,5.0,1.0
100000007367,5,5,5.0,
100000007409,1,3,3.0,2.0
100000007457,1,1,6.0,5.0
100000007533,1,6,5.0,1.0
100000007609,1,1,1.0,1.0
100000007639,1,1,1.0,1.0
100000007745,7,7,,
100000007753,1,6,5.0,5.0
100000007785,5,1,1.0,2.0
100000008119,1,6,5.0,1.0
100000008253,1,7,6.0,6.0
100000008425,7,7,6.0,5.0
100000008481,1,6,5.0,5.0
100000008483,1,6,5.0,5.0
100000008529,1,1,1.0,1.0
100000008565,1,1,1.0,1.0
100000008995,1,7,6.0,5.0
100000009017,1,6,5.0,2.0
100000009249,1,6,6.0,5.0
100000009417,1,5,1.0,5.0
100000009463,1,6,6.0,5.0
100000009481,1,6,6.0,6.0
100000009491,1,7,6.0,5.0
100000009583,5,5,5.0,6.0
100000009611,1,6,5.0,5.0
100000009743,1,6,5.0,3.0
100000009771,1,1,1.0,
100000009773,1,7,6.0,5.0
100000009807,5,5,1.0,1.0
100000009925,5,7,6.0,5.0
100000010101,1,7,6.0,5.0
100000010161,1,6,5.0,9.0
100000010177,1,1,1.0,1.0
100000010199,1,7,6.0,5.0
100000010239,1,1,1.0,1.0
100000010247,1,5,1.0,1.0
100000010249,1,6,6.0,6.0
100000010279,1,6,5.0,5.0
100000010287,1,5,4.0,5.0
100000010293,1,6,5.0,1.0
100000010297,1,6,5.0,5.0
100000011105,1,5,1.0,1.0
100000011131,1,6,5.0,5.0
100000011325,1,6,6.0,6.0
100000011427,1,5,1.0,1.0
100000011573,1,1,1.0,7.0
100000011591,1,6,6.0,5.0
100000011653,1,1,1.0,1.0
100000011741,1,3,1.0,6.0
100000011755,1,6,6.0,6.0
100000011763,1,7,6.0,5.0
100000011845,1,5,5.0,1.0
100000011933,1,6,5.0,1.0
100000012027,1,1,1.0,1.0
100000012133,1,1,6.0,6.0
100000012137,1,2,4.0,5.0
100000012213,1,6,5.0,6.0
100000012219,1,6,6.0,5.0
100000012235,1,1,1.0,1.0
100000012277,1,6,5.0,1.0
100000012341,1,7,6.0,5.0
100000012367,1,6,5.0,1.0
100000012405,1,6,5.0,1.0
100000012441,1,6,5.0,1.0
100000012507,1,1,1.0,1.0
100000012713,1,1,1.0,1.0
100000012715,1,6,6.0,5.0
100000012717,1,6,5.0,5.0
100000012719,1,6,5.0,5.0
100000012793,5,6,6.0,5.0
100000012867,1,6,5.0,1.0
100000012885,1,5,1.0,1.0
100000012889,6,7,6.0,6.0
100000012931,1,7,6.0,5.0
100000012965,1,7,6.0,6.0
100000012981,1,5,6.0,6.0
100000013027,1,1,5.0,5.0
100000013381,1,6,5.0,5.0
100000013429,1,6,5.0,1.0
100000013461,5,8,5.0,5.0
100000013471,1,7,6.0,6.0
100000013499,1,6,5.0,1.0
100000013669,1,5,5.0,5.0
100000013673,7,7,6.0,5.0
100000013837,1,6,5.0,5.0
100000013965,1,6,5.0,6.0
100000014029,1,6,5.0,1.0
100000014143,5,6,5.0,1.0
100000014259,1,6,5.0,5.0
100000014271,1,7,6.0,5.0
100000014311,1,1,1.0,3.0
100000014315,1,7,6.0,6.0
100000014383,1,6,5.0,5.0
100000014421,1,7,6.0,6.0
100000014423,5,6,5.0,1.0
100000014449,1,5,1.0,1.0
100000014641,1,1,1.0,1.0
100000014679,1,6,5.0,5.0
100000014745,1,1,1.0,1.0
100000014865,3,1,1.0,1.0
100000014899,1,3,1.0,1.0
100000014949,5,7,6.0,5.0
100000014973,1,6,5.0,5.0
100000014981,5,6,5.0,5.0
100000015043,1,6,6.0,5.0
100000015129,1,6,5.0,6.0
100000015145,1,6,5.0,5.0
100000015153,1,1,5.0,1.0
100000015213,6,1,1.0,1.0
100000015223,1,6,5.0,6.0
100000015275,1,1,8.0,1.0
100000015433,1,6,5.0,1.0
100000015475,5,5,5.0,5.0
100000015747,5,2,5.0,1.0
100000015791,1,6,5.0,1.0
100000015969,1,6,5.0,6.0
100000016009,1,6,5.0,1.0
100000016197,1,5,5.0,6.0
100000016219,5,1,5.0,5.0
100000016265,9,7,6.0,5.0
100000016341,1,7,6.0,5.0
100000016351,5,7,6.0,5.0
100000016391,5,6,6.0,5.0
100000016831,1,6,5.0,7.0
100000016845,1,1,1.0,5.0
100000016861,1,7,6.0,5.0
100000016987,1,1,1.0,6.0
100000017177,1,6,6.0,6.0
100000017277,5,7,6.0,6.0
100000017281,1,6,5.0,5.0
100000017345,1,1,1.0,1.0
100000017367,1,1,1.0,6.0
100000017465,5,7,6.0,5.0
100000017469,1,1,1.0,1.0
100000017505,1,5,1.0,5.0
100000017691,1,6,5.0,1.0
100000017693,1,5,6.0,5.0
100000017965,1,1,,
100000018097,1,6,5.0,5.0
100000018117,1,6,6.0,5.0
100000018123,5,5,5.0,5.0
100000018259,1,6,5.0,1.0
100000018413,1,2,3.0,3.0
100000018417,1,1,5.0,1.0
100000018629,1,7,5.0,4.0
100000018905,1,7,6.0,5.0
100000018941,1,5,1.0,1.0
100000018979,1,7,6.0,5.0
100000019251,5,6,5.0,5.0
100000019375,1,5,5.0,5.0
100000019379,1,1,1.0,5.0
100000019487,1,6,5.0,6.0
100000019489,1,6,5.0,6.0
100000019507,5,6,5.0,5.0
100000019641,1,1,2.0,3.0
100000019697,1,1,1.0,6.0
100000019829,1,1,5.0,6.0
100000019999,1,5,5.0,5.0
100000020007,1,1,3.0,1.0
100000020017,1,6,5.0,1.0
100000020019,9,6,6.0,5.0
100000020061,1,7,6.0,5.0
100000020213,1,1,,
100000020277,1,6,5.0,1.0
100000020301,1,6,5.0,5.0
100000020393,1,6,5.0,3.0
100000020459,1,6,5.0,4.0
100000020665,1,6,5.0,1.0
100000020745,1,6,5.0,1.0
100000020809,1,6,5.0,5.0
100000020811,5,6,5.0,5.0
100000020907,1,6,5.0,6.0
100000020921,1,5,1.0,
100000020931,1,6,6.0,5.0
100000020995,1,7,6.0,5.0
100000021111,1,7,6.0,5.0
100000021175,1,1,6.0,5.0
100000021395,1,6,5.0,5.0
100000021427,1,6,5.0,5.0
100000021453,1,1,5.0,5.0
100000021457,1,7,6.0,5.0
100000021553,5,1,5.0,5.0
100000021649,1,6,6.0,6.0
100000021659,1,5,6.0,6.0
100000021759,5,6,5.0,5.0
100000021783,1,7,6.0,5.0
100000021809,1,7,6.0,5.0
100000021873,1,6,5.0,5.0
100000022129,5,5,5.0,1.0
100000022335,1,6,5.0,2.0
100000022357,1,7,6.0,5.0
100000022389,1,6,6.0,5.0
100000022417,1,6,5.0,5.0
100000022481,1,6,5.0,1.0
100000022499,1,7,6.0,5.0
100000022571,1,7,6.0,6.0
100000022651,1,1,1.0,1.0
100000022677,1,6,6.0,6.0
100000022761,1,6,5.0,5.0
100000022773,1,6,5.0,1.0
100000022801,1,5,5.0,5.0
100000022841,5,1,1.0,1.0
100000022931,1,6,5.0,6.0
100000022963,1,5,1.0,5.0
100000023051,1,7,6.0,5.0
100000023443,1,6,5.0,1.0
100000023563,1,6,5.0,1.0
100000023659,1,7,6.0,5.0
100000023915,1,1,1.0,9.0
110020371225,1,4,4.0,4.0
110020471524,5,6,5.0,5.0
110020473123,1,6,5.0,1.0
110020671528,1,7,6.0,5.0
110020673328,1,6,5.0,6.0
110020771524,1,1,5.0,1.0
110020773124,1,6,5.0,5.0
110100014168,1,7,6.0,5.0
110100014369,1,6,5.0,1.0
110100014466,1,1,1.0,1.0
110100014563,5,7,6.0,6.0
110100016128,1,7,6.0,5.0
110100016324,7,7,5.0,4.0
110100016628,5,6,5.0,5.0
110100016726,1,7,6.0,5.0
110100016828,1,7,6.0,5.0
110100016928,1,7,6.0,5.0
110100018268,1,7,6.0,6.0
110100018468,1,6,5.0,5.0
110100018567,1,7,6.0,6.0
110100018764,1,1,1.0,1.0
110100033067,1,7,6.0,6.0
110100033863,1,7,6.0,5.0
110100035569,1,7,6.0,6.0
110100035669,7,7,7.0,7.0
110100071228,1,7,6.0,6.0
110100073229,1,7,6.0,5.0
110100073827,1,7,6.0,5.0
110100116024,1,7,6.0,6.0
110100116027,1,6,6.0,6.0
110100116423,5,7,7.0,6.0
110100116425,7,7,,
110100116429,5,6,5.0,5.0
110100116920,1,6,6.0,5.0
110100118262,7,7,,
110100118265,1,3,1.0,1.0
110100118669,1,7,6.0,5.0
110100133065,1,1,9.0,8.0
110100135162,1,7,6.0,6.0
110100135163,1,6,5.0,5.0
110100135560,1,7,6.0,5.0
110100135562,1,7,6.0,5.0
110100135764,1,7,6.0,6.0
110100135767,5,7,6.0,5.0
110100171021,1,7,6.0,5.0
110100171526,1,7,6.0,5.0
110100173725,1,7,6.0,6.0
110100214160,3,7,6.0,5.0
110100214261,5,7,6.0,5.0
110100214263,5,7,6.0,5.0
110100214268,5,7,6.0,5.0
110100214961,1,7,6.0,6.0
110100216329,1,1,1.0,1.0
110100218568,1,7,6.0,5.0
110100218569,1,1,1.0,3.0
110100218662,1,6,5.0,5.0
110100218869,1,7,6.0,5.0
110100218963,1,7,5.0,4.0
110100233064,1,7,6.0,5.0
110100233069,1,6,5.0,5.0
110100235564,1,6,6.0,5.0
110100273222,1,7,6.0,5.0
110100273229,1,7,6.0,5.0
110100273426,4,6,5.0,1.0
110100273825,5,7,6.0,5.0
110100316225,1,4,5.0,5.0
110100316421,1,7,6.0,5.0
110100316423,1,6,5.0,1.0
110100316824,1,7,6.0,5.0
110100316920,1,1,6.0,5.0
110100318867,7,7,7.0,
110100333066,1,7,6.0,5.0
110100333868,1,6,5.0,5.0
110100335060,1,6,5.0,5.0
110100335161,1,6,5.0,6.0
110100335662,1,7,6.0,6.0
110100335665,1,7,6.0,5.0
110100335769,1,7,6.0,5.0
110100371225,1,7,6.0,5.0
110100373124,1,7,6.0,5.0
110100373323,1,7,6.0,5.0
110100373324,1,6,5.0,3.0
110100373526,7,7,,
110100412420,1,7,6.0,6.0
110100416123,1,7,6.0,5.0
110100416221,1,6,5.0,5.0
110100416425,1,6,6.0,5.0
110100418165,1,7,6.0,5.0
110100418369,1,7,6.0,6.0
110100433869,1,7,6.0,5.0
110100435160,1,7,6.0,5.0
110100435463,1,6,5.0,5.0
110100435467,1,7,6.0,5.0
110100435869,7,7,,
110100471025,1,6,6.0,5.0
110100471223,1,6,6.0,6.0
110100471225,1,6,5.0,1.0
110100473027,7,7,7.0,7.0
110100473524,7,6,5.0,3.0
110100473723,1,7,5.0,5.0
110100473728,1,7,6.0,5.0
110100512322,1,7,6.0,5.0
110100512326,1,7,6.0,5.0
110100512625,1,7,6.0,5.0
110100512728,1,7,6.0,6.0
110100514160,1,4,5.0,4.0
110100514164,1,7,6.0,5.0
110100514166,1,5,1.0,7.0
110100514169,1,7,6.0,5.0
110100516026,9,7,6.0,5.0
110100516222,1,7,6.0,5.0
110100516323,1,7,6.0,5.0
110100516524,1,6,6.0,5.0
110100516727,1,6,6.0,5.0
110100516923,1,6,5.0,1.0
110100516927,1,7,6.0,6.0
110100518068,1,7,6.0,5.0
110100518264,1,7,6.0,6.0
110100518265,1,6,5.0,7.0
110100518665,5,7,6.0,6.0
110100533768,1,1,1.0,4.0
110100535060,1,6,5.0,5.0
110100535669,6,7,6.0,5.0
110100535765,1,7,6.0,5.0
110100535968,1,6,5.0,1.0
110100571024,5,6,5.0,1.0
110100571025,1,7,6.0,5.0
110100573022,1,5,5.0,5.0
110100573428,7,7,7.0,
110100573527,1,7,6.0,5.0
110100612321,1,7,6.0,6.0
110100612826,1,7,6.0,5.0
110100614162,5,7,6.0,5.0
110100614260,1,6,6.0,5.0
110100614366,5,7,6.0,5.0
110100614963,1,5,5.0,1.0
110100616528,1,6,5.0,6.0
110100618264,1,6,5.0,7.0
110100618563,1,7,6.0,5.0
110100618567,1,7,6.0,5.0
110100618863,1,6,5.0,1.0
110100618866,1,5,1.0,
110100633765,1,6,5.0,1.0
110100633862,1,6,5.0,6.0
110100635169,1,5,4.0,4.0
110100635261,6,7,6.0,5.0
110100635661,1,6,5.0,1.0
110100635662,1,5,5.0,1.0
110100635766,7,7,7.0,7.0
110100673722,1,6,5.0,5.0
110100712426,5,7,6.0,5.0
110100712727,1,7,6.0,5.0
110100712925,2,7,6.0,5.0
110100716423,1,1,7.0,6.0
110100718167,5,5,1.0,5.0
110100718261,1,7,6.0,6.0
110100718463,7,7,,
110100733761,1,7,6.0,6.0
110100733863,1,7,6.0,5.0
110100735067,1,7,6.0,5.0
110100735363,1,7,6.0,6.0
110100735566,1,7,6.0,5.0
110100735568,1,3,3.0,6.0
110100773026,2,7,6.0,5.0
110100773229,1,7,6.0,5.0
110100773324,1,7,6.0,5.0
110100816124,1,7,2.0,6.0
110100816221,1,6,5.0,7.0
110100816329,5,7,6.0,5.0
110100816527,1,7,6.0,5.0
110100816923,1,7,6.0,5.0
110100818061,1,5,6.0,5.0
110100818564,1,5,4.0,4.0
110100818565,1,7,6.0,5.0
110100818662,1,5,1.0,1.0
110100818965,1,7,6.0,5.0
110100833064,1,7,6.0,6.0
110100833863,1,6,6.0,5.0
110100833868,1,6,5.0,5.0
110100835563,1,5,1.0,5.0
110100835863,1,7,6.0,5.0
110100871523,1,7,6.0,5.0
110100873726,1,7,6.0,5.0
110100873822,1,6,6.0,5.0
110100873924,1,7,6.0,5.0
110100873925,1,7,6.0,5.0
110100873926,1,7,6.0,5.0
110100916925,5,6,5.0,
110100933064,1,7,7.0,6.0
110100933861,1,6,5.0,5.0
110100935065,1,6,5.0,1.0
110100935160,1,7,6.0,5.0
110100935361,1,7,6.0,5.0
110100935364,7,7,,
110100935462,1,7,6.0,5.0
110100935665,5,6,6.0,5.0
110100935666,1,7,6.0,6.0
110100935964,1,6,5.0,5.0
110100935966,1,7,6.0,5.0
110100971224,1,4,4.0,1.0
110100971227,1,7,6.0,5.0
110100973127,1,6,5.0,2.0
110100973223,1,7,6.0,5.0
110100973325,1,7,6.0,5.0
110100973623,5,7,6.0,5.0
110100973626,5,7,6.0,5.0
110100973722,1,7,6.0,5.0
110101012126,1,6,5.0,1.0
110101012127,5,7,5.0,5.0
110101012326,1,6,5.0,5.0
110101012724,1,6,5.0,5.0
110101012725,1,6,5.0,6.0
110101012729,1,7,6.0,5.0
110101014163,1,6,5.0,5.0
110101014169,1,6,6.0,5.0
110101014964,1,6,5.0,5.0
110101016424,6,6,5.0,1.0
110101016425,1,6,5.0,1.0
110101016528,1,7,6.0,5.0
110101016824,1,7,6.0,5.0
110101016826,1,6,6.0,6.0
110101018068,1,7,6.0,5.0
110101018166,1,6,5.0,6.0
110101018266,1,6,5.0,6.0
110101018269,1,6,5.0,5.0
110101018565,1,7,6.0,5.0
110101018666,1,6,5.0,5.0
110101018760,5,6,5.0,1.0
110101018762,1,1,1.0,5.0
110101018767,1,1,9.0,8.0
110101018861,1,6,5.0,1.0
110101018862,1,6,5.0,5.0
110101018966,5,6,6.0,5.0
110101035168,1,6,5.0,6.0
110101035260,1,6,5.0,1.0
110101035367,1,6,5.0,6.0
110101071022,1,7,6.0,5.0
110101071523,1,6,5.0,1.0
110101073020,1,6,5.0,5.0
110101073023,1,7,6.0,5.0
110101073129,1,6,5.0,1.0
110101073221,1,6,5.0,5.0
110101073325,1,6,5.0,5.0
110101073528,1,6,5.0,6.0
110101073823,1,7,6.0,5.0
110101073825,1,5,5.0,1.0
110101073925,1,6,5.0,2.0
110101112421,1,6,5.0,1.0
110101112526,1,6,6.0,5.0
110101112925,1,6,5.0,5.0
110101114263,5,6,5.0,
110101114268,1,7,6.0,5.0
110101114362,1,6,5.0,1.0
110101114365,1,6,5.0,1.0
110101114961,1,1,1.0,5.0
110101116023,1,7,6.0,5.0
110101116426,1,6,5.0,5.0
110101116626,1,6,6.0,5.0
110101118364,1,1,5.0,2.0
110101118462,1,6,5.0,5.0
110101118767,1,6,5.0,5.0
110101118860,1,7,6.0,5.0
110101133862,1,7,6.0,5.0
110101133863,1,6,5.0,5.0
110101135167,1,6,5.0,5.0
110101135461,1,7,6.0,5.0
110101135660,1,7,6.0,5.0
110101135762,1,7,6.0,5.0
110101135862,1,6,6.0,5.0
110101135965,1,6,5.0,1.0
110101173027,1,7,6.0,5.0
110101173122,1,1,1.0,1.0
110101173321,5,6,5.0,2.0
110101173324,1,6,5.0,5.0
110101173327,1,7,6.0,5.0
110101173728,1,7,6.0,5.0
110101173822,1,6,5.0,1.0
110101210025,1,7,6.0,5.0
110101210169,1,7,6.0,5.0
110101210260,5,6,5.0,
110101210262,1,1,6.0,5.0
110101210461,1,7,6.0,5.0
110101210462,1,6,5.0,1.0
110101210469,1,6,5.0,5.0
110101210620,1,6,5.0,5.0
110101210621,1,7,6.0,5.0
110101210722,1,6,5.0,5.0
110101210926,1,6,5.0,1.0
110101210967,1,6,5.0,1.0
110101212129,1,1,1.0,1.0
110101212165,1,6,5.0,6.0
110101212225,5,7,5.0,5.0
110101212324,1,6,5.0,1.0
110101212327,1,6,5.0,5.0
110101212364,1,6,5.0,6.0
110101212423,1,5,6.0,5.0
110101212462,1,7,6.0,6.0
110101212561,1,7,5.0,1.0
110101212568,1,7,6.0,5.0
110101212760,1,5,5.0,1.0
110101212820,1,5,5.0,4.0
110101212921,1,6,6.0,6.0
110101212927,1,7,6.0,5.0
110101212928,1,6,5.0,5.0
110101212961,1,5,5.0,1.0
110101214060,1,6,5.0,6.0
110101214464,1,6,5.0,5.0
110101214466,1,1,9.0,8.0
110101214769,1,6,5.0,6.0
110101214861,1,1,1.0,1.0
110101215320,1,7,6.0,5.0
110101216027,1,5,5.0,1.0
110101216163,1,6,5.0,6.0
110101216425,1,6,5.0,6.0
110101216521,1,7,6.0,5.0
110101216522,1,5,5.0,1.0
110101216524,1,5,1.0,1.0
110101216529,1,6,5.0,5.0
110101216628,1,6,5.0,5.0
110101217229,1,6,5.0,5.0
110101217422,1,6,5.0,1.0
110101217621,1,7,6.0,6.0
110101217825,1,6,5.0,5.0
110101218660,1,6,5.0,6.0
110101218664,1,6,5.0,5.0
110101218668,1,6,5.0,5.0
110101218766,1,7,6.0,5.0
110101218863,1,5,1.0,5.0
110101233068,1,6,5.0,1.0
110101235060,1,6,6.0,6.0
110101235165,1,7,6.0,5.0
110101235269,1,6,6.0,6.0
110101235363,1,6,5.0,5.0
110101235662,1,6,5.0,1.0
110101235761,1,6,5.0,5.0
110101235962,1,6,5.0,5.0
110101235965,1,6,5.0,1.0
110101235966,1,6,5.0,1.0
110101271227,1,6,6.0,5.0
110101273028,1,6,5.0,5.0
110101273329,1,6,5.0,1.0
110101273429,1,1,1.0,1.0
110101273529,1,6,5.0,6.0
110101273620,1,7,6.0,5.0
110101273722,1,5,6.0,5.0
110101273922,1,7,6.0,5.0
110101312127,1,6,5.0,5.0
110101312427,5,6,5.0,1.0
110101312428,1,7,6.0,6.0
110101312724,5,1,1.0,1.0
110101312728,1,6,6.0,5.0
110101312828,5,6,5.0,5.0
110101314168,1,6,5.0,5.0
110101314366,1,5,1.0,5.0
110101314368,1,7,6.0,5.0
110101314469,1,1,1.0,1.0
110101314964,1,6,6.0,5.0
110101316220,5,5,1.0,1.0
110101316229,1,1,5.0,1.0
110101316423,5,6,5.0,1.0
110101316427,1,7,6.0,5.0
110101316627,1,6,6.0,5.0
110101316720,1,7,6.0,5.0
110101316729,1,6,5.0,5.0
110101316927,1,6,5.0,5.0
110101318160,1,1,5.0,5.0
110101318163,1,6,5.0,1.0
110101318266,1,6,5.0,1.0
110101318465,5,6,5.0,5.0
110101318665,1,6,5.0,1.0
110101333767,1,6,5.0,6.0
110101335266,1,6,5.0,1.0
110101335269,1,6,5.0,5.0
110101335362,1,1,1.0,1.0
110101335462,1,6,5.0,6.0
110101335667,5,6,5.0,5.0
110101335867,1,6,6.0,5.0
110101335968,1,6,5.0,5.0
110101373028,1,6,5.0,5.0
110101373220,1,7,6.0,6.0
110101373225,5,6,5.0,5.0
110101373227,1,1,1.0,5.0
110101373524,1,6,5.0,1.0
110101373529,1,6,5.0,5.0
110101373824,5,7,6.0,5.0
110101410222,1,1,6.0,5.0
110101410323,1,6,5.0,6.0
110101410529,1,6,5.0,5.0
110101410726,1,7,6.0,5.0
110101410826,1,6,5.0,5.0
110101410923,1,6,6.0,5.0
110101412525,1,6,5.0,5.0
110101412527,1,6,5.0,5.0
110101412620,1,6,5.0,1.0
110101412724,1,6,5.0,1.0
110101412728,1,6,5.0,1.0
110101412929,1,6,5.0,5.0
110101414569,6,6,5.0,5.0
110101416028,1,6,5.0,6.0
110101416126,1,6,6.0,5.0
110101416320,9,6,5.0,5.0
110101416621,1,1,6.0,5.0
110101416721,1,6,5.0,5.0
110101416823,1,6,5.0,5.0
110101416924,5,6,5.0,6.0
110101416927,1,6,6.0,6.0
110101418261,1,6,6.0,5.0
110101418562,1,6,5.0,5.0
110101418567,1,6,5.0,5.0
110101418660,1,6,5.0,6.0
110101418968,1,6,5.0,6.0
110101435069,1,6,5.0,5.0
110101435464,1,6,5.0,5.0
110101435960,1,6,5.0,5.0
110101471028,1,6,5.0,1.0
110101471220,1,6,5.0,5.0
110101471522,1,1,1.0,1.0
110101473121,1,7,6.0,5.0
110101473124,1,6,5.0,2.0
110101473127,1,6,5.0,1.0
110101473429,1,6,5.0,5.0
110101473723,1,6,5.0,5.0
110101510262,1,6,6.0,5.0
110101512120,1,6,5.0,5.0
110101512121,1,5,1.0,5.0
110101512129,5,6,5.0,6.0
110101512321,1,6,6.0,5.0
110101512325,1,6,5.0,6.0
110101512727,1,9,8.0,9.0
110101512927,1,6,5.0,1.0
110101514162,1,6,5.0,6.0
110101514165,1,6,5.0,1.0
110101514562,6,6,5.0,6.0
110101514861,1,7,6.0,5.0
110101516029,1,5,5.0,5.0
110101516321,1,7,6.0,5.0
110101516326,1,6,5.0,7.0
110101516521,5,6,5.0,5.0
110101516623,5,6,5.0,5.0
110101516627,1,6,6.0,5.0
110101516728,1,6,5.0,5.0
110101516823,5,6,5.0,1.0
110101518268,1,7,6.0,5.0
110101518464,5,6,6.0,5.0
110101518562,1,6,5.0,1.0
110101518665,1,6,5.0,5.0
110101518767,1,7,6.0,5.0
110101518966,1,6,5.0,5.0
110101533062,1,1,1.0,5.0
110101533769,1,6,5.0,5.0
110101533865,1,6,5.0,5.0
110101535067,1,6,6.0,6.0
110101535368,1,7,6.0,5.0
110101535567,1,6,5.0,1.0
110101535662,1,6,5.0,1.0
110101535960,1,6,5.0,6.0
110101535969,1,6,6.0,5.0
110101571222,1,6,5.0,1.0
110101571227,1,6,6.0,6.0
110101571523,1,7,6.0,5.0
110101571527,1,6,5.0,1.0
110101573228,1,6,5.0,1.0
110101573520,5,7,6.0,5.0
110101573629,1,7,6.0,5.0
110101573822,1,7,6.0,5.0
110101573825,1,1,6.0,5.0
110101573827,1,6,5.0,5.0
110101573924,1,6,5.0,5.0
110101610020,1,1,1.0,1.0
110101610267,1,6,5.0,1.0
110101610321,1,6,5.0,5.0
110101610464,1,6,5.0,6.0
110101610529,1,6,5.0,5.0
110101610623,1,7,6.0,6.0
110101610722,6,6,5.0,1.0
110101610725,1,7,6.0,5.0
110101610924,1,6,5.0,1.0
110101612223,1,7,6.0,5.0
110101612260,1,6,5.0,6.0
110101612328,1,6,5.0,5.0
110101612362,1,1,1.0,1.0
110101612364,1,7,6.0,5.0
110101612421,1,6,5.0,5.0
110101612424,5,6,6.0,6.0
110101612425,1,7,6.0,5.0
110101612427,1,1,1.0,3.0
110101612464,1,5,5.0,5.0
110101612622,5,6,5.0,5.0
110101612760,5,7,6.0,5.0
110101612767,1,6,5.0,3.0
110101612962,1,6,5.0,5.0
110101612966,1,6,5.0,1.0
110101614127,1,1,1.0,1.0
110101614364,1,1,1.0,1.0
110101614761,1,5,5.0,5.0
110101614762,1,1,7.0,6.0
110101615029,1,6,6.0,5.0
110101615429,1,6,5.0,1.0
110101615825,1,6,5.0,5.0
110101615827,1,7,6.0,5.0
110101616060,5,6,6.0,5.0
110101616063,1,6,5.0,1.0
110101616128,1,7,6.0,6.0
110101616129,1,1,1.0,1.0
110101616262,1,5,1.0,5.0
110101616264,1,6,5.0,1.0
110101616321,1,5,5.0,1.0
110101616329,1,6,5.0,5.0
110101616464,1,6,5.0,5.0
110101616522,1,7,6.0,5.0
110101616528,1,6,5.0,5.0
110101616563,1,5,5.0,5.0
110101616565,1,6,5.0,1.0
110101616663,1,6,5.0,5.0
110101616721,1,6,5.0,6.0
110101616828,1,7,6.0,5.0
110101617025,1,7,6.0,5.0
110101617428,1,6,5.0,1.0
110101617728,1,6,5.0,5.0
