userid,interval_mean,interval_var,interval_min,interval_lastvale1,interval_lastvale2,interval_lastvale3,interval_lastvale4,interval_last3_mean,interval_last3_var,first_interval
100000008253,460697.45,2101580937371.27,4.0,675.0,552.0,34.0,78.0,420.33,77148.22,558712.0
100000008425,35967.02,67351348143.78,2.0,376.0,16.0,4.0,10.0,132.0,29792.0,109807.0
100000008481,306480.11,561223064958.69,8.0,184.0,100.0,8.0,2505353.0,97.33,5166.22,14.0
100000008483,446817.0,4503699755591.66,3.0,43.0,3.0,11.0,76449.0,19.0,298.67,130.0
100000008529,35905.4,8029349203.82,1.0,136208.0,51012.0,80108.0,1177.0,89109.33,1250238403.56,482.0
100000008565,1518068.21,8303839297738.31,3.0,1215745.0,4135878.0,92135.0,170993.0,1814586.0,2904614846648.67,9.0
100000008995,25562.18,25316934830.18,2.0,342.0,60.0,2.0,7.0,134.67,22054.22,1636058.0
100000009017,418911.68,1014184031623.13,4.0,16.0,84668.0,28.0,62.0,28237.33,1592210094.22,2455327.0
100000009249,250408.48,178025833074.06,2.0,209.0,65.0,1474360.0,1259733.0,491544.67,482962993173.56,8.0
100000009417,45115.0,8456313151.52,23.0,85890.0,86456.0,113.0,86295.0,57486.33,1645903081.56,80633.0
100000009463,8369.56,678699311.46,1.0,41.0,47.0,1.0,4.0,29.67,416.89,48.0
100000009481,130464.48,305885015098.6,6.0,18.0,99.0,18.0,12.0,45.0,1458.0,11.0
100000009491,304342.74,489371285202.4,8.0,126.0,29.0,8.0,200887.0,54.33,2641.56,813.0
100000009583,100445.0,50407628040.0,2.0,2.0,602479.0,34.0,37.0,200838.33,80657612730.89,86.0
100000009611,227930.13,1016371885515.72,1.0,64.0,4.0,2.0,53.0,23.33,827.56,22.0
100000009743,89179.03,122735394207.45,1.0,1847.0,8.0,5985.0,214924.0,2613.33,6247721.56,613.0
100000009771,,,1564299.0,1564299.0,,,,,,1564299.0
100000009773,178371.84,391001084099.61,4.0,279.0,25.0,7.0,16.0,103.67,15424.89,34.0
100000009807,497412.52,2087272295582.34,4.0,12.0,35.0,1821657.0,9.0,607234.67,737410801937.56,97.0
100000009925,202479.47,639887340199.87,2.0,135.0,28.0,159.0,11471.0,107.33,3242.89,287.0
100000010101,180718.97,234873186564.59,4.0,297.0,14.0,65.0,8.0,125.33,15168.22,5.0
100000010161,294577.55,829126035805.04,1.0,49.0,664100.0,15.0,10.0,221388.0,97996957664.67,280.0
100000010177,5182.14,1691024049.42,1.0,348.0,64.0,42.0,106.0,151.33,19419.56,966.0
100000010199,87967.86,77899694526.03,1.0,50.0,10.0,8.0,56.0,22.67,374.22,22.0
100000010239,1505379.0,38114185226937.22,3.0,26959976.0,49735.0,5044.0,19.0,9004918.33,161192380787576.22,6.0
100000010247,934824.28,13106332121050.87,22.0,105.0,15858068.0,42607.0,44991.0,5300260.0,55733955952432.66,22.0
100000010249,260284.8,1366907858875.76,2.0,76.0,52.0,20.0,7.0,49.33,526.22,63.0
100000010279,679406.76,4778403346666.75,5.0,23.0,731.0,12.0,81935.0,255.33,113149.56,175.0
100000010287,106841.63,318546734921.03,3.0,8.0,13.0,3.0,14.0,8.0,16.67,1296.0
100000010293,17107.6,1149126887.84,49.0,153.0,49.0,84905.0,273.0,28369.0,1598161450.67,158.0
100000010297,33.25,1466.44,1.0,35.0,1.0,2.0,13.0,12.67,249.56,71.0
100000011105,1983251.78,31022793062960.84,7.0,14.0,9236.0,102966.0,67.0,37405.33,2163274720.89,8.0
100000011131,58545.82,108446697330.55,1.0,19.0,1.0,645.0,13.0,221.67,89659.56,255.0
100000011325,302.86,503193.55,1.0,39.0,35.0,158.0,2.0,77.33,3256.22,26.0
100000011427,1444064.54,21655929928651.17,14.0,82.0,17543991.0,110526.0,5358.0,5884866.33,67969626975960.23,143.0
100000011573,9641.62,372715401.73,10.0,17402.0,58496.0,10.0,21.0,25302.67,601312299.56,167.0
100000011591,609012.79,2142254586584.8,13.0,105.0,37.0,46.0,5377952.0,62.67,909.56,16.0
100000011653,353518.81,1814313412628.83,1.0,2361765.0,330101.0,928040.0,2348381.0,1206635.33,726750781360.22,5215.0
100000011741,527797.61,3437962969376.24,11.0,85.0,12229.0,34.0,2055.0,4116.0,32910818.0,190.0
100000011755,14322.4,1828877806.77,3.0,15.0,97.0,76.0,3.0,62.67,1209.56,52.0
100000011763,6718.82,868185248.97,3.0,58.0,131.0,32.0,1636.0,73.67,1756.22,82.0
100000011845,115384.91,148839242768.55,4.0,270.0,668801.0,1646705.0,252.0,771925.33,457108682266.89,168.0
100000011933,126367.44,42796041869.37,11.0,111.0,19.0,532997.0,63.0,177709.0,63114782882.67,62.0
100000012027,531703.0,416950050437.6,1576.0,790933.0,81803.0,168656.0,172934.0,347130.67,99737496137.56,1325219.0
100000012133,1207247.77,15169535736519.56,14.0,14678776.0,25.0,14.0,46.0,4892938.33,47881309419196.23,40.0
100000012137,41.08,736.58,3.0,3.0,87.0,77.0,37.0,55.67,1403.56,43.0
100000012213,24844.76,5768667382.28,1.0,78.0,295.0,95.0,2346.0,156.0,9708.67,76679.0
100000012219,127699.72,183825009011.48,1.0,15.0,112.0,8.0,2850064.0,45.0,2252.67,2.0
100000012235,1436773.5,1691410794306.25,136231.0,2737316.0,136231.0,,,,,136231.0
100000012277,9637.44,537471671.12,2.0,15.0,75.0,77344.0,8883.0,25811.33,1327808466.89,74.0
100000012341,619013.91,4177849503670.51,4.0,26.0,354.0,11.0,98690.0,130.33,25050.89,35.0
100000012367,234337.97,553088276314.03,3.0,879.0,6.0,257843.0,1474721.0,86242.67,14723464221.56,1641565.0
100000012405,120787.05,117975784371.18,8.0,33.0,412.0,1766659.0,128670.0,589034.67,693399559169.56,38.0
100000012441,177704.57,196897569788.15,6.0,512.0,23.0,23208.0,33.0,7914.33,116987973.56,71.0
100000012507,392970.6,2703588650868.33,2.0,10130287.0,31654.0,211180.0,5991.0,3457707.0,22267033525646.0,11.0
100000012713,753358.7,1908248698430.61,24.0,78401.0,212079.0,915022.0,3236874.0,401834.0,134659262952.67,6529.0
100000012715,295983.98,3024195546953.25,2.0,57.0,98.0,9.0,6.0,54.67,1322.89,22.0
100000012717,200183.92,2771775901316.01,2.0,10.0,36.0,13.0,14.0,19.67,134.89,622312.0
100000012719,885775.86,8880758666781.08,6.0,109.0,132.0,134.0,92.0,125.0,128.67,15.0
100000012793,2626.75,19181885.19,7.0,131.0,157.0,7.0,10212.0,98.33,4283.56,10212.0
100000012867,51558.36,12219511264.52,6.0,21.0,62.0,204.0,317910.0,95.67,6148.22,119.0
100000012885,3583.0,12616704.0,31.0,7135.0,31.0,,,,,31.0
100000012889,25966.67,5892118468.22,3.0,70.0,221.0,152.0,118.0,147.67,3809.56,668.0
100000012931,349651.85,857910640240.99,1.0,324.0,20.0,3.0,248694.0,115.67,21749.56,1878777.0
100000012965,11416.12,660978105.19,2.0,11.0,20.0,136.0,26.0,55.67,3240.22,42.0
100000012981,82229.76,63088883002.9,1.0,950.0,252.0,20.0,5.0,407.33,156214.22,13.0
100000013027,2086136.88,21926681718358.1,2.0,14337830.0,2.0,26.0,2148167.0,4779286.0,45682881700064.0,10.0
100000013381,45480.85,4771484145.93,1.0,170.0,4.0,5.0,69572.0,59.67,6086.89,9.0
100000013429,11720.14,767166664.98,7.0,121.0,931.0,1120.0,79558.0,724.0,187758.0,8.0
100000013461,758.33,911893.56,43.0,2108.0,124.0,43.0,,758.33,911893.56,43.0
100000013471,197615.85,353499051730.36,1.0,48.0,38.0,239.0,24.0,108.33,8553.56,12.0
100000013499,16265.38,2866525487.6,5.0,19.0,9.0,1655.0,23.0,561.0,598434.67,169400.0
100000013669,261730.0,339481370331.12,2.0,179.0,25086.0,2.0,2.0,8422.33,138844114.89,102726.0
100000013673,49267.71,14270288996.49,5.0,59.0,148.0,5.0,2435.0,70.67,3476.22,252.0
100000013837,6268.04,616362967.96,2.0,47.0,761.0,752.0,59.0,520.0,111878.0,104.0
100000013965,407782.59,1330518625788.85,2.0,36.0,9.0,370.0,19.0,138.33,26956.22,5.0
100000014029,144694.26,291903324409.56,6.0,13.0,687.0,53808.0,245.0,18169.33,635132993.56,30.0
100000014143,282319.35,966115262946.53,3.0,69.0,180.0,258192.0,4521314.0,86147.0,14799743066.0,13.0
100000014259,367895.46,1143537371398.33,3.0,50.0,3.0,571.0,63867.0,208.0,66252.67,6427665.0
100000014271,177479.95,856874301562.0,2.0,170.0,24.0,7.0,187905.0,67.0,5352.67,5787446.0
100000014311,81871.72,94087927730.57,3.0,77416.0,7433.0,72.0,600721.0,28307.0,1214877660.67,216.0
100000014315,379407.44,3059006355838.79,3.0,123.0,407.0,113.0,118.0,214.33,18576.89,115.0
100000014383,197969.75,549936752127.54,1.0,55.0,1.0,8.0,3054101.0,21.33,574.89,11.0
100000014421,466706.2,954841835562.62,6.0,12.0,11.0,40.0,1328.0,21.0,180.67,186.0
100000014423,74115.46,27063898284.25,4.0,306.0,9.0,41.0,91252.0,118.67,17717.56,108.0
100000014449,723186.19,4116411020191.01,3.0,3.0,341569.0,6479786.0,265567.0,2273786.0,8864662555392.67,17.0
100000014641,2559055.27,19538613920715.83,6.0,504177.0,467186.0,1808961.0,2032084.0,926774.67,389354419040.22,167886.0
100000014679,388002.77,1809552793815.05,4.0,147.0,37.0,8.0,60.0,64.0,3584.67,1300467.0
100000014745,520048.93,1713343769662.64,5.0,133214.0,548976.0,20.0,3684.0,227403.33,54661263579.56,36.0
100000014865,120438.6,19466792488.24,2822.0,2822.0,12907.0,225810.0,16527.0,80513.0,10572560308.67,344127.0
100000014899,351404.0,936008351676.06,1.0,49.0,354122.0,8.0,1749231.0,118059.67,27862712889.56,11.0
100000014949,819073.65,4093686247722.14,4.0,65.0,12.0,4.0,44.0,27.0,732.67,2617685.0
100000014973,75751.53,23769715053.43,3.0,335.0,3.0,14.0,466168.0,117.33,23709.56,59.0
100000014981,35367.66,7868953948.51,1.0,99.0,1.0,10.0,326292.0,36.67,1956.22,120.0
100000015043,57087.57,17758383812.82,6.0,9.0,244.0,6.0,383228.0,86.33,12430.89,11.0
100000015129,192616.85,654019247221.68,7.0,100.0,189.0,72.0,30.0,120.33,2488.22,795510.0
100000015145,724375.12,2390211610945.86,7.0,190.0,7.0,4755173.0,7.0,1585123.33,5024607450148.22,15.0
100000015153,1346919.86,11005126668556.21,3.0,85747.0,17.0,9674847.0,6.0,3253537.0,20617835996866.67,2249797.0
100000015213,75517.85,29892232478.55,1.0,1187652.0,126070.0,133590.0,80956.0,482437.33,248673288107.56,3726.0
100000015223,146918.95,796778610992.4,1.0,7.0,16.0,8.0,20.0,10.33,16.22,178.0
100000015275,13181.88,736389313.11,17.0,18473.0,112.0,83268.0,2211.0,33951.0,1272270964.67,41.0
100000015433,360673.24,3841144033151.28,1.0,17.0,23.0,13637281.0,20.0,4545773.67,41327752796032.88,117.0
100000015475,54594.43,11816227843.1,69.0,248.0,54894.0,316967.0,90.0,124036.33,19108818622.89,98.0
100000015747,4178254.8,69829330711757.36,10.0,66.0,10.0,20891044.0,101.0,6963706.67,96985362598752.88,53.0
100000015791,134141.4,1932859038596.7,1.0,9.0,4.0,62984.0,24725.0,20999.0,881370116.67,8.0
100000015969,53272.7,25090721509.89,5.0,306.0,40999.0,46.0,1688.0,13783.67,370348450.89,66.0
100000016009,30707.43,5643562262.53,2.0,134.0,12.0,214722.0,4.0,71622.67,10238712080.89,56.0
100000016197,345801.75,582162025337.94,10.0,376.0,83.0,28.0,27.0,162.33,23330.89,11.0
100000016219,1443498.93,6642520587323.06,4.0,5165026.0,19357.0,370.0,39.0,1728251.0,5905771284674.0,78003.0
100000016265,149042.75,1638155650774.08,2.0,134.0,12.0,25.0,516.0,57.0,2992.67,13211903.0
100000016341,180994.35,1685193370581.52,1.0,49.0,126.0,13321.0,52.0,4498.67,38917770.89,6.0
100000016351,85178.55,33609622770.25,8.0,395.0,224.0,15.0,8.0,211.33,24146.89,945.0
100000016391,47448.36,12012702288.79,1.0,50.0,205.0,110.0,58.0,121.67,4072.22,2192.0
100000016831,72316.44,44830389409.31,3.0,82.0,107.0,116.0,177.0,101.67,206.89,145.0
100000016845,1625901.29,13724485188798.35,36.0,604669.0,6785453.0,45.0,86.0,2463389.0,9401046973610.67,39.0
100000016861,320189.55,2303613754851.4,4.0,49.0,47.0,11.0,24904.0,35.67,304.89,11385921.0
100000016987,318057.29,2935921177636.84,4.0,31.0,10719188.0,28.0,5.0,3573082.33,25533413099584.22,13.0
100000017177,146443.32,859039077188.46,2.0,165.0,59.0,66.0,12.0,96.67,2342.89,8254278.0
100000017277,95992.87,135272861277.61,1.0,554.0,3.0,27.0,2220.0,194.67,64656.22,2.0
100000017281,681318.19,10523851601277.93,2.0,57.0,2.0,188.0,56.0,82.33,6086.89,9.0
100000017345,2171107.62,7305683769672.74,11.0,510.0,6083163.0,1586193.0,2658504.0,2556622.0,6637310808422.0,11.0
100000017367,511792.79,4430153245215.1,2.0,10888533.0,9972984.0,61.0,138.0,6953859.33,24317360625568.22,11.0
100000017465,4096.17,244106820.47,4.0,8.0,16.0,12.0,1644.0,12.0,10.67,17.0
100000017469,67155.82,26724863562.79,3.0,81452.0,15363.0,166440.0,401.0,87751.67,3823886221.56,15242.0
100000017505,2266658.1,15675737340994.09,12.0,13.0,3984989.0,29.0,4338954.0,1328343.67,3528882213603.56,13111571.0
100000017691,331218.59,1530838780303.3,1.0,157.0,10.0,5098558.0,16.0,1699575.0,5776542720746.0,5137.0
100000017693,548394.59,1605705573642.12,7.0,57.0,23.0,11.0,296243.0,30.33,379.56,1111513.0
100000017965,,,,,,,,,,
100000018097,272.6,74915.04,2.0,50.0,2.0,570.0,102.0,207.33,66147.56,639.0
100000018117,1036190.4,11475757997135.98,1.0,28.0,63.0,1.0,91.0,30.67,644.22,3.0
100000018123,529.0,276676.0,3.0,1055.0,3.0,,,,,3.0
100000018259,123068.93,131505331819.97,2.0,6659.0,2.0,62252.0,81958.0,22971.0,778884422.0,97707.0
100000018413,24361.0,16480390301.81,2.0,18.0,166.0,17.0,18.0,67.0,4900.67,36.0
100000018417,1256785.91,4598834710385.72,5.0,3734384.0,21.0,6293156.0,186.0,3342520.33,6677369921330.89,184.0
100000018629,144304.97,272422213639.34,2.0,570.0,27.0,38.0,3.0,211.67,64221.56,21.0
100000018905,318231.09,1836198871117.4,3.0,109.0,838.0,19.0,25.0,322.0,134478.0,8822817.0
100000018941,428496.0,326720218180.4,34.0,1080.0,1433264.0,705259.0,34.0,713201.0,341890039324.67,2843.0
100000018979,33796.88,52411442271.55,2.0,161.0,93.0,2.0,7.0,85.33,4242.89,13.0
100000019251,304258.12,2384596912980.34,2.0,46.0,42.0,5.0,79.0,31.0,340.67,391.0
100000019375,104299.45,153915877576.61,1.0,22.0,346.0,9.0,2.0,125.67,24301.56,33.0
100000019379,388298.33,689108988916.56,32.0,2243177.0,86397.0,63.0,49.0,776545.67,1076745993883.56,72.0
100000019487,85961.46,685085798317.62,1.0,33.0,59.0,17.0,132.0,36.33,299.56,468519.0
100000019489,68484.36,30510539456.37,8.0,95.0,48.0,36.0,164.0,59.67,648.22,13.0
100000019507,107498.85,338517361435.02,1.0,49.0,5710943.0,23.0,34.0,1903671.67,7247657502923.56,1.0
100000019641,1816932.11,13888338086251.21,2.0,4934639.0,83.0,119.0,153.0,1644947.0,5411036727648.0,44.0
100000019697,611654.5,749248584920.58,22.0,1919603.0,1747953.0,487.0,1807.0,1222681.0,751789707234.67,22.0
100000019829,1541881.62,34059745632896.23,3.0,24142536.0,127327.0,7.0,2753.0,8089956.67,128845353356880.2,3641.0
100000019999,86343.5,36777488304.05,3.0,172111.0,414.0,21.0,50295.0,57515.33,6566109150.89,640449.0
100000020007,1555748.69,9758124143683.21,95.0,1230200.0,95.0,510441.0,88001.0,580245.33,254629374313.56,180.0
100000020017,171.5,11342.25,65.0,278.0,65.0,,,,,65.0
100000020019,70741.69,79051488683.63,1.0,802.0,19.0,21.0,102.0,280.67,135894.89,49.0
100000020061,248445.51,773656741192.34,1.0,17.0,212.0,292.0,4.0,173.67,13338.89,77.0
100000020213,,,,,,,,,,
100000020277,399818.86,1059385996395.46,6.0,268.0,6.0,40473.0,9.0,13582.33,361565417.56,187.0
100000020301,255329.35,1025301612384.15,1.0,121.0,1.0,36.0,126.0,52.67,2538.89,10.0
100000020393,558810.79,1938908025306.8,4.0,55.0,9.0,12.0,10.0,25.33,441.56,23.0
100000020459,135381.82,362174645462.64,3.0,30.0,11.0,38.0,80.0,26.33,128.22,48.0
100000020665,217534.44,450120062058.97,1.0,193.0,92.0,24103.0,10.0,8129.33,127580713.56,14.0
