userid,actionType1,actionType2,actionType3,actionType4,actionType5,actionType6,actionType7,actionType8,actionType9,user_purchase_orderType01_times,if_exist_rate_largerthan_2,user_click_num,user_click_rate,user_purchase_num,user_open_app_num,user_purchase_rate,user_orderType0_rate_largerthan_2,actionType234_after_submit_last_order,tages_num,keywords_num,browse_product_num_by_day,firstType,daoshuType1,daoshuType2,daoshuType3,to_closest_1_time,to_closest_2_time,to_closest_2_time_interval_mean,to_closest_2_time_interval_min,to_closest_3_dist,to_closest_3_time,to_closest_3_time_interval_mean,to_closest_3_time_interval_min,to_closest_4_time,to_closest_4_time_interval_min,to_closest_5_time,to_closest_5_dist,to_closest_5_time_interval_mean,to_closest_5_time_interval_min,to_closest_5_time_interval_max,to_closest_5_time_interval_var,to_closest_6_time,to_closest_6_time_interval_mean,to_closest_6_time_interval_min,to_closest_6_time_interval_max,to_closest_6_time_interval_var,to_closest_7_time,to_closest_7_time_interval_mean,to_closest_7_time_interval_min,to_closest_7_time_interval_max,to_closest_7_time_interval_var,to_closest_8_dist,to_closest_8_time,to_closest_8_time_interval_mean,to_closest_8_time_interval_min,to_closest_8_time_interval_var,to_closest_9_time,to_closest_9_time_interval_mean,to_closest_9_time_interval_var,to_closest_9_time_interval_mean_multi_var,interval_mean,interval_var,interval_min,interval_lastvale1,interval_lastvale2,interval_lastvale3,interval_lasetvale4,interval_last3_mean,interval_last3_var,first_interval
100000008745,11,0,0,0,24,3,0,0,0,,,38,1.15,0.0,11.0,0.0,,,5.0,6.0,0.71,1,1,5.0,5.0,0.0,,,,,,,,,,479956.0,1.0,479956.0,479956.0,479956.0,0.0,480460.0,160153.33,3.0,479956.0,51136914137.6,,,,,,,,,,,,,,,57085.68,21886071936.06,1,479956,3,501,93,160153.33,51136914137.56,4
100000009049,11,3,0,0,18,12,2,1,1,2.0,,48,1.45,1.0,11.0,9.09,1.0,0.0,4.0,0.0,0.77,1,7,6.0,6.0,1027.0,195970.0,19597.0,7.0,,,,,,,123.0,2.0,61.5,33.0,90.0,812.25,33.0,33.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,3299274.0,117831.21,5.0,75070604988.7,3299262.0,122194.89,77317831396.9,14931591142.1,279454.45,1515106492323.61,5,33,90,66,103,63.0,546.0,42
100000009197,0,0,0,0,0,0,1,0,0,,,1,0.03,0.0,0.0,0.0,,,,,1.0,7,7,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0,33,90,66,103,0.0,0.0,0
100000009419,19,0,0,0,19,7,0,1,0,,,46,1.39,0.0,19.0,0.0,,,,,0.59,1,6,5.0,5.0,41.0,,,,,,,,,,28.0,1.0,28.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,10.0,332843.0,33284.3,6.0,8899385710.61,,,,,243715.62,1081690424394.32,1,28,13,316182,158,105407.67,22212909833.56,6909789
100000009629,8,0,0,0,8,4,0,0,0,,,20,0.6,0.0,8.0,0.0,,,,,0.6,1,1,1.0,1.0,0.0,,,,,,,,,,7661485.0,3.0,2553828.33,22.0,6144314.0,6829406050290.0,7661463.0,3830731.5,1517149.0,6144314.0,5352663984310.0,,,,,,,,,,,,,,,1203947.05,6822729858330.36,3,6144314,1517149,22,175,2553828.33,6829406050290.89,8922210
100000009961,93,0,2,2,50,33,4,4,3,2.0,,191,5.77,3.0,93.0,3.23,,3.0,3.0,4.0,0.51,5,7,1.0,1.0,749.0,,,,119.0,4861339.0,40851.59,2.0,280845.0,4.0,8604.0,3.0,2868.0,749.0,4954.0,2947548.67,19451.0,3241.83,52.0,8426.0,7845726.47,0.0,0.0,0.0,0.0,0.0,25.0,262909.0,10516.36,4.0,336459397.59,262900.0,10954.17,345686672.22,119993840.389,115068.95,154897403457.34,2,749,2901,4954,52,2868.0,2947548.67,42
100000010157,689,136,197,329,1429,824,48,155,118,39.0,,3925,118.51,118.0,689.0,17.13,1.0,4.0,0.0,6.0,0.82,5,6,5.0,5.0,9218.0,1123856.0,74923.73,1.0,32.0,1125728.0,35179.0,1.0,9162.0,1.0,357.0,1.0,357.0,357.0,357.0,0.0,0.0,0.0,0.0,0.0,0.0,1125007.0,56250.35,1.0,872432.0,35857472005.6,19.0,1125005.0,59210.79,1.0,37569423336.8,1124996.0,62499.78,39451082084.9,3906222500.05,6757.97,1702541812.86,1,357,5858,19,1,2078.0,7163240.67,2
100000011403,9,0,0,0,11,4,1,0,1,,,26,0.79,1.0,9.0,11.11,,,,,0.65,9,7,6.0,6.0,299.0,,,,,,,,,,195.0,2.0,97.5,36.0,159.0,3782.25,36.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,4908564.0,196342.56,219201527737.0,38550400867.4,196342.56,219201527737.05,6,36,159,88,16,94.33,2541.56,531
100000012993,0,0,1,0,2,0,1,0,2,1.0,,6,0.18,2.0,0.0,0.0,,1.0,,,1.0,7,5,5.0,5.0,,,,,2.0,31.0,15.5,3.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1126471.0,225294.2,3.0,1126407.0,203001069644.0,,,,,,1126438.0,375479.33,281946180387.0,140984727257.0,225294.2,203001069643.76,3,3,28,1126407,17,375479.33,281946180386.89,16
100000013089,41,15,16,8,74,24,5,7,5,3.0,,195,5.89,5.0,41.0,12.2,1.0,38.0,2.0,3.0,0.79,1,7,6.0,6.0,1434.0,1409.0,176.13,20.0,34.0,7794.0,229.24,3.0,1383.0,20.0,1266.0,6.0,211.0,20.0,743.0,66602.67,743.0,743.0,743.0,743.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,557735.0,4357.3,2.0,341275438.96,557721.0,4391.5,343812939.79,19285272.25,94616.19,947440511639.18,1,743,316,102,28,387.0,71000.67,42
100000013205,28,0,0,0,23,10,0,4,1,2.0,,66,1.99,1.0,28.0,3.57,1.0,0.0,0.0,0.0,0.58,1,6,6.0,6.0,7933.0,,,,,,,,,,7923.0,2.0,3961.5,304.0,7619.0,13377306.25,0.0,0.0,0.0,0.0,0.0,,,,,,24.0,1090957.0,45456.54,3.0,2855029213.08,1090945.0,47432.39,2885465355.02,2249831621.11,52197.25,6781127512.8,3,7619,304,7,3,2643.33,12393330.89,7
100000013455,6,0,0,0,6,3,0,0,0,,,15,0.45,0.0,6.0,0.0,,,,,0.6,1,6,5.0,5.0,138.0,,,,,,,,,,128.0,1.0,128.0,128.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,520035.0,1028594957722.43,3,128,5,5,85859,46.0,3362.0,3623221
100000013591,4,1,0,0,5,3,0,0,0,,,13,0.39,0.0,4.0,0.0,,,,,0.69,1,6,5.0,5.0,1512.0,333310.0,41663.75,17.0,,,,,,,56.0,1.0,56.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,1180219.33,8543206072919.89,17,56,1184,244,28,494.67,243480.89,81
100000013861,10,0,0,0,5,4,0,1,0,,,20,0.6,0.0,10.0,0.0,,,,,0.5,1,1,1.0,1.0,0.0,,,,,,,,,,9729172.0,6.0,1621528.67,24663.0,6353238.0,5402010251310.0,9878431.0,1097603.44,6.0,6353238.0,4151984524500.0,,,,,,15.0,9965980.0,664398.67,6.0,2773045460750.0,,,,,524547.47,2262590254012.14,6,6353238,2776377,24663,183887,3051426.0,6712969564638.0,152
100000014191,5,0,0,0,11,6,0,2,0,3.0,,24,0.72,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.79,1,6,5.0,5.0,1187.0,,,,,,,,,,30.0,1.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,17.0,758961.0,44644.76,1.0,17910338417.0,,,,,33009.35,13621661376.31,1,30,143,1014,35883,395.67,193296.22,8
100000014963,3,0,0,0,15,6,0,0,0,1.0,,24,0.72,0.0,3.0,0.0,,0.0,,,0.88,5,6,5.0,5.0,1262.0,,,,,,,,,,33.0,1.0,33.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,18025.35,3563288489.36,1,33,1,1051,106,361.67,237760.89,8
100000015053,28,0,1,0,21,4,1,0,0,,,55,1.66,0.0,28.0,0.0,,,,,0.49,1,5,1.0,1.0,25.0,,,,16.0,4962778.0,310173.63,6.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2623691.0,1311845.5,25.0,2623666.0,1720873024220.0,5051290.0,229604.09,6.0,2623666.0,376055771605.0,,,,,,,,,,450137.57,1079628775884.95,5,25,2623666,21,8299,874570.67,1529667242546.89,255786
100000015077,2,0,0,0,6,5,0,0,0,1.0,,13,0.39,0.0,2.0,0.0,,0.0,,,0.85,5,6,5.0,5.0,22649.0,,,,,,,,,,21.0,1.0,21.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,44186.08,10117788682.74,15,21,1291,16,21321,442.67,359838.89,15
100000015351,19,0,0,0,16,9,0,0,0,,,44,1.33,0.0,19.0,0.0,,,,,0.57,1,6,5.0,5.0,25.0,,,,,,,,,,17.0,1.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,418081.95,776808466864.18,3,17,8,22165,45,7396.67,109051848.22,126425
100000015659,30,0,0,0,40,18,0,7,0,7.0,,95,2.87,0.0,30.0,0.0,1.0,0.0,0.0,4.0,0.68,5,6,5.0,5.0,2699.0,,,,,,,,,,12.0,1.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,46.0,5645948.0,122738.0,6.0,120969564550.0,,,,,128159.64,155622578535.44,1,12,2658,23,6,897.67,1549406.89,60
100000016411,7,1,3,0,8,2,2,1,1,1.0,,25,0.75,1.0,7.0,14.29,1.0,3.0,3.0,0.0,0.72,1,7,6.0,6.0,3557.0,257074.0,14281.89,4.0,8.0,148315.0,18539.38,6.0,,,143.0,2.0,71.5,52.0,91.0,380.25,52.0,52.0,52.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,149127.0,11471.31,6.0,731911059.14,149104.0,12425.33,781071503.39,154388825.609,517924.83,5816527683019.14,4,52,91,124,3284,89.0,866.0,29
100000016637,7,0,0,0,14,4,2,1,1,1.0,,29,0.88,1.0,7.0,14.29,1.0,0.0,3.0,0.0,0.76,1,7,6.0,6.0,968.0,,,,,,,,,,149.0,2.0,74.5,13.0,136.0,3782.25,13.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4894118.0,244705.9,2.0,919861787874.0,4894102.0,257584.32,964958494318.0,66349681909.9,181507.11,668123956763.67,2,13,136,3,75,50.67,3657.56,32
100000016665,19,0,0,0,20,17,0,0,0,,,56,1.69,0.0,19.0,0.0,,,,,0.66,5,5,1.0,1.0,10.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,9213432.0,1842686.4,7.0,7512348.0,8321972907560.0,,,,,,,,,,,,,,,461923.95,1338897417074.45,5,10,1444311,7512348,7,2985556.33,10593588959801.56,39338
100000016715,30,0,0,0,55,16,5,4,4,4.0,,114,3.44,4.0,30.0,13.33,1.0,0.0,0.0,0.0,0.74,1,6,5.0,5.0,1437.0,,,,,,,,,,16.0,1.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,71.33,5.0,193.0,7421.56,36.0,2468975.0,68582.64,2.0,39983409447.5,2468968.0,70541.94,40987593181.1,4976165298.96,202995.21,449930968326.88,1,16,5,193,7,71.33,7421.56,39
100000016843,46,0,0,0,32,6,0,1,1,1.0,,86,2.6,1.0,46.0,2.17,1.0,0.0,4.0,0.0,0.47,1,6,5.0,5.0,512.0,,,,,,,,,,456.0,1.0,456.0,456.0,456.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,30.0,2296019.0,76533.97,9.0,19982533721.2,2295879.0,79168.24,20463404510.3,6267610224.7,88406.28,74923365457.05,5,456,56,77059,22,25857.0,1310849068.67,107
100000017191,3,0,0,0,0,0,0,0,0,,,3,0.09,0.0,3.0,0.0,,,,,0.0,1,1,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2184.0,4713241.0,13,4355,13,0,0,1456.0,4202128.67,13
100000017255,24,0,0,0,20,13,0,5,4,,,66,1.99,4.0,24.0,16.67,,,,,0.64,1,1,1.0,1.0,0.0,,,,,,,,,,13383386.0,6.0,2230564.33,21.0,12670983.0,21826310410100.0,13383322.0,3345830.5,11003.0,12670983.0,29008009747600.0,,,,,,31.0,22058611.0,711568.1,2.0,6824020846590.0,22058600.0,735286.67,7034048520850.0,540646487080.0,363161.86,3377735105713.2,2,278216,423120,11003,12670983,237446.33,29137819808.22,8
100000017517,16,0,0,0,23,3,0,0,0,,,42,1.27,0.0,16.0,0.0,,,5.0,0.0,0.62,1,5,1.0,1.0,2.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,4577184.0,457718.4,2.0,2073427.0,500604082268.0,,,,,,,,,,,,,,,270063.07,235974758145.82,1,2,2073427,6,1297924,691145.0,955351763764.67,10
100000017533,0,0,0,0,2,0,0,0,0,,,2,0.06,0.0,0.0,0.0,,,,,1.0,5,5,5.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,356.0,0.0,356,356,0,0,0,118.67,28163.56,356
100000018131,21,4,2,2,19,11,3,2,2,3.0,,66,1.99,2.0,21.0,9.52,,0.0,,,0.68,1,7,6.0,6.0,11475.0,11464.0,764.27,5.0,22.0,514345.0,23379.32,5.0,514247.0,5.0,302.0,3.0,100.67,50.0,198.0,4739.56,54.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,1483802.0,46368.81,5.0,14116396857.6,1483794.0,47864.32,14500194885.4,2290993129.06,210196.4,1320487711420.73,2,54,50,198,942,100.67,4739.56,9315345
100000018141,33,0,0,0,30,29,0,11,4,,,107,3.23,4.0,33.0,12.12,,,0.0,0.0,0.69,1,6,5.0,5.0,480.0,,,,,,,,,,475.0,1.0,475.0,475.0,475.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,23.0,2698516.0,117326.78,4.0,43675302072.3,6678196.0,111303.27,172461451015.0,12388417912.7,83889.08,107575647748.78,2,475,5,504465,25,168315.0,56498448066.67,83
100000018219,22,2,0,0,31,8,0,1,1,,,65,1.96,1.0,22.0,4.55,,,,,0.66,1,5,1.0,1.0,5.0,2431375.0,143022.06,2.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,996.0,332.0,5.0,928.0,178168.67,,,,,,61.0,27960526.0,458369.28,1.0,1357396382370.0,27960496.0,466008.27,1376460053030.0,217163707708.0,436884.78,1303153960771.92,1,5,928,63,12,332.0,178168.67,10
100000018439,44,0,0,0,32,13,0,2,2,,,93,2.81,2.0,44.0,4.55,,,,,0.53,1,5,5.0,5.0,150.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1107843.0,184640.5,8.0,1107451.0,170315848676.0,,,,,,44.0,11621549.0,264126.11,2.0,2002358264930.0,11621524.0,270268.0,2047264934410.0,73044791824.0,130989.41,974120802720.61,1,142,8,1107451,9,369200.33,272507026409.56,15
100000018651,2,0,1,0,0,0,0,0,0,,,3,0.09,0.0,2.0,0.0,,,5.0,0.0,0.33,1,1,3.0,3.0,0.0,,,,1.0,2073832.0,2073832.0,2073832.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1036952.5,1075119097520.25,73,2073832,73,0,0,691301.67,955695062181.56,73
